*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-02-24 00:41:15"
*GLOBAL*,title,"Euphausia pacifica (krill) lengths and biomass Trinidad Line Stations TH04, TH05"
*GLOBAL*,institution,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,summary,"NOAA SWFSC; Cal Poly Humboldt"
*GLOBAL*,contributor_name,"Bjorkstedt"
*GLOBAL*,contributor_email,"eric.bjorkstedt@noaa.gov"
time,*DATA_TYPE*,String
time,units,"yyyy-MM-dd"
index,*DATA_TYPE*,float
index,units,"mg c m2"
index,long_name,"Krill Body Length and Biomass Measurements"
timeseries,*DATA_TYPE*,String
SEup,*DATA_TYPE*,float
SElo,*DATA_TYPE*,float
*END_METADATA*
"time","index","timeseries","SEup","SElo"
"13825-01",14.14,"Euphausia pacifica (krill) mean length",14.33,13.95
"13825-01",15.1,"Euphausia pacifica (krill) mean length",15.46,14.73
"13825-01",13.57,"Euphausia pacifica (krill) mean length",13.78,13.36
"13825-01",13.84,"Euphausia pacifica (krill) mean length",14.04,13.64
"13825-01",16.21,"Euphausia pacifica (krill) mean length",16.59,15.84
"13825-01",17.28,"Euphausia pacifica (krill) mean length",17.57,17
"13825-01",13.96,"Euphausia pacifica (krill) mean length",14.37,13.55
"13825-01",15.18,"Euphausia pacifica (krill) mean length",15.42,14.95
"13825-01",14.44,"Euphausia pacifica (krill) mean length",14.67,14.21
"13825-01",13.03,"Euphausia pacifica (krill) mean length",13.23,12.83
"13825-01",13.01,"Euphausia pacifica (krill) mean length",13.18,12.84
"13825-01",16.34,"Euphausia pacifica (krill) mean length",16.52,16.17
"13825-01",16.78,"Euphausia pacifica (krill) mean length",16.93,16.63
"13825-01",15.41,"Euphausia pacifica (krill) mean length",15.72,15.1
"13825-01",12.51,"Euphausia pacifica (krill) mean length",12.98,12.04
"13825-01",11.3,"Euphausia pacifica (krill) mean length",11.52,11.08
"13825-01",12.79,"Euphausia pacifica (krill) mean length",12.95,12.63
"13825-01",12.56,"Euphausia pacifica (krill) mean length",12.88,12.25
"13825-01",9.7,"Euphausia pacifica (krill) mean length",10.37,9.02
"13825-01",10.76,"Euphausia pacifica (krill) mean length",11.08,10.44
"13825-01",10.92,"Euphausia pacifica (krill) mean length",11.11,10.73
"13825-01",15.34,"Euphausia pacifica (krill) mean length",15.71,14.97
"13825-01",15.41,"Euphausia pacifica (krill) mean length",15.75,15.07
"13825-01",14.08,"Euphausia pacifica (krill) mean length",14.43,13.73
"13825-01",16.16,"Euphausia pacifica (krill) mean length",16.41,15.91
"13825-01",12.52,"Euphausia pacifica (krill) mean length",12.98,12.07
"13825-01",10.92,"Euphausia pacifica (krill) mean length",11.19,10.65
"13825-01",10.27,"Euphausia pacifica (krill) mean length",10.46,10.08
"13825-01",10.29,"Euphausia pacifica (krill) mean length",10.55,10.03
"13825-01",10.92,"Euphausia pacifica (krill) mean length",11.09,10.76
"13825-01",12.52,"Euphausia pacifica (krill) mean length",12.66,12.39
"13825-01",12.07,"Euphausia pacifica (krill) mean length",12.25,11.89
"13825-01",12.71,"Euphausia pacifica (krill) mean length",12.9,12.52
"13825-01",12.09,"Euphausia pacifica (krill) mean length",12.37,11.81
"13825-01",14.75,"Euphausia pacifica (krill) mean length",14.89,14.6
"13825-01",14.06,"Euphausia pacifica (krill) mean length",14.66,13.46
"13825-01",11.6,"Euphausia pacifica (krill) mean length",12.37,10.84
"13825-01",14.91,"Euphausia pacifica (krill) mean length",15.28,14.54
"13825-01",11.28,"Euphausia pacifica (krill) mean length",11.87,10.7
"13825-01",12.62,"Euphausia pacifica (krill) mean length",13.13,12.12
"13825-01",12.97,"Euphausia pacifica (krill) mean length",13.62,12.32
"13825-01",11.18,"Euphausia pacifica (krill) mean length",11.47,10.88
"13825-01",9.57,"Euphausia pacifica (krill) mean length",9.8,9.34
"13825-01",11.36,"Euphausia pacifica (krill) mean length",11.78,10.94
"13825-01",11.02,"Euphausia pacifica (krill) mean length",11.32,10.73
"13825-01",14.36,"Euphausia pacifica (krill) mean length",14.57,14.15
"13825-01",14.46,"Euphausia pacifica (krill) mean length",14.8,14.12
"13825-01",14.11,"Euphausia pacifica (krill) mean length",14.47,13.75
"13825-01",10.51,"Euphausia pacifica (krill) mean length",10.8,10.22
"13825-01",15.95,"Euphausia pacifica (krill) mean length",16.23,15.66
"13825-01",15.9,"Euphausia pacifica (krill) mean length",16.25,15.55
"13825-01",15.79,"Euphausia pacifica (krill) mean length",16.05,15.53
"13825-01",10.67,"Euphausia pacifica (krill) mean length",11.15,10.19
"13825-01",14.23,"Euphausia pacifica (krill) mean length",14.84,13.61
"13825-01",13.9,"Euphausia pacifica (krill) mean length",14.2,13.59
"13825-01",15.27,"Euphausia pacifica (krill) mean length",15.48,15.07
"13825-01",14.86,"Euphausia pacifica (krill) mean length",15.06,14.65
"13825-01",12.6,"Euphausia pacifica (krill) mean length",12.95,12.26
"13825-01",14.27,"Euphausia pacifica (krill) mean length",14.92,13.63
"13825-01",11.21,"Euphausia pacifica (krill) mean length",11.76,10.66
"13825-01",11.48,"Euphausia pacifica (krill) mean length",11.75,11.2
"13825-01",11.64,"Euphausia pacifica (krill) mean length",11.8,11.47
"13825-01",14.19,"Euphausia pacifica (krill) mean length",14.42,13.97
"13825-01",15.57,"Euphausia pacifica (krill) mean length",15.76,15.37
"13825-01",16.05,"Euphausia pacifica (krill) mean length",16.34,15.76
"13825-01",13.12,"Euphausia pacifica (krill) mean length",14.33,11.91
"13825-01",10.21,"Euphausia pacifica (krill) mean length",11.58,8.84
"13825-01",8.16,"Euphausia pacifica (krill) mean length",8.6,7.72
"13825-01",9.18,"Euphausia pacifica (krill) mean length",9.43,8.93
"13825-01",8.65,"Euphausia pacifica (krill) mean length",8.77,8.54
"13825-01",9.04,"Euphausia pacifica (krill) mean length",9.18,8.89
"13825-01",10.95,"Euphausia pacifica (krill) mean length",11.15,10.75
"13825-01",12.87,"Euphausia pacifica (krill) mean length",13,12.75
"13825-01",12.83,"Euphausia pacifica (krill) mean length",13.18,12.48
"13825-01",12.71,"Euphausia pacifica (krill) mean length",13.12,12.3
"13825-01",8.96,"Euphausia pacifica (krill) mean length",9.24,8.68
"13825-01",10.29,"Euphausia pacifica (krill) mean length",10.62,9.96
"13825-01",8.92,"Euphausia pacifica (krill) mean length",9.13,8.71
"13825-01",10.25,"Euphausia pacifica (krill) mean length",10.51,9.99
"13825-01",9.84,"Euphausia pacifica (krill) mean length",10,9.68
"13825-01",9.65,"Euphausia pacifica (krill) mean length",9.9,9.41
"13825-01",9.63,"Euphausia pacifica (krill) mean length",10,9.25
"13825-01",10.42,"Euphausia pacifica (krill) mean length",11.57,9.28
"13825-01",11.05,"Euphausia pacifica (krill) mean length",11.46,10.63
"13825-01",9.84,"Euphausia pacifica (krill) mean length",10.15,9.53
"13825-01",11.17,"Euphausia pacifica (krill) mean length",11.64,10.69
"13825-01",11.04,"Euphausia pacifica (krill) mean length",11.52,10.55
"13825-01",10.36,"Euphausia pacifica (krill) mean length",10.95,9.77
"13825-01",10.62,"Euphausia pacifica (krill) mean length",10.86,10.38
"13825-01",9.63,"Euphausia pacifica (krill) mean length",9.84,9.43
"13825-01",10.2,"Euphausia pacifica (krill) mean length",10.41,9.99
"13825-01",11.19,"Euphausia pacifica (krill) mean length",11.39,10.99
"13825-01",12.15,"Euphausia pacifica (krill) mean length",12.31,11.99
"13825-01",9.68,"Euphausia pacifica (krill) mean length",9.97,9.39
"13825-01",12.31,"Euphausia pacifica (krill) mean length",12.74,11.87
"13825-01",14.47,"Euphausia pacifica (krill) mean length",14.79,14.14
"13825-01",12.68,"Euphausia pacifica (krill) mean length",12.89,12.47
"13825-01",13.95,"Euphausia pacifica (krill) mean length",14.41,13.49
"13825-01",13.39,"Euphausia pacifica (krill) mean length",13.75,13.03
"13825-01",10.78,"Euphausia pacifica (krill) mean length",11.02,10.54
"13825-01",11.64,"Euphausia pacifica (krill) mean length",11.86,11.42
"13825-01",12.78,"Euphausia pacifica (krill) mean length",12.95,12.62
