*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-04-22 14:49:35"
*GLOBAL*,title,"Seabird Productivity"
*GLOBAL*,institution,"OSU Seabird Oceanography Lab;NWFSC"
*GLOBAL*,summary,"Data from Hatfield Marine Science Center Seabird Oceanography Lab Yaquina Head Seabird Studies; contact Rachael Orben (Rachael.Orben@oregonstate.edu) before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean, which is calculated by averaging all of the annual means prior to the most recent year (for data from 2007 to 2020, the long term mean is calculated including data from 2007-2019).Data from Hatfield Marine Science Center Seabird Oceanography Lab Yaquina Head Seabird Studies; contact Rachael Orben (Rachael.Orben@oregonstate.edu) before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean, which is calculated by averaging all of the annual means prior to the most recent year (for data from 2007 to 2020, the long term mean is calculated including data from 2007-2019).Data from Hatfield Marine Science Center Seabird Oceanography Lab Yaquina Head Seabird Studies; contact Rachael Orben (Rachael.Orben@oregonstate.edu) before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean, which is calculated by averaging all of the annual means prior to the most recent year (for data from 2007 to 2020, the long term mean is calculated including data from 2007-2019).Data from Washington Rhinoceros Auklet Ecology Project; contact scott.pearson@dfw.wa.gov before citing or distributing these data.; Additional Calculations: Productivity anomaly is the annual mean number of chicks fledged per breeding pair minus the long term mean."
*GLOBAL*,infoUrl,"https://www.integratedecosystemassessment.noaa.gov/regions/california-current/about-california-current-integrated-ecosystem-assessment"
*GLOBAL*,contributor_name,"Good"
*GLOBAL*,contributor_email,"tom.good@noaa.gov"
year,*DATA_TYPE*,String
year,units,"yyyy"
index,*DATA_TYPE*,float
index,units,"Anomaly"
index,long_name,"Productivity anomaly"
timeseries,*DATA_TYPE*,String
metric,*DATA_TYPE*,String
*END_METADATA*
"year","index","timeseries","metric"
2008,-0.6306,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2009,-0.1806,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2010,-0.9306,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2011,-0.7606,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2012,-1.0006,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2013,-0.6106,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2014,-0.4606,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2015,0.5194,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2016,-0.3106,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2017,-0.3906,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2018,0.5094,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2019,0.9294,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2020,-0.0606,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2021,1.5094,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2022,-0.1206,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2023,1.1794,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2024,0.3594,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
2025,0.4494,"Brandts cormorant productivity anomaly (No CC)","Productivity anomaly"
1998,-0.1825,"Common murre productivity anomaly (No CC)","Productivity anomaly"
1999,0.3075,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2000,0.2675,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2001,0.4375,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2002,0.5275,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2003,NaN,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2004,NaN,"Common murre productivity anomaly (No CC)","Productivity anomaly"
2005,NaN,"Common murre productivity anomaly (No CC)","Productivity anomaly"
