*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-04-22 14:49:35"
*GLOBAL*,title,"Albacore tuna diet"
*GLOBAL*,institution,"NOAA SWFSC/FRD"
*GLOBAL*,summary,"Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season.Diets of albacore tuna provided by C. Nickels, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Albacore stomachs were provided by commercial and recreational fishers, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Juvenile Albacore Tuna were collected off Northern California, Oregon, and Washington during the summer and fall fishing season."
*GLOBAL*,infoUrl,"https://www.integratedecosystemassessment.noaa.gov/regions/california-current/about-california-current-integrated-ecosystem-assessment"
*GLOBAL*,contributor_name,"Preti"
*GLOBAL*,contributor_email,"antonella.preti@noaa.gov"
year,*DATA_TYPE*,String
year,units,"yyyy"
index,*DATA_TYPE*,float
index,units,"Proportion observed diet"
index,long_name,"Proportion Observed Diet"
timeseries,*DATA_TYPE*,String
metric,*DATA_TYPE*,String
*END_METADATA*
"year","index","timeseries","metric"
2009,0.108743109,"anchovy","mean % albacore diet"
2010,0.146435066,"anchovy","mean % albacore diet"
2011,0.799232613,"anchovy","mean % albacore diet"
2012,0.14070667,"anchovy","mean % albacore diet"
2013,0.285604801,"anchovy","mean % albacore diet"
2014,0.19908161,"anchovy","mean % albacore diet"
2015,0.15964203,"anchovy","mean % albacore diet"
2017,0.513223249,"anchovy","mean % albacore diet"
2018,0.00835346,"anchovy","mean % albacore diet"
2019,0.101775096,"anchovy","mean % albacore diet"
2020,0.152439494,"anchovy","mean % albacore diet"
2021,0.088518751,"anchovy","mean % albacore diet"
2022,0.268396571,"anchovy","mean % albacore diet"
2023,0.058680927,"anchovy","mean % albacore diet"
2024,0.030885405,"anchovy","mean % albacore diet"
2009,0.356724757,"Euphausiidae","mean % albacore diet"
2010,0.038410162,"Euphausiidae","mean % albacore diet"
2011,0.002769632,"Euphausiidae","mean % albacore diet"
2012,0.073794699,"Euphausiidae","mean % albacore diet"
2013,0.054213563,"Euphausiidae","mean % albacore diet"
2014,0.230762154,"Euphausiidae","mean % albacore diet"
2015,0.091982678,"Euphausiidae","mean % albacore diet"
2017,0.099130435,"Euphausiidae","mean % albacore diet"
2018,0.329093389,"Euphausiidae","mean % albacore diet"
2019,0.255955574,"Euphausiidae","mean % albacore diet"
2020,0.154393984,"Euphausiidae","mean % albacore diet"
2021,0.184545819,"Euphausiidae","mean % albacore diet"
2022,0.032959717,"Euphausiidae","mean % albacore diet"
2023,0.098387932,"Euphausiidae","mean % albacore diet"
2024,0.030711781,"Euphausiidae","mean % albacore diet"
2009,0,"hake","mean % albacore diet"
2010,0.056305436,"hake","mean % albacore diet"
2011,0,"hake","mean % albacore diet"
2012,0,"hake","mean % albacore diet"
2013,0,"hake","mean % albacore diet"
2014,0,"hake","mean % albacore diet"
2015,0,"hake","mean % albacore diet"
2017,0,"hake","mean % albacore diet"
2018,0,"hake","mean % albacore diet"
2019,0,"hake","mean % albacore diet"
2020,0,"hake","mean % albacore diet"
2021,0,"hake","mean % albacore diet"
2022,0,"hake","mean % albacore diet"
2023,0,"hake","mean % albacore diet"
2024,0,"hake","mean % albacore diet"
2009,0,"jack mackerel","mean % albacore diet"
2010,0,"jack mackerel","mean % albacore diet"
2011,0,"jack mackerel","mean % albacore diet"
2012,0,"jack mackerel","mean % albacore diet"
2013,0.004267773,"jack mackerel","mean % albacore diet"
2014,0,"jack mackerel","mean % albacore diet"
2015,0.045989103,"jack mackerel","mean % albacore diet"
2017,0,"jack mackerel","mean % albacore diet"
2018,0.004379506,"jack mackerel","mean % albacore diet"
2019,0.004076996,"jack mackerel","mean % albacore diet"
2020,0.02010631,"jack mackerel","mean % albacore diet"
2021,0.034747128,"jack mackerel","mean % albacore diet"
2022,0.004084625,"jack mackerel","mean % albacore diet"
2023,0,"jack mackerel","mean % albacore diet"
2024,0.0011107,"jack mackerel","mean % albacore diet"
2009,0,"market squid","mean % albacore diet"
2010,0.000980392,"market squid","mean % albacore diet"
2011,0,"market squid","mean % albacore diet"
2012,0.02664806,"market squid","mean % albacore diet"
2013,0.000315259,"market squid","mean % albacore diet"
2014,0,"market squid","mean % albacore diet"
2015,0,"market squid","mean % albacore diet"
2017,0,"market squid","mean % albacore diet"
2018,0,"market squid","mean % albacore diet"
2019,0,"market squid","mean % albacore diet"
2020,0,"market squid","mean % albacore diet"
2021,0,"market squid","mean % albacore diet"
2022,0,"market squid","mean % albacore diet"
2023,0.004166667,"market squid","mean % albacore diet"
2024,0.004298192,"market squid","mean % albacore diet"
2009,0.529714321,"other","mean % albacore diet"
2010,0.718828487,"other","mean % albacore diet"
2011,0.170257543,"other","mean % albacore diet"
2012,0.589035267,"other","mean % albacore diet"
2013,0.452817182,"other","mean % albacore diet"
2014,0.521578099,"other","mean % albacore diet"
2015,0.611085711,"other","mean % albacore diet"
2017,0.257821437,"other","mean % albacore diet"
2018,0.462264762,"other","mean % albacore diet"
2019,0.437415138,"other","mean % albacore diet"
2020,0.44718338,"other","mean % albacore diet"
2021,0.449770172,"other","mean % albacore diet"
2022,0.121167443,"other","mean % albacore diet"
2023,0.365915989,"other","mean % albacore diet"
2024,0.869543941,"other","mean % albacore diet"
