*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-04-22 14:49:35"
*GLOBAL*,title,"Bluefin diet"
*GLOBAL*,institution,"NOAA SWFSC/FRD"
*GLOBAL*,summary,"Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance.Diets of bluefin tuna provided by T. Richards, and A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Bluefin stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance."
*GLOBAL*,infoUrl,"https://www.integratedecosystemassessment.noaa.gov/regions/california-current/about-california-current-integrated-ecosystem-assessment"
*GLOBAL*,contributor_name,"Preti"
*GLOBAL*,contributor_email,"antonella.preti@noaa.gov"
year,*DATA_TYPE*,String
year,units,"yyyy"
index,*DATA_TYPE*,float
index,units,"Proportion observed diet"
index,long_name,"Proportion Observed Diet"
timeseries,*DATA_TYPE*,String
metric,*DATA_TYPE*,String
*END_METADATA*
"year","index","timeseries","metric"
2008,0.01,"anchovy","mean % bluefin diet"
2009,0.01,"anchovy","mean % bluefin diet"
2010,0,"anchovy","mean % bluefin diet"
2011,0,"anchovy","mean % bluefin diet"
2012,0,"anchovy","mean % bluefin diet"
2013,0.045,"anchovy","mean % bluefin diet"
2014,0.05,"anchovy","mean % bluefin diet"
2015,0.1,"anchovy","mean % bluefin diet"
2016,0.222,"anchovy","mean % bluefin diet"
2017,0.415,"anchovy","mean % bluefin diet"
2018,0.782,"anchovy","mean % bluefin diet"
2019,0.567,"anchovy","mean % bluefin diet"
2020,0.856,"anchovy","mean % bluefin diet"
2021,0.273,"anchovy","mean % bluefin diet"
2022,0.652,"anchovy","mean % bluefin diet"
2023,0.202,"anchovy","mean % bluefin diet"
2024,0.146,"anchovy","mean % bluefin diet"
2008,0,"hake","mean % bluefin diet"
2009,0,"hake","mean % bluefin diet"
2010,0,"hake","mean % bluefin diet"
2011,0,"hake","mean % bluefin diet"
2012,0.008,"hake","mean % bluefin diet"
2013,0,"hake","mean % bluefin diet"
2014,0.004,"hake","mean % bluefin diet"
2015,0,"hake","mean % bluefin diet"
2016,0.002,"hake","mean % bluefin diet"
2017,0.007,"hake","mean % bluefin diet"
2018,0,"hake","mean % bluefin diet"
2019,0,"hake","mean % bluefin diet"
2020,0,"hake","mean % bluefin diet"
2021,0.076,"hake","mean % bluefin diet"
2022,0.083,"hake","mean % bluefin diet"
2023,0.022,"hake","mean % bluefin diet"
2024,0.061,"hake","mean % bluefin diet"
2008,0.006,"jack mackerel","mean % bluefin diet"
2009,0.242,"jack mackerel","mean % bluefin diet"
2010,0.022,"jack mackerel","mean % bluefin diet"
2011,0.036,"jack mackerel","mean % bluefin diet"
2012,0.148,"jack mackerel","mean % bluefin diet"
2013,0.076,"jack mackerel","mean % bluefin diet"
2014,0.13,"jack mackerel","mean % bluefin diet"
2015,0.016,"jack mackerel","mean % bluefin diet"
2016,0.021,"jack mackerel","mean % bluefin diet"
2017,0,"jack mackerel","mean % bluefin diet"
2018,0,"jack mackerel","mean % bluefin diet"
2019,0,"jack mackerel","mean % bluefin diet"
2020,0,"jack mackerel","mean % bluefin diet"
2021,0,"jack mackerel","mean % bluefin diet"
2022,0.019,"jack mackerel","mean % bluefin diet"
2023,0.024,"jack mackerel","mean % bluefin diet"
2024,0.049,"jack mackerel","mean % bluefin diet"
2008,0,"Pacific mackerel","mean % bluefin diet"
2009,0,"Pacific mackerel","mean % bluefin diet"
2010,0,"Pacific mackerel","mean % bluefin diet"
2011,0.058,"Pacific mackerel","mean % bluefin diet"
2012,0.078,"Pacific mackerel","mean % bluefin diet"
2013,0.043,"Pacific mackerel","mean % bluefin diet"
2014,0.003,"Pacific mackerel","mean % bluefin diet"
2015,0.002,"Pacific mackerel","mean % bluefin diet"
2016,0.004,"Pacific mackerel","mean % bluefin diet"
2017,0,"Pacific mackerel","mean % bluefin diet"
2018,0,"Pacific mackerel","mean % bluefin diet"
2019,0,"Pacific mackerel","mean % bluefin diet"
2020,0.025,"Pacific mackerel","mean % bluefin diet"
2021,0.006,"Pacific mackerel","mean % bluefin diet"
2022,0,"Pacific mackerel","mean % bluefin diet"
2023,0.001,"Pacific mackerel","mean % bluefin diet"
2024,0.009,"Pacific mackerel","mean % bluefin diet"
2008,0.005,"Pacific saury","mean % bluefin diet"
2009,0.045,"Pacific saury","mean % bluefin diet"
2010,0.059,"Pacific saury","mean % bluefin diet"
2011,0.073,"Pacific saury","mean % bluefin diet"
2012,0.014,"Pacific saury","mean % bluefin diet"
2013,0,"Pacific saury","mean % bluefin diet"
2014,0.005,"Pacific saury","mean % bluefin diet"
2015,0.007,"Pacific saury","mean % bluefin diet"
2016,0,"Pacific saury","mean % bluefin diet"
2017,0,"Pacific saury","mean % bluefin diet"
2018,0.001,"Pacific saury","mean % bluefin diet"
2019,0,"Pacific saury","mean % bluefin diet"
2020,0,"Pacific saury","mean % bluefin diet"
2021,0,"Pacific saury","mean % bluefin diet"
2022,0,"Pacific saury","mean % bluefin diet"
2023,0.002,"Pacific saury","mean % bluefin diet"
2024,0.027,"Pacific saury","mean % bluefin diet"
2008,0.056,"rockfishes","mean % bluefin diet"
2009,0.072,"rockfishes","mean % bluefin diet"
2010,0.056,"rockfishes","mean % bluefin diet"
2011,0.067,"rockfishes","mean % bluefin diet"
2012,0.072,"rockfishes","mean % bluefin diet"
2013,0.018,"rockfishes","mean % bluefin diet"
2014,0.039,"rockfishes","mean % bluefin diet"
2015,0.033,"rockfishes","mean % bluefin diet"
2016,0.051,"rockfishes","mean % bluefin diet"
2017,0.114,"rockfishes","mean % bluefin diet"
2018,0.015,"rockfishes","mean % bluefin diet"
2019,0.02,"rockfishes","mean % bluefin diet"
2020,0,"rockfishes","mean % bluefin diet"
2021,0,"rockfishes","mean % bluefin diet"
2022,0,"rockfishes","mean % bluefin diet"
2023,0.003,"rockfishes","mean % bluefin diet"
2024,0.027,"rockfishes","mean % bluefin diet"
2008,0.003,"sardine","mean % bluefin diet"
2009,0.045,"sardine","mean % bluefin diet"
2010,0,"sardine","mean % bluefin diet"
2011,0.034,"sardine","mean % bluefin diet"
2012,0.014,"sardine","mean % bluefin diet"
2013,0.064,"sardine","mean % bluefin diet"
2014,0.013,"sardine","mean % bluefin diet"
2015,0.012,"sardine","mean % bluefin diet"
2016,0.068,"sardine","mean % bluefin diet"
2017,0,"sardine","mean % bluefin diet"
2018,0,"sardine","mean % bluefin diet"
2019,0.011,"sardine","mean % bluefin diet"
2020,0,"sardine","mean % bluefin diet"
2021,0.152,"sardine","mean % bluefin diet"
2022,0.001,"sardine","mean % bluefin diet"
2023,0.039,"sardine","mean % bluefin diet"
2024,0,"sardine","mean % bluefin diet"
2008,0.006,"market squid","mean % bluefin diet"
2009,0.042,"market squid","mean % bluefin diet"
2010,0.028,"market squid","mean % bluefin diet"
2011,0.076,"market squid","mean % bluefin diet"
2012,0.044,"market squid","mean % bluefin diet"
2013,0.026,"market squid","mean % bluefin diet"
2014,0.014,"market squid","mean % bluefin diet"
2015,0.006,"market squid","mean % bluefin diet"
2016,0.046,"market squid","mean % bluefin diet"
2017,0.029,"market squid","mean % bluefin diet"
2018,0.052,"market squid","mean % bluefin diet"
2019,0,"market squid","mean % bluefin diet"
2020,0.003,"market squid","mean % bluefin diet"
2021,0.121,"market squid","mean % bluefin diet"
2022,0.017,"market squid","mean % bluefin diet"
2023,0.076,"market squid","mean % bluefin diet"
2024,0.135,"market squid","mean % bluefin diet"
2008,0,"Euphausiidae","mean % bluefin diet"
2009,0,"Euphausiidae","mean % bluefin diet"
2010,0,"Euphausiidae","mean % bluefin diet"
2011,0,"Euphausiidae","mean % bluefin diet"
2012,0,"Euphausiidae","mean % bluefin diet"
2013,0,"Euphausiidae","mean % bluefin diet"
2014,0.006,"Euphausiidae","mean % bluefin diet"
2015,0.007,"Euphausiidae","mean % bluefin diet"
2016,0.059,"Euphausiidae","mean % bluefin diet"
2017,0.106,"Euphausiidae","mean % bluefin diet"
2018,0,"Euphausiidae","mean % bluefin diet"
2019,0,"Euphausiidae","mean % bluefin diet"
2020,0,"Euphausiidae","mean % bluefin diet"
2021,0,"Euphausiidae","mean % bluefin diet"
2022,0,"Euphausiidae","mean % bluefin diet"
2023,0,"Euphausiidae","mean % bluefin diet"
2024,0.036,"Euphausiidae","mean % bluefin diet"
2008,0.914,"other","mean % bluefin diet"
2009,0.543,"other","mean % bluefin diet"
2010,0.835,"other","mean % bluefin diet"
2011,0.656,"other","mean % bluefin diet"
2012,0.622,"other","mean % bluefin diet"
2013,0.73,"other","mean % bluefin diet"
2014,0.736,"other","mean % bluefin diet"
2015,0.816,"other","mean % bluefin diet"
2016,0.528,"other","mean % bluefin diet"
2017,0.328,"other","mean % bluefin diet"
2018,0.151,"other","mean % bluefin diet"
2019,0.401,"other","mean % bluefin diet"
2020,0.116,"other","mean % bluefin diet"
2021,0.372,"other","mean % bluefin diet"
2022,0.228,"other","mean % bluefin diet"
2023,0.633,"other","mean % bluefin diet"
2024,0.509,"other","mean % bluefin diet"
*END_DATA*
