*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-02-24 00:41:15"
*GLOBAL*,title,"Swordfish diet"
*GLOBAL*,institution,"NOAA SWFSC/FRD"
*GLOBAL*,summary,"Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st).Diets of swordfish provided by A. Preti (NMFS/SWFSC). Antonella.Preti@noaa.gov Data are proportional contributions of key prey classes.; Additional Calculations: Swordfish stomachs were provided by commercial gillnet fishery, and prey were identified from whole or hard part remains and are reported as a mean percent abundance. Swordfish were collected off Southern and Central California during the commercial drift gillnet season (August 15th through January 31st)."
*GLOBAL*,infoUrl,"https://www.integratedecosystemassessment.noaa.gov/regions/california-current/about-california-current-integrated-ecosystem-assessment"
*GLOBAL*,contributor_name,"Preti"
*GLOBAL*,contributor_email,"antonella.preti@noaa.gov"
year,*DATA_TYPE*,String
year,units,"yyyy"
index,*DATA_TYPE*,float
index,units,"Proportion observed diet"
index,long_name,"Proportion Observed Diet"
timeseries,*DATA_TYPE*,String
metric,*DATA_TYPE*,String
*END_METADATA*
"year","index","timeseries","metric"
2007,0.003857844,"anchovy","mean % swordfish diet"
2008,0.003472222,"anchovy","mean % swordfish diet"
2009,0,"anchovy","mean % swordfish diet"
2010,0,"anchovy","mean % swordfish diet"
2011,0,"anchovy","mean % swordfish diet"
2012,0,"anchovy","mean % swordfish diet"
2013,0,"anchovy","mean % swordfish diet"
2014,0,"anchovy","mean % swordfish diet"
2015,0.001748252,"anchovy","mean % swordfish diet"
2016,0.117472111,"anchovy","mean % swordfish diet"
2017,0.285746978,"anchovy","mean % swordfish diet"
2018,0.094580963,"anchovy","mean % swordfish diet"
2019,0.460388848,"anchovy","mean % swordfish diet"
2020,0.131683978,"anchovy","mean % swordfish diet"
2021,0.280191704,"anchovy","mean % swordfish diet"
2022,0.129370065,"anchovy","mean % swordfish diet"
2023,0.353785827,"anchovy","mean % swordfish diet"
2024,0.110245781,"anchovy","mean % swordfish diet"
2007,0,"Euphausiidae","mean % swordfish diet"
2008,0,"Euphausiidae","mean % swordfish diet"
2009,0,"Euphausiidae","mean % swordfish diet"
2010,0,"Euphausiidae","mean % swordfish diet"
2011,0,"Euphausiidae","mean % swordfish diet"
2012,0,"Euphausiidae","mean % swordfish diet"
2013,0.003876596,"Euphausiidae","mean % swordfish diet"
2014,0,"Euphausiidae","mean % swordfish diet"
2015,0,"Euphausiidae","mean % swordfish diet"
2016,0,"Euphausiidae","mean % swordfish diet"
2017,0,"Euphausiidae","mean % swordfish diet"
2018,0,"Euphausiidae","mean % swordfish diet"
2019,0,"Euphausiidae","mean % swordfish diet"
2020,0,"Euphausiidae","mean % swordfish diet"
2021,0,"Euphausiidae","mean % swordfish diet"
2022,0,"Euphausiidae","mean % swordfish diet"
2023,0,"Euphausiidae","mean % swordfish diet"
2024,0,"Euphausiidae","mean % swordfish diet"
2007,0.00177305,"hake","mean % swordfish diet"
2008,0,"hake","mean % swordfish diet"
2009,0,"hake","mean % swordfish diet"
2010,0,"hake","mean % swordfish diet"
2011,0.189303554,"hake","mean % swordfish diet"
2012,0.137617719,"hake","mean % swordfish diet"
2013,0.06698787,"hake","mean % swordfish diet"
2014,0.160318133,"hake","mean % swordfish diet"
2015,0.133805258,"hake","mean % swordfish diet"
2016,0.095299522,"hake","mean % swordfish diet"
2017,0.098381903,"hake","mean % swordfish diet"
2018,0.223300106,"hake","mean % swordfish diet"
2019,0.075973836,"hake","mean % swordfish diet"
2020,0.092516104,"hake","mean % swordfish diet"
2021,0.334724408,"hake","mean % swordfish diet"
2022,0.388383954,"hake","mean % swordfish diet"
2023,0.260559841,"hake","mean % swordfish diet"
2024,0.443857332,"hake","mean % swordfish diet"
2007,0.010035,"jack mackerel","mean % swordfish diet"
2008,0.0078125,"jack mackerel","mean % swordfish diet"
2009,0.013513514,"jack mackerel","mean % swordfish diet"
2010,0.018356643,"jack mackerel","mean % swordfish diet"
2011,0.039389977,"jack mackerel","mean % swordfish diet"
2012,0.025422352,"jack mackerel","mean % swordfish diet"
2013,0.001488095,"jack mackerel","mean % swordfish diet"
2014,0.001331454,"jack mackerel","mean % swordfish diet"
2015,0,"jack mackerel","mean % swordfish diet"
2016,0.002298851,"jack mackerel","mean % swordfish diet"
2017,0.01897019,"jack mackerel","mean % swordfish diet"
2018,0.004059829,"jack mackerel","mean % swordfish diet"
2019,0,"jack mackerel","mean % swordfish diet"
2020,0.002415459,"jack mackerel","mean % swordfish diet"
2021,0.000582298,"jack mackerel","mean % swordfish diet"
2022,0,"jack mackerel","mean % swordfish diet"
2023,0.00282169,"jack mackerel","mean % swordfish diet"
2024,0.005147137,"jack mackerel","mean % swordfish diet"
2007,0.005694217,"market squid","mean % swordfish diet"
2008,0.032939189,"market squid","mean % swordfish diet"
2009,0.093165447,"market squid","mean % swordfish diet"
2010,0.228482371,"market squid","mean % swordfish diet"
2011,0.094355593,"market squid","mean % swordfish diet"
2012,0.056339032,"market squid","mean % swordfish diet"
2013,0.081559592,"market squid","mean % swordfish diet"
