*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.1"
*GLOBAL*,history,"last updated: 2026-02-24 00:41:15"
*GLOBAL*,title,"North Pacific High Area, January - February Mean"
*GLOBAL*,institution,"NOAA SWFSC/ERD"
*GLOBAL*,summary,"Variations in large-scale atmospheric forcing influence upwelling dynamics and ecosystem productivity in the California Current System.The area of the North Pacific High (NPH) is characterized by areal extent of the 1020 Pa isobar. Winter values (January - February mean) of the NPH area can be used as an ecosystem pre-conditioning index (Schroeder et al., doi:10.1002/grl.50100).The area of the NPH are calculated from monthly mean sea level pressure (SLP) fields created by the U.S. Navy Fleet Numerical Meterology and Oceanography Center (FNMOC). Monthly SLP data available at <a href="https://coastwatch.pfeg.noaa.gov/erddap/griddap/erdlasFnWPr.html" target="_blank">https://coastwatch.pfeg.noaa.gov/erddap/griddap/erdlasFnWPr.html</a>. The area is the areal extent of the 1020 hPa contour for a given month. The January - February mean is the average of the January and February areas for a given year.; Additional Calculations: The NRT ROMS temperature data downloaded from the UCSC website (<a href="http://oceanmodeling.ucsc.edu/index.html" target="_blank">http://oceanmodeling.ucsc.edu/index.html</a>) has grid points with 2 m temperature data reported as Not-A-Number, these values are  2 m temperatu. Tdata at these grid points are obtained by extrapolating the data to 2 m depth using the interp1d routine from the Python library scipy.interpolate sub-package."
*GLOBAL*,infoUrl,"https://www.integratedecosystemassessment.noaa.gov/regions/california-current/about-california-current-integrated-ecosystem-assessment"
*GLOBAL*,contributor_name,"Schroeder"
*GLOBAL*,contributor_email,"isaac.schroeder@noaa.gov"
year,*DATA_TYPE*,String
year,units,"yyyy"
index,*DATA_TYPE*,float
index,units,"10^6 km^2"
index,long_name,"NPH Area Jan Feb"
timeseries,*DATA_TYPE*,String
metric,*DATA_TYPE*,String
SEup,*DATA_TYPE*,float
SElo,*DATA_TYPE*,float
*END_METADATA*
"year","index","timeseries","metric","SEup","SElo"
1967,4.48253262715804,"North Pacific High January - February Area","Area (10^6 km^2)",5.71543233820722,3.24963291610885
1968,0.45825428039984,"North Pacific High January - February Area","Area (10^6 km^2)",0.916508560799679,0
1969,1.24884757183082,"North Pacific High January - February Area","Area (10^6 km^2)",2.48694622575898,0.0107489179026616
1970,0.0814999124435243,"North Pacific High January - February Area","Area (10^6 km^2)",0.162999824887049,0
1971,4.28806364645403,"North Pacific High January - February Area","Area (10^6 km^2)",4.93861689854447,3.63751039436359
1972,2.26612600488172,"North Pacific High January - February Area","Area (10^6 km^2)",3.90338940412003,0.628862605643401
1973,1.41867143108199,"North Pacific High January - February Area","Area (10^6 km^2)",1.56602184903711,1.27132101312688
1974,3.07650887411432,"North Pacific High January - February Area","Area (10^6 km^2)",5.86780661825706,0.285211129971576
1975,3.46937223006794,"North Pacific High January - February Area","Area (10^6 km^2)",5.32567339096457,1.61307106917131
1976,4.19674930208701,"North Pacific High January - February Area","Area (10^6 km^2)",5.0996928855434,3.29380571863062
1977,2.3670352324548,"North Pacific High January - February Area","Area (10^6 km^2)",3.71870054638087,1.01536991852872
1978,0.0329910635801668,"North Pacific High January - February Area","Area (10^6 km^2)",0.0659821271603336,0
1979,2.58771742199793,"North Pacific High January - February Area","Area (10^6 km^2)",4.56320067664276,0.612234167353102
1980,0.00569756202654271,"North Pacific High January - February Area","Area (10^6 km^2)",0.0113951240530854,0
1981,0.413496605114168,"North Pacific High January - February Area","Area (10^6 km^2)",0.804996944446166,0.0219962657821706
1982,2.25277075067711,"North Pacific High January - February Area","Area (10^6 km^2)",3.53655661834608,0.968984883008143
1983,0.0166118025239188,"North Pacific High January - February Area","Area (10^6 km^2)",0.0219962657821706,0.0112273392656669
1984,3.67436077770278,"North Pacific High January - February Area","Area (10^6 km^2)",4.32569767070801,3.02302388469756
1985,3.06992315115486,"North Pacific High January - February Area","Area (10^6 km^2)",4.98935664301268,1.15048965929704
