doy,index,SEup,Selo,timeseries,metric
90,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
91,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
92,0,NA,NA,Dungeness Megalopae Daily,No megalopae per day
93,26,NA,NA,Dungeness Megalopae Daily,No megalopae per day
94,60,NA,NA,Dungeness Megalopae Daily,No megalopae per day
95,9,NA,NA,Dungeness Megalopae Daily,No megalopae per day
96,21,NA,NA,Dungeness Megalopae Daily,No megalopae per day
97,4,NA,NA,Dungeness Megalopae Daily,No megalopae per day
98,27,NA,NA,Dungeness Megalopae Daily,No megalopae per day
99,19,NA,NA,Dungeness Megalopae Daily,No megalopae per day
100,22,NA,NA,Dungeness Megalopae Daily,No megalopae per day
101,332,NA,NA,Dungeness Megalopae Daily,No megalopae per day
102,63,NA,NA,Dungeness Megalopae Daily,No megalopae per day
103,147,NA,NA,Dungeness Megalopae Daily,No megalopae per day
104,230,NA,NA,Dungeness Megalopae Daily,No megalopae per day
105,181,NA,NA,Dungeness Megalopae Daily,No megalopae per day
106,272,NA,NA,Dungeness Megalopae Daily,No megalopae per day
107,423,NA,NA,Dungeness Megalopae Daily,No megalopae per day
108,377,NA,NA,Dungeness Megalopae Daily,No megalopae per day
109,112,NA,NA,Dungeness Megalopae Daily,No megalopae per day
110,108,NA,NA,Dungeness Megalopae Daily,No megalopae per day
111,549,NA,NA,Dungeness Megalopae Daily,No megalopae per day
112,61,NA,NA,Dungeness Megalopae Daily,No megalopae per day
113,4,NA,NA,Dungeness Megalopae Daily,No megalopae per day
114,7,NA,NA,Dungeness Megalopae Daily,No megalopae per day
115,1,NA,NA,Dungeness Megalopae Daily,No megalopae per day
116,3,NA,NA,Dungeness Megalopae Daily,No megalopae per day
117,26,NA,NA,Dungeness Megalopae Daily,No megalopae per day
118,11,NA,NA,Dungeness Megalopae Daily,No megalopae per day
119,5,NA,NA,Dungeness Megalopae Daily,No megalopae per day
120,99,NA,NA,Dungeness Megalopae Daily,No megalopae per day
121,206,NA,NA,Dungeness Megalopae Daily,No megalopae per day
122,113,NA,NA,Dungeness Megalopae Daily,No megalopae per day
123,282,NA,NA,Dungeness Megalopae Daily,No megalopae per day
124,58,NA,NA,Dungeness Megalopae Daily,No megalopae per day
125,8,NA,NA,Dungeness Megalopae Daily,No megalopae per day
126,38,NA,NA,Dungeness Megalopae Daily,No megalopae per day
127,9,NA,NA,Dungeness Megalopae Daily,No megalopae per day
128,2,NA,NA,Dungeness Megalopae Daily,No megalopae per day
129,8,NA,NA,Dungeness Megalopae Daily,No megalopae per day
130,505,NA,NA,Dungeness Megalopae Daily,No megalopae per day
131,792,NA,NA,Dungeness Megalopae Daily,No megalopae per day
