year,index,n,se,SEup,SElo,timeseries,metric
1999,0.6406784,29,0.165386851,0.806065251,0.475291549,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2000,0.666256268,26,0.143668069,0.809924337,0.522588199,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2001,0.232524068,37,0.074309237,0.306833306,0.158214831,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2002,0.684224102,34,0.109474967,0.793699069,0.574749136,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2003,0.34295882,38,0.098354817,0.441313637,0.244604003,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2004,0.580172363,39,0.08783977,0.668012133,0.492332594,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2005,0.111789774,33,0.038081266,0.14987104,0.073708509,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2006,0.760370514,43,0.128570784,0.888941297,0.63179973,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2007,0.054854261,44,0.035139839,0.0899941,0.019714422,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2008,0.366578374,45,0.081724622,0.448302995,0.284853752,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2009,0.238952878,45,0.087479948,0.326432826,0.151472929,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2010,0.263854045,45,0.051608546,0.31546259,0.212245499,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2011,0.154025023,44,0.059254221,0.213279244,0.094770802,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2012,0.597306835,44,0.131949346,0.72925618,0.465357489,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2013,0.183684826,45,0.046936014,0.230620841,0.136748812,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2014,0.84140936,43,0.104040575,0.945449935,0.737368785,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2015,1.96299728,40,0.133303497,2.096300777,1.829693783,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2016,1.731540917,41,0.134597628,1.866138545,1.596943289,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2017,0.297084553,42,0.080679013,0.377763565,0.21640554,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
2018,1.212216154,42,0.112656754,1.324872908,1.099559401,Aequorea Water Jelly,CPUE (Log10(no. km-1+ 1)
