year,index,n,timeseries,metric
1998,0.058823529,17,Jack mackerel,Prevalence (Proportion of total stations present)
1999,0.137931034,29,Jack mackerel,Prevalence (Proportion of total stations present)
2000,0.115384615,26,Jack mackerel,Prevalence (Proportion of total stations present)
2001,0.027027027,37,Jack mackerel,Prevalence (Proportion of total stations present)
2002,0.147058824,34,Jack mackerel,Prevalence (Proportion of total stations present)
2003,0.157894737,38,Jack mackerel,Prevalence (Proportion of total stations present)
2004,0.102564103,39,Jack mackerel,Prevalence (Proportion of total stations present)
2005,0.090909091,33,Jack mackerel,Prevalence (Proportion of total stations present)
2006,0.093023256,43,Jack mackerel,Prevalence (Proportion of total stations present)
2007,0.068181818,44,Jack mackerel,Prevalence (Proportion of total stations present)
2008,0.066666667,45,Jack mackerel,Prevalence (Proportion of total stations present)
2009,0.022222222,45,Jack mackerel,Prevalence (Proportion of total stations present)
2010,0.066666667,45,Jack mackerel,Prevalence (Proportion of total stations present)
2011,0.045454545,44,Jack mackerel,Prevalence (Proportion of total stations present)
2012,0,44,Jack mackerel,Prevalence (Proportion of total stations present)
2013,0,45,Jack mackerel,Prevalence (Proportion of total stations present)
2014,0,43,Jack mackerel,Prevalence (Proportion of total stations present)
2015,0.075,40,Jack mackerel,Prevalence (Proportion of total stations present)
2016,0.195121951,41,Jack mackerel,Prevalence (Proportion of total stations present)
2017,0.261904762,42,Jack mackerel,Prevalence (Proportion of total stations present)
2018,0.047619048,42,Jack mackerel,Prevalence (Proportion of total stations present)
2019,0.095238095,42,Jack mackerel,Prevalence (Proportion of total stations present)
2020,0,44,Jack mackerel,Prevalence (Proportion of total stations present)
2021,0,42,Jack mackerel,Prevalence (Proportion of total stations present)
2022,0.048780488,41,Jack mackerel,Prevalence (Proportion of total stations present)
2023,0.025,40,Jack mackerel,Prevalence (Proportion of total stations present)
2024,0.159090909,44,Jack mackerel,Prevalence (Proportion of total stations present)
1998,0.470588235,17,Northern anchovy,Prevalence (Proportion of total stations present)
1999,0.068965517,29,Northern anchovy,Prevalence (Proportion of total stations present)
2000,0.230769231,26,Northern anchovy,Prevalence (Proportion of total stations present)
2001,0.135135135,37,Northern anchovy,Prevalence (Proportion of total stations present)
2002,0.117647059,34,Northern anchovy,Prevalence (Proportion of total stations present)
2003,0.263157895,38,Northern anchovy,Prevalence (Proportion of total stations present)
2004,0.666666667,39,Northern anchovy,Prevalence (Proportion of total stations present)
2005,0.575757576,33,Northern anchovy,Prevalence (Proportion of total stations present)
2006,0.279069767,43,Northern anchovy,Prevalence (Proportion of total stations present)
2007,0.272727273,44,Northern anchovy,Prevalence (Proportion of total stations present)
2008,0.155555556,45,Northern anchovy,Prevalence (Proportion of total stations present)
2009,0.177777778,45,Northern anchovy,Prevalence (Proportion of total stations present)
2010,0.222222222,45,Northern anchovy,Prevalence (Proportion of total stations present)
2011,0.227272727,44,Northern anchovy,Prevalence (Proportion of total stations present)
2012,0.136363636,44,Northern anchovy,Prevalence (Proportion of total stations present)
2013,0.177777778,45,Northern anchovy,Prevalence (Proportion of total stations present)
2014,0.069767442,43,Northern anchovy,Prevalence (Proportion of total stations present)
2015,0.1,40,Northern anchovy,Prevalence (Proportion of total stations present)
2016,0.12195122,41,Northern anchovy,Prevalence (Proportion of total stations present)
2017,0.071428571,42,Northern anchovy,Prevalence (Proportion of total stations present)
2018,0.071428571,42,Northern anchovy,Prevalence (Proportion of total stations present)
2019,0.071428571,42,Northern anchovy,Prevalence (Proportion of total stations present)
2020,0.068181818,44,Northern anchovy,Prevalence (Proportion of total stations present)
2021,0.023809524,42,Northern anchovy,Prevalence (Proportion of total stations present)
2022,0,41,Northern anchovy,Prevalence (Proportion of total stations present)
2023,0.025,40,Northern anchovy,Prevalence (Proportion of total stations present)
2024,0,44,Northern anchovy,Prevalence (Proportion of total stations present)
1998,0.352941176,17,Pacific chub mackerel,Prevalence (Proportion of total stations present)
1999,0.034482759,29,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2000,0,26,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2001,0.081081081,37,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2002,0,34,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2003,0.026315789,38,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2004,0,39,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2005,0.060606061,33,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2006,0.046511628,43,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2007,0,44,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2008,0,45,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2009,0.044444444,45,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2010,0,45,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2011,0.068181818,44,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2012,0.045454545,44,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2013,0,45,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2014,0.11627907,43,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2015,0.025,40,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2016,0.073170732,41,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2017,0.142857143,42,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2018,0,42,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2019,0,42,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2020,0,44,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2021,0,42,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2022,0.024390244,41,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2023,0,40,Pacific chub mackerel,Prevalence (Proportion of total stations present)
2024,0,44,Pacific chub mackerel,Prevalence (Proportion of total stations present)
1998,0.294117647,17,Pacific hake,Prevalence (Proportion of total stations present)
1999,0.068965517,29,Pacific hake,Prevalence (Proportion of total stations present)
2000,0,26,Pacific hake,Prevalence (Proportion of total stations present)
2001,0,37,Pacific hake,Prevalence (Proportion of total stations present)
2002,0.029411765,34,Pacific hake,Prevalence (Proportion of total stations present)
2003,0.026315789,38,Pacific hake,Prevalence (Proportion of total stations present)
2004,0,39,Pacific hake,Prevalence (Proportion of total stations present)
2005,0,33,Pacific hake,Prevalence (Proportion of total stations present)
2006,0.023255814,43,Pacific hake,Prevalence (Proportion of total stations present)
2007,0.045454545,44,Pacific hake,Prevalence (Proportion of total stations present)
2008,0,45,Pacific hake,Prevalence (Proportion of total stations present)
2009,0,45,Pacific hake,Prevalence (Proportion of total stations present)
2010,0,45,Pacific hake,Prevalence (Proportion of total stations present)
2011,0.022727273,44,Pacific hake,Prevalence (Proportion of total stations present)
2012,0,44,Pacific hake,Prevalence (Proportion of total stations present)
2013,0,45,Pacific hake,Prevalence (Proportion of total stations present)
2014,0.023255814,43,Pacific hake,Prevalence (Proportion of total stations present)
2015,0,40,Pacific hake,Prevalence (Proportion of total stations present)
2016,0,41,Pacific hake,Prevalence (Proportion of total stations present)
2017,0,42,Pacific hake,Prevalence (Proportion of total stations present)
2018,0,42,Pacific hake,Prevalence (Proportion of total stations present)
2019,0,42,Pacific hake,Prevalence (Proportion of total stations present)
2020,0,44,Pacific hake,Prevalence (Proportion of total stations present)
2021,0,42,Pacific hake,Prevalence (Proportion of total stations present)
2022,0,41,Pacific hake,Prevalence (Proportion of total stations present)
2023,0,40,Pacific hake,Prevalence (Proportion of total stations present)
2024,0,44,Pacific hake,Prevalence (Proportion of total stations present)
1998,0.411764706,17,Pacific herring,Prevalence (Proportion of total stations present)
1999,0.24137931,29,Pacific herring,Prevalence (Proportion of total stations present)
2000,0.192307692,26,Pacific herring,Prevalence (Proportion of total stations present)
2001,0.162162162,37,Pacific herring,Prevalence (Proportion of total stations present)
2002,0.176470588,34,Pacific herring,Prevalence (Proportion of total stations present)
