year,index,SEup,SElo,timeseries,metric
1997,,,,sanddabs,mean ln larval abundance under 10m^2
1998,,,,sanddabs,mean ln larval abundance under 10m^2
1999,,,,sanddabs,mean ln larval abundance under 10m^2
2000,,,,sanddabs,mean ln larval abundance under 10m^2
2001,,,,sanddabs,mean ln larval abundance under 10m^2
2002,,,,sanddabs,mean ln larval abundance under 10m^2
2003,,,,sanddabs,mean ln larval abundance under 10m^2
2004,,,,sanddabs,mean ln larval abundance under 10m^2
2005,,,,sanddabs,mean ln larval abundance under 10m^2
2006,,,,sanddabs,mean ln larval abundance under 10m^2
2007,,,,sanddabs,mean ln larval abundance under 10m^2
2008,,,,sanddabs,mean ln larval abundance under 10m^2
2009,,,,sanddabs,mean ln larval abundance under 10m^2
2010,,,,sanddabs,mean ln larval abundance under 10m^2
2011,,,,sanddabs,mean ln larval abundance under 10m^2
2012,,,,sanddabs,mean ln larval abundance under 10m^2
2013,,,,sanddabs,mean ln larval abundance under 10m^2
2014,,,,sanddabs,mean ln larval abundance under 10m^2
2015,,,,sanddabs,mean ln larval abundance under 10m^2
2016,,,,sanddabs,mean ln larval abundance under 10m^2
2017,,,,sanddabs,mean ln larval abundance under 10m^2
2018,,,,sanddabs,mean ln larval abundance under 10m^2
2019,,,,sanddabs,mean ln larval abundance under 10m^2
2021,,,,sanddabs,mean ln larval abundance under 10m^2
2022,,,,sanddabs,mean ln larval abundance under 10m^2
2023,,,,sanddabs,mean ln larval abundance under 10m^2
2024,,,,sanddabs,mean ln larval abundance under 10m^2
2025,,,,sanddabs,mean ln larval abundance under 10m^2
1997,,,,market squid,mean ln larval abundance under 10m^2
1998,,,,market squid,mean ln larval abundance under 10m^2
1999,,,,market squid,mean ln larval abundance under 10m^2
2000,,,,market squid,mean ln larval abundance under 10m^2
2001,,,,market squid,mean ln larval abundance under 10m^2
2002,,,,market squid,mean ln larval abundance under 10m^2
2003,,,,market squid,mean ln larval abundance under 10m^2
2004,,,,market squid,mean ln larval abundance under 10m^2
2005,,,,market squid,mean ln larval abundance under 10m^2
2006,,,,market squid,mean ln larval abundance under 10m^2
2007,,,,market squid,mean ln larval abundance under 10m^2
2008,,,,market squid,mean ln larval abundance under 10m^2
2009,,,,market squid,mean ln larval abundance under 10m^2
2010,,,,market squid,mean ln larval abundance under 10m^2
2011,,,,market squid,mean ln larval abundance under 10m^2
2012,,,,market squid,mean ln larval abundance under 10m^2
2013,,,,market squid,mean ln larval abundance under 10m^2
2014,,,,market squid,mean ln larval abundance under 10m^2
2015,,,,market squid,mean ln larval abundance under 10m^2
2016,,,,market squid,mean ln larval abundance under 10m^2
2017,,,,market squid,mean ln larval abundance under 10m^2
2018,,,,market squid,mean ln larval abundance under 10m^2
2019,,,,market squid,mean ln larval abundance under 10m^2
2021,,,,market squid,mean ln larval abundance under 10m^2
2022,,,,market squid,mean ln larval abundance under 10m^2
2023,,,,market squid,mean ln larval abundance under 10m^2
2024,,,,market squid,mean ln larval abundance under 10m^2
2025,,,,market squid,mean ln larval abundance under 10m^2
1997,,,,anchovy,mean ln larval abundance under 10m^2
1998,,,,anchovy,mean ln larval abundance under 10m^2
1999,,,,anchovy,mean ln larval abundance under 10m^2
2000,,,,anchovy,mean ln larval abundance under 10m^2
2001,,,,anchovy,mean ln larval abundance under 10m^2
2002,,,,anchovy,mean ln larval abundance under 10m^2
2003,,,,anchovy,mean ln larval abundance under 10m^2
2004,,,,anchovy,mean ln larval abundance under 10m^2
2005,,,,anchovy,mean ln larval abundance under 10m^2
2006,,,,anchovy,mean ln larval abundance under 10m^2
2007,,,,anchovy,mean ln larval abundance under 10m^2
2008,,,,anchovy,mean ln larval abundance under 10m^2
2009,,,,anchovy,mean ln larval abundance under 10m^2
2010,,,,anchovy,mean ln larval abundance under 10m^2
2011,,,,anchovy,mean ln larval abundance under 10m^2
2012,,,,anchovy,mean ln larval abundance under 10m^2
2013,,,,anchovy,mean ln larval abundance under 10m^2
2014,,,,anchovy,mean ln larval abundance under 10m^2
2015,,,,anchovy,mean ln larval abundance under 10m^2
2016,,,,anchovy,mean ln larval abundance under 10m^2
2017,,,,anchovy,mean ln larval abundance under 10m^2
2018,,,,anchovy,mean ln larval abundance under 10m^2
2019,,,,anchovy,mean ln larval abundance under 10m^2
2021,,,,anchovy,mean ln larval abundance under 10m^2
2022,,,,anchovy,mean ln larval abundance under 10m^2
2023,,,,anchovy,mean ln larval abundance under 10m^2
2024,,,,anchovy,mean ln larval abundance under 10m^2
2025,,,,anchovy,mean ln larval abundance under 10m^2
1997,,,,CA smoothtongue,mean ln larval abundance under 10m^2
1998,,,,CA smoothtongue,mean ln larval abundance under 10m^2
1999,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2000,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2001,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2002,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2003,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2004,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2005,,,,CA smoothtongue,mean ln larval abundance under 10m^2
2006,,,,CA smoothtongue,mean ln larval abundance under 10m^2
