Year,est,lwr,upr,log_est,se,spp
2003,81203238.4967238,66639940.5182871,98949157.0831504,18.2124656873012,0.100844212251086,arrowtooth flounder
2004,72962717.1586141,59747604.2980884,89100779.1476963,18.1054591447942,0.10195059390264,arrowtooth flounder
2005,101852960.10223,82819463.9272592,125260717.58564,18.4390407635651,0.105546378342189,arrowtooth flounder
2006,69140975.7822438,56425311.3341394,84722164.9130445,18.0516581054945,0.103690531449445,arrowtooth flounder
2007,75022071.2173266,62295497.6802519,90348602.697203,18.1332929111056,0.0948452113408333,arrowtooth flounder
2008,91913761.053791,76495146.7581266,110440202.144666,18.336361315548,0.093687160214332793,arrowtooth flounder
2009,97865287.5716888,80964577.504061,118293886.125806,18.3991024743673,0.0967263549946018,arrowtooth flounder
2010,114264294.974231,94024596.6043793,138860783.002284,18.5540247000363,0.0994700563705973,arrowtooth flounder
2011,106465907.479848,89111201.9707115,127200500.103602,18.4833353743051,0.0907872632319493,arrowtooth flounder
2012,98498678.2534088,80603664.523101,120366607.090028,18.4055536873052,0.102297295713691,arrowtooth flounder
2013,125200778.257398,98476115.3678232,159178038.427987,18.6454292327244,0.122504618174237,arrowtooth flounder
2014,92806378.5576146,78027682.41729,110384207.683077,18.3460259298514,0.088497394208775,arrowtooth flounder
2015,85799362.1605785,73084791.4031054,100725888.462334,18.2675221304047,0.0818337890577169,arrowtooth flounder
2016,93297950.4665458,77970127.4715819,111639006.418587,18.3513086984439,0.0915692174423794,arrowtooth flounder
2017,89483644.1495137,74569718.130604,107380351.850768,18.309566419612,0.0930228113718062,arrowtooth flounder
2018,72575431.9315463,60332387.8817167,87302914.8187698,18.100137019377,0.0942657063415095,arrowtooth flounder
2019,74718241.4441869,57339418.9276973,97364356.1256088,18.129234816332,0.135071834919293,arrowtooth flounder
2021,68879166.538921,54742821.0807136,86665968.0563648,18.0478643178207,0.11719986866205,arrowtooth flounder
2022,91489591.7408151,74026796.1536568,113071831.172144,18.3317357723091,0.108062228782147,arrowtooth flounder
2023,113850516.660413,93527414.0465278,138589741.585229,18.5503968885438,0.100324159245533,arrowtooth flounder
2024,99409751.2702646,82574487.2706241,119677384.313974,18.4147607681257,0.0946698253764767,arrowtooth flounder
2003,48776407.924394,39837306.931995,59721355.5140221,17.7027573097543,0.103289101250711,big skate
2004,54937390.6000032,45578003.9564057,66218715.6950552,17.8217047420539,0.0952920333215979,big skate
2005,47156013.2473573,38976417.2164244,57052180.3745442,17.6689720933203,0.09719809158955,big skate
2006,43024440.1981834,34801616.8090231,53190128.0485082,17.5772788888949,0.10821856262314,big skate
2007,43907380.300739,35975821.248181,53587603.5066523,17.5975929801054,0.101652552239404,big skate
2008,36088707.9359381,28832922.1350504,45170407.4385927,17.4014905748126,0.114523610976003,big skate
2009,45246974.8045544,37131042.8014622,55136849.7758256,17.6276463707273,0.100860251199503,big skate
2010,54564629.9845615,45871628.7629807,64905017.0146747,17.8148964283199,0.0885419607225084,big skate
2011,44266206.0706255,36387992.2052842,53850099.4732685,17.6057321012533,0.0999930147116455,big skate
2012,48713192.6676067,40453373.4872657,58659511.8110079,17.7014604480324,0.0947975843245784,big skate
2013,51585606.5252391,42624290.1895891,62430946.9727372,17.7587532482306,0.097358119205281,big skate
2014,68216853.8594872,57977785.109608,80264176.0406857,18.038202216323,0.0829769005021526,big skate
2015,63072106.3581345,53218861.589979,74749637.2827506,17.9597891752303,0.0866677877390507,big skate
2016,56688066.8614799,46834903.9894932,68614145.6639376,17.8530742855511,0.0974176017556392,big skate
2017,55494522.7194001,46540946.0947299,66170594.073994,17.831794884106,0.0897729964559739,big skate
2018,56747022.7389583,47641601.5569296,67592702.2706786,17.8541137501999,0.0892347164486427,big skate
2019,51425691.8806443,41808346.1769732,63255355.1438858,17.7556484475819,0.105635563890803,big skate
2021,44958270.9180888,36995804.8035906,54634468.2775519,17.6212453045826,0.0994560234916835,big skate
2022,54848909.9152205,45680944.2512661,65856846.1794568,17.8200928705632,0.0933185904984806,big skate
2023,47640816.5158943,39451779.865172,57529657.8774828,17.679200441597,0.0962317276533796,big skate
2024,38637625.267931,31210279.764449,47832512.1598416,17.4697371075507,0.108919873575027,big skate
2003,38174111.1863797,28475664.6162137,51175724.412779,17.4576681261884,0.149547502471515,canary rockfish
2004,36623981.7580223,27190445.2365872,49330418.3929686,17.4162138230863,0.151960767620529,canary rockfish
2005,36909281.8016113,27524524.9918447,49493863.5095207,17.4239736167191,0.149689298346562,canary rockfish
2006,30398044.3262119,22077908.3056533,41853652.3508311,17.2298888329325,0.163166666889338,canary rockfish
2007,34816846.2977666,25858796.6726248,46878159.1606543,17.3656119166277,0.151763257452549,canary rockfish
2008,33383056.5492845,24540877.8267712,45411108.4550127,17.3235590402888,0.156996901395439,canary rockfish
2009,32421085.0235916,23773621.3223139,44213994.1515923,17.2943195414351,0.1582847275328,canary rockfish
2010,36141558.4433165,26928481.4142626,48506717.7245219,17.4029539645925,0.150134846266875,canary rockfish
2011,35793089.8157998,26647871.917187,48076832.6470234,17.3932654108348,0.150536214332491,canary rockfish
2012,38699094.3591148,28965129.2197224,51704236.9414301,17.4713267561529,0.147820845024996,canary rockfish
2013,37540337.0415565,27897545.1190836,50516161.8765383,17.4409265672804,0.151470800109133,canary rockfish
2014,42652676.1632646,32250009.2988684,56410860.7544541,17.5686005770205,0.142641237126165,canary rockfish
2015,43510923.853169,33031942.6336683,57314234.1506306,17.5885225875941,0.140582673921877,canary rockfish
2016,44091413.5290624,33462632.3208513,58096228.9024524,17.6017756169033,0.140735083896176,canary rockfish
2017,44543733.0107176,33753971.9664765,58782538.3187701,17.6119820288256,0.14151962727874,canary rockfish
2018,41033742.7768652,30928703.433791,54440304.9381742,17.5299052807519,0.14424247515382,canary rockfish
2019,39691167.8059845,29553609.8296684,53306137.9263831,17.4966392475056,0.150473577790229,canary rockfish
2021,37630960.9541477,28132499.6177955,50336416.6558746,17.4433376991595,0.148421943175332,canary rockfish
2022,38980087.3880615,29158911.4906129,52109188.4129509,17.4785614939104,0.148110047248984,canary rockfish
2023,40760722.8553053,30670895.7303845,54169807.8299387,17.52322950059,0.145107135510873,canary rockfish
2024,39351714.8616018,29568941.3558393,52371082.3432305,17.4880501115885,0.145826670258062,canary rockfish
2003,21816957.2907717,15975541.1184964,29794272.5004959,16.8981980827599,0.158997131953177,darkblotched rockfish
2004,18256166.9048522,13367425.6026877,24932821.0205867,16.7200134935078,0.159024408465421,darkblotched rockfish
2005,22270752.3562306,16249287.2688289,30523579.4227113,16.918784822059,0.160832147502235,darkblotched rockfish
2006,20319768.1879954,15007294.5024746,27512819.125778,16.8271047725384,0.154624183864098,darkblotched rockfish
2007,20398514.3919575,15111678.44083,27534955.2353261,16.830972632239,0.153061089421801,darkblotched rockfish
2008,19030079.8544405,13924787.9603108,26007142.1050422,16.7615314355032,0.159365336083726,darkblotched rockfish
2009,22275539.8696348,16238292.0431547,30557380.9834802,16.9189997675992,0.16128717296953,darkblotched rockfish
2010,20185423.3815066,14627562.4173364,27855038.6910514,16.8204712871053,0.164315847580629,darkblotched rockfish
2011,20036812.0363023,14621761.7819875,27457281.9995387,16.8130817415015,0.160747969879553,darkblotched rockfish
2012,21228871.6042887,15170746.3717045,29706184.4255683,16.8708726812678,0.17142821668956,darkblotched rockfish
2013,20352284.4583929,14666166.308134,28242928.2453735,16.8287037219501,0.167171405830179,darkblotched rockfish
2014,18287902.1294862,13403536.8645072,24952172.5256925,16.7217503133776,0.158534106045993,darkblotched rockfish
2015,19979399.9561857,14740823.2524308,27079655.9848451,16.8102122985108,0.155146220111128,darkblotched rockfish
2016,23824517.1054346,17399542.6102562,32621984.8430135,16.9862257389018,0.160345426910089,darkblotched rockfish
2017,20963834.4595458,15430534.4567656,28481343.694129,16.8583093424575,0.156355159393839,darkblotched rockfish
2018,20536210.2551035,14958314.4787326,28194081.1072954,16.8377002398476,0.16169806522894,darkblotched rockfish
2019,21791748.0090859,15349399.0191798,30938037.4240134,16.8970419244048,0.178806880015696,darkblotched rockfish
2021,19523536.0729809,14364602.7811198,26535259.3873307,16.7871312738231,0.156560874630405,darkblotched rockfish
2022,26707845.9589896,19588029.3189667,36415558.9188563,17.1004679363452,0.158185941275158,darkblotched rockfish
2023,27384189.7452733,18916809.5323857,39641666.1446694,17.1254763882243,0.188735565112505,darkblotched rockfish
2024,25327282.9168558,17681969.6550699,36278269.4724581,17.0473927488282,0.183338437269364,darkblotched rockfish
2003,665271775.013245,583114337.179139,759004720.704214,20.3157061993619,0.0672524376238576,Dover sole
2004,735786913.503972,640696417.45357,844990493.680938,20.4164511150785,0.0706057974480431,Dover sole
2005,781493951.454133,682634585.528232,894670163.374161,20.4767179681338,0.0690052004549392,Dover sole
2006,764467517.72492,674814603.610206,866031325.537341,20.4546900941703,0.0636448145792565,Dover sole
2007,815754832.082352,716199811.002738,929148452.488439,20.5196244169045,0.0664066616996635,Dover sole
2008,725782959.34608,637871781.339225,825810013.058123,20.4027615740246,0.0658755587443711,Dover sole
2009,665857270.560782,588685219.367629,753145977.123261,20.31658589707,0.0628499970400981,Dover sole
2010,638961828.66677,563206835.717619,724906362.283362,20.2753552745118,0.0643878027811096,Dover sole
2011,645175921.935889,566050326.242921,735362124.086452,20.2850335847587,0.0667563475413497,Dover sole
2012,696757202.50469,612094527.984506,793130108.25421,20.3619475615599,0.0660982939183807,Dover sole
2013,825589358.9837,715337374.144176,952834025.319275,20.5316080637806,0.0731356410578192,Dover sole
2014,828482161.60539,722331469.784001,950232297.512372,20.535105863646,0.0699559654159598,Dover sole
2015,782532894.076498,685099741.323249,893822743.428556,20.4780465166535,0.0678438605527898,Dover sole
2016,779101814.41091,685036743.742133,886083327.300851,20.4736522941533,0.0656487873659459,Dover sole
2017,848792192.051439,745182828.703049,966807282.102015,20.5593249464133,0.0664220330316428,Dover sole
2018,883146497.056618,776106285.274977,1004949644.2192,20.5990016531384,0.0659204045729317,Dover sole
2019,767481052.944746,656704441.504359,896944088.393627,20.458624350404,0.0795319389163706,Dover sole
2021,902312415.247854,791978434.928085,1028017505.02758,20.6204713764266,0.0665454348516323,Dover sole
2022,1033424740.67532,904508929.827063,1180714373.75862,20.7561441145752,0.0679815446653981,Dover sole
2023,958136176.985379,835559606.483,1098694726.8936,20.6805004729996,0.0698422156400206,Dover sole
2024,890389048.824257,780792455.804157,1015369260.25963,20.6071690586858,0.0670160925616487,Dover sole
2003,68917227.0982517,54293862.7089441,87479209.507957,18.0484167351851,0.121683349371705,lingcod
2004,71656234.2190556,55849403.6260304,91936808.0783412,18.0873907177912,0.12715606739301,lingcod
2005,66712120.9946349,51972625.8214036,85631753.586904,18.0158972184335,0.127384742260441,lingcod
2006,76350126.976577207,59705456.729907,97634993.6607972,18.150840252713,0.125464691165665,lingcod
2007,54698808.8295752,43157264.5003092,69326907.5789772,17.8173524907305,0.120916086566886,lingcod
2008,46484098.637312,36864341.5364759,58614133.2264229,17.6546208472853,0.118300928664809,lingcod
2009,44155222.78653,34715404.9629704,56161917.2067199,17.6032217744284,0.122720459592246,lingcod
2010,42300357.9646074,34079045.0714929,52505000.6589151,17.560306106501,0.110263693045127,lingcod
2011,58552921.8830685,47378807.7248385,72362408.9689226,17.8854415508289,0.108040739637616,lingcod
2012,75243288.1919765,60079521.9519062,94234312.025201,18.1362372641532,0.114827444483162,lingcod
2013,80273463.9166444,62363644.6149686,103326690.557629,18.2009496624923,0.128806763431303,lingcod
2014,70867194.703661,57051155.3693244,88029054.8483253,18.0763181863098,0.110644533308037,lingcod
2015,70018745.0039232,55837839.0248363,87801117.2628614,18.0642735499358,0.11546703687582,lingcod
2016,75212184.4451967,59447902.428476,95156808.8684757,18.1358238029918,0.120008789610948,lingcod
2017,79848813.3836262,62955869.0496971,101274640.395165,18.1956455719466,0.121278261334945,lingcod
2018,85666145.0630366,66216477.8966151,110828733.92057,18.2659682654145,0.131394437187006,lingcod
2019,54901126.0695534,42204311.9483489,71417670.483381107,17.8210444175545,0.134191988716104,lingcod
2021,50414389.6773318,40527268.9451774,62713593.9008369,17.7357872017624,0.111380408358974,lingcod
2022,52466550.9619068,40931161.2594975,67252892.0542078,17.7756863999767,0.12667792981242,lingcod
2023,57229579.5609615,45685385.1226179,71690864.9874318,17.8625814478785,0.114947236438297,lingcod
2024,72483765.9399316,57836093.6203126,90841133.9003291,18.0988731766816,0.115180474035772,lingcod
2003,139632692.998296,126573228.429816,154039595.859462,18.7545259114064,0.0501000695257207,longnose skate
2004,147367564.085844,133678480.830043,162458451.126523,18.8084404598125,0.0497419251691881,longnose skate
2005,139323153.050717,126676813.598734,153231995.852693,18.7523066349223,0.0485503863878546,longnose skate
2006,145709302.729141,132520493.726545,160210698.774054,18.7971241176457,0.048407142850227,longnose skate
2007,145280999.614373,132500236.972108,159294574.344004,18.7941803533991,0.046983190644214,longnose skate
2008,144959025.105404,131987426.019961,159205460.649952,18.7919616749701,0.0478296831578003,longnose skate
2009,138889075.769093,126203189.03864,152850142.020473,18.749186156461,0.0488694586964643,longnose skate
2010,140512925.131089,127882838.56702401,154390396.320045,18.7608100363225,0.0480544326534424,longnose skate
2011,144256636.713085,131450639.034344,158310202.130961,18.7871044707037,0.0474307185659786,longnose skate
2012,150053582.159318,136768922.610429,164628609.256343,18.8265030026701,0.0472966033849934,longnose skate
2013,152297940.5855,138042013.59124,168026111.059686,18.8413492956827,0.0501441115028045,longnose skate
2014,147919780.998161,134832273.856736,162277628.231595,18.8121806644996,0.0472654177026265,longnose skate
2015,146870071.311516,134006056.382851,160968977.293256,18.8050588852717,0.0467678652331985,longnose skate
2016,145251405.679219,132398588.817003,159351931.469225,18.7939766313033,0.0472708116606089,longnose skate
2017,148623970.09049,135591069.266424,162909582.503962,18.8169299833666,0.046825305799476503,longnose skate
2018,150620967.137899,137348945.591937,165175463.443003,18.8302770876625,0.0470630045812057,longnose skate
2019,145326237.70486,131328530.787523,160815896.125565,18.7944916883216,0.0516739485024693,longnose skate
2021,151477250.705831,138113172.106458,166134461.553826,18.835946011281,0.0471243437370614,longnose skate
2022,155156546.561433,141202369.145958,170489731.060998,18.8599451430148,0.0480827618371461,longnose skate
2023,156911828.655674,143035938.477698,172133816.396826,18.8711946046364,0.0472397098578424,longnose skate
2024,153278041.873172,139469904.175605,168453246.306763,18.8477640972694,0.0481665493552135,longnose skate
2003,413195644.94959,371410161.925879,459682201.800875,19.839431755342,0.0543959932623581,longspine thornyhead
2004,420390059.1065,377450810.220336,468214127.537314,19.8566935504137,0.0549717939475503,longspine thornyhead
2005,408892336.499724,366581938.585829,456086144.050597,19.8289624434124,0.0557305233554269,longspine thornyhead
2006,408167578.056171,366129135.029516,455032817.213004,19.8271883785716,0.0554559789582496,longspine thornyhead
2007,416515873.009245,375196581.160796,462385536.488414,19.8474351293114,0.0533042786119541,longspine thornyhead
2008,430098989.940483,387477972.657294,477408147.563098,19.8795259493217,0.0532440339507768,longspine thornyhead
2009,430502932.696135,387656439.224745,478085119.469731,19.8804646941111,0.0534880515778031,longspine thornyhead
2010,425130950.757036,383547993.177959,471222189.937839,19.867907798858,0.0525175378448678,longspine thornyhead
2011,430919106.505596,387914328.550468,478691460.16199,19.8814309425304,0.0536417367143614,longspine thornyhead
2012,426591630.409432,384192535.841859,473669845.606487,19.8713377445157,0.053410861130388,longspine thornyhead
2013,424033562.26406,381082967.358094,471824975.996344,19.8653231663467,0.0544884986204334,longspine thornyhead
2014,424569371.832168,382256819.535883,471565560.862522,19.8665859704634,0.0535636002318112,longspine thornyhead
2015,427437454.521537,384549417.038447,475108710.175432,19.8733185304247,0.0539477611579866,longspine thornyhead
2016,430314619.641429,388072659.332971,477154644.687991,19.880027172694,0.0527173086503096,longspine thornyhead
2017,443854168.119036,400318744.443124,492124151.794824,19.9110066162626,0.052671869596615,longspine thornyhead
2018,441761577.776217,398205248.047108,490082168.82226,19.9062808777085,0.0529615592911825,longspine thornyhead
2019,428400899.871581,384298974.857788,477563935.939969,19.8755699970762,0.0554288803053488,longspine thornyhead
2021,452278341.469827,407272073.425224,502258100.935699,19.9298083479817,0.0534787086211489,longspine thornyhead
2022,450481474.726327,405439500.598453,500527350.620903,19.925827512582998,0.0537485841932146,longspine thornyhead
2023,449158853.466075,403991699.969005,499375793.271093,19.9228871770473,0.0540735884945182,longspine thornyhead
2024,448389957.499374,403140166.585759,498718735.195842,19.9211738526121,0.0542759898173236,longspine thornyhead
2003,66016073.5125764,55166143.1635347,78999939.3123909,18.0054088084095,0.0916082311921118,petrale sole
2004,82873373.6329499,69480204.9823701,98848241.1508312,18.2328243819393,0.0899363119737162,petrale sole
2005,82574163.2554446,70630767.8192282,96537141.6432564,18.2292073960435,0.0797111502776317,petrale sole
2006,76399176.7732437,64295917.4853307,90780790.4438259,18.1514824788594,0.0879994656545501,petrale sole
2007,70670420.5618116,59509775.3321176,83924167.32395,18.073537663715,0.087698813219637,petrale sole
2008,59711307.7988419,50665221.9380846,70372538.4526131,17.9050319707928,0.0838187317382645,petrale sole
2009,62550620.3238836,52993105.735565,73831870.1762148,17.9514867120764,0.0846007022527559,petrale sole
2010,83741694.3280639,72054057.2053921,97325142.2740159,18.2432475515493,0.0766954714171244,petrale sole
2011,107030335.834857,92227392.2952124,124209223.570522,18.4886228647194,0.0759478873151747,petrale sole
2012,130458804.858803,111502180.375343,152638268.66789,18.6865680633122,0.0801103290374956,petrale sole
2013,178691703.308762,150385316.323414,212326080.843673,19.0011725510091,0.0879920337740889,petrale sole
2014,187371855.631072,161150944.700735,217859177.604132,19.0486057330912,0.0769165687875133,petrale sole
2015,174290992.865681,149531805.18198,203149759.057183,18.9762368331119,0.0781734575022577,petrale sole
2016,192241696.911464,165496081.772768,223309637.518443,19.0742639764003,0.0764329855904485,petrale sole
2017,201750765.971969,173367041.150451,234781486.147377,19.1225436617464,0.0773596519127496,petrale sole
2018,140038702.573674,120205238.300092,163144622.44615,18.757429389324,0.0779188962374492,petrale sole
2019,141397413.493801,116150120.564367,172132654.237386,18.7670850191364,0.100354376663027,petrale sole
2021,170426856.128047,146390715.502125,198409531.574892,18.9538167663262,0.0775662352707641,petrale sole
2022,168914965.649989,143938469.05997,198225434.846396,18.9449059844246,0.0816390085016715,petrale sole
2023,175934392.657986,150435186.40463,205755789.318327,18.9856217145181,0.079888621156934,petrale sole
