"year","cog_N","cog_Lat","species","index","timeseries","metric","note"
2003,4482.28991006493,40.4724949578973,"sablefish",40.4724949578973,"Sablefish","Center of gravity","CoG is in latitude"
2004,4494.91232485084,40.585950077061,"sablefish",40.585950077061,"Sablefish","Center of gravity","CoG is in latitude"
2005,4405.72827539193,39.7828624192004,"sablefish",39.7828624192004,"Sablefish","Center of gravity","CoG is in latitude"
2006,4438.69083899171,40.0801048568261,"sablefish",40.0801048568261,"Sablefish","Center of gravity","CoG is in latitude"
2007,4379.85254442572,39.5495773051168,"sablefish",39.5495773051168,"Sablefish","Center of gravity","CoG is in latitude"
2008,4417.18330841564,39.8861326734673,"sablefish",39.8861326734673,"Sablefish","Center of gravity","CoG is in latitude"
2009,4379.03912768866,39.5427834838718,"sablefish",39.5427834838718,"Sablefish","Center of gravity","CoG is in latitude"
2010,4427.40653266213,39.9778645276811,"sablefish",39.9778645276811,"Sablefish","Center of gravity","CoG is in latitude"
2011,4443.30467239644,40.123180333886,"sablefish",40.123180333886,"Sablefish","Center of gravity","CoG is in latitude"
2012,4465.22789818825,40.3195581964931,"sablefish",40.3195581964931,"Sablefish","Center of gravity","CoG is in latitude"
2013,4372.36804431208,39.4837288471887,"sablefish",39.4837288471887,"Sablefish","Center of gravity","CoG is in latitude"
2014,4399.57642122877,39.729380628387,"sablefish",39.729380628387,"Sablefish","Center of gravity","CoG is in latitude"
2015,4473.33694062938,40.3930614206488,"sablefish",40.3930614206488,"Sablefish","Center of gravity","CoG is in latitude"
2016,4474.80069700728,40.4064626029524,"sablefish",40.4064626029524,"Sablefish","Center of gravity","CoG is in latitude"
2017,4481.15608067206,40.464489841983,"sablefish",40.464489841983,"Sablefish","Center of gravity","CoG is in latitude"
2018,4523.52786728403,40.8454980639778,"sablefish",40.8454980639778,"Sablefish","Center of gravity","CoG is in latitude"
2019,4492.41420786215,40.5657915929992,"sablefish",40.5657915929992,"Sablefish","Center of gravity","CoG is in latitude"
