Year,est,lwr,upr,log_est,se,spp
2003,71604762.5313938,59145229.8658529,86689020.0411153,18.0866721455204,0.0975352846245992,arrowtooth flounder
2004,72347887.8290422,58256324.935029,89848044.4683253,18.0969968168221,0.110529372702713,arrowtooth flounder
2005,89075917.4713874,72549545.510371,109366902.542969,18.3049995693906,0.10470564675507,arrowtooth flounder
2006,62823943.8241978,51990916.955479,75914181.7215058,17.955846829859,0.0965666940804046,arrowtooth flounder
2007,70959841.8451093,57649185.0857514,87343804.5514967,18.0776246671738,0.105990722165988,arrowtooth flounder
2008,86582152.6898758,71347241.0090497,105070203.954518,18.2766042632619,0.0987441769632494,arrowtooth flounder
2009,97245333.1801116,79904781.6324115,118349047.855667,18.3927475514462,0.10020658483415,arrowtooth flounder
2010,118541929.477294,97295763.7902695,144427552.616686,18.590777291206,0.100772914282259,arrowtooth flounder
2011,111347207.845185,94599560.7801381,131059812.462914,18.5281638758722,0.0831650408184515,arrowtooth flounder
2012,98520248.406073,83216478.2417228,116638429.684565,18.4057726525905,0.0861325575118888,arrowtooth flounder
2013,121980241.040292,94226788.831765,157908163.789952,18.6193696308947,0.131713925006069,arrowtooth flounder
2014,108790783.819478,92275621.1969585,128261771.533287,18.5049371812567,0.0840049325802564,arrowtooth flounder
2015,96085100.4699069,81122948.3440273,113806841.59998,18.3807448199838,0.0863630039676629,arrowtooth flounder
2016,86204229.4312634,73400319.7616644,101241645.758048,18.2722297997581,0.0820377063176877,arrowtooth flounder
2017,88299641.1032784,74363592.7230784,104847363.252099,18.2962466010504,0.0876391441323824,arrowtooth flounder
2018,64206969.9719965,54002781.8954697,76339307.8705579,17.9776223293093,0.0883058111731063,arrowtooth flounder
2019,72940691.0369134,55711369.2515606,95498360.2165446,18.1051572173459,0.137483351518568,arrowtooth flounder
2021,70550047.9913034,56367803.361209,88300571.8651167,18.0718329165081,0.114504259876179,arrowtooth flounder
2022,99997938.6609994,80780083.3729416,123787786.777632,18.4206601303499,0.108889312168749,arrowtooth flounder
2023,134835529.368464,110664691.438177,164285642.907437,18.7195662926964,0.100793129185802,arrowtooth flounder
