year,index,sd.w,n,SDup,SDlo,SE,SEup,SElo,CLup,CLlo,timeseries_original,metric,timeseries
2003,0.0535848996446017,0.163097120907657,541,0.216682020552259,0.216682020552259,0.00701209291435126,0.060596992558953,0.0465728067302504,0.0673286017567302,0.0398411975324732,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2004,0.0561535124959186,0.145069097686363,468,0.201222610182282,0.201222610182282,0.00670582141273687,0.0628593339086555,0.0494476910831817,0.0692969224648829,0.0430101025269543,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2005,0.128125439031842,0.666058796855893,635,0.794184235887735,0.794184235887735,0.0264317370934667,0.154557176125309,0.101693701938375,0.179931643735037,0.0763192343286474,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2006,0.0759994580130968,0.239276446921164,636,0.315275904934261,0.315275904934261,0.00948792828279162,0.0854873862958884,0.0665115297303052,0.0945957974473684,0.0574031185788252,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2007,0.0787938170815936,0.251349306884031,683,0.330143123965625,0.330143123965625,0.00961761394046783,0.088411431022061407,0.0691762031411258,0.0976443404049105,0.0599432937582767,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2008,0.0950230205684029,0.241116533977365,674,0.336139554545768,0.336139554545768,0.00928746187113578,0.104310482439539,0.0857355586972671,0.113226445835829,0.0768195953009768,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2009,0.189834731013878,0.829841639181183,677,1.01967637019506,1.01967637019506,0.031893405043314,0.221728136057192,0.157941325970564,0.252345804898773,0.127323657128983,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2010,0.2719314797129,0.77088653005781,701,1.04281800977071,1.04281800977071,0.0291159824002812,0.301047462113181,0.242815497312619,0.328998805217451,0.214864154208349,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2011,0.253225747114913,1.44571430524444,685,1.69894005235935,1.69894005235935,0.0552379042133289,0.308463651328242,0.197987842901584,0.361492039373038,0.144959454856788,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2012,0.152476586605615,0.39187208090152,692,0.544348667507135,0.544348667507135,0.0148967413024044,0.167373327908019,0.137579845303211,0.181674199558328,0.123278973652902,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2013,0.103054568376358,0.260673963281952,463,0.36372853165831,0.36372853165831,0.0121145464508038,0.115169114827162,0.0909400219255542,0.126799079419933,0.0793100573327825,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2014,0.127499349971769,0.475270034576342,670,0.602769384548111,0.602769384548111,0.0183612833163746,0.145860633288144,0.109138066655394,0.163487465271863,0.0915112346716749,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2015,0.194743966321672,1.10906896078782,662,1.30381292710949,1.30381292710949,0.0431051892590892,0.237849155580761,0.151638777062583,0.279230137269487,0.110257795373857,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2016,0.181438155081217,0.460879863758386,687,0.642318018839603,0.642318018839603,0.0175836635516616,0.199021818632879,0.163854491529555,0.215902135642474,0.14697417451996,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2017,0.203154391554241,0.437667913831798,701,0.640822305386039,0.640822305386039,0.0165304889622845,0.219684880516525,0.186623902591957,0.235554149920319,0.170754633188163,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2018,0.145633327195976,0.525037851017647,700,0.670671178213623,0.670671178213623,0.0198445654669782,0.165477892662954,0.125788761728998,0.184528675511253,0.106737978880699,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2019,0.0980904982049229,0.29883755508155,348,0.396928053286473,0.396928053286473,0.0160193744341605,0.114109872639083,0.0820711237707624,0.129488472095877,0.0666925243139684,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2021,0.220523513764416,0.992807650759547,681,1.21333116452396,1.21333116452396,0.0380444718402241,0.25856798560464,0.182479041924192,0.295090678571255,0.145956348957577,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2022,0.18499157219067,0.997178224715939,631,1.18216979690661,1.18216979690661,0.0396970383325183,0.224688610523188,0.145294533858152,0.262797767322406,0.107185377058934,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2023,0.15368337430911,0.395545600692033,661,0.549228975001143,0.549228975001143,0.0153849407786876,0.169068315087798,0.138298433530422,0.183837858235338,0.123528890382882,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2024,0.221526078357483,0.879674444603399,658,1.10120052296088,1.10120052296088,0.0342932802550428,0.255819358612526,0.18723279810244,0.288740907657367,0.154311249057599,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2025,0.490981830390606,5.87464272941148,698,6.36562455980209,6.36562455980209,0.222358506564481,0.713340336955087,0.268623323826125,0.926804503256988,0.0551591575242238,Crab:Finfish ratio - Coastwide,Ratio,Coastwide
2003,0.049245847962199,0.135823699648079,332,0.185069547610278,0.185069547610278,0.00745429394046668,0.0567001419026657,0.0417915540217323,0.0638562640855137,0.0346354318388843,Crab:Finfish ratio - North,Ratio,North
2004,0.0556866242540929,0.144149470476486,251,0.199836094730579,0.199836094730579,0.009098633897427,0.0647852581515199,0.0465879903566659,0.0735199466930498,0.037853301815136,Crab:Finfish ratio - North,Ratio,North
2005,0.173801241873368,0.810063336610472,350,0.98386457848384,0.98386457848384,0.0432997066740474,0.217100948547415,0.130501535199321,0.258668666954501,0.0889338167922351,Crab:Finfish ratio - North,Ratio,North
2006,0.0963911856380851,0.291786058792009,332,0.388177244430094,0.388177244430094,0.0160138404093066,0.112405026047392,0.0803773452287785,0.127778312840326,0.0650040584358442,Crab:Finfish ratio - North,Ratio,North
2007,0.100539052317091,0.301122348980906,380,0.401661401297997,0.401661401297997,0.015447250569172,0.115986302886263,0.085091801747919,0.130815663432668,0.0702624412015138,Crab:Finfish ratio - North,Ratio,North
2008,0.0976555701233317,0.221686603288582,345,0.319342173411914,0.319342173411914,0.0119352055139321,0.109590775637264,0.0857203646093996,0.121048572930639,0.0742625673160248,Crab:Finfish ratio - North,Ratio,North
2009,0.152547506675524,0.510453369389596,351,0.66300087606512,0.66300087606512,0.0272459852146474,0.179793491890171,0.125301521460877,0.205949637696233,0.0991453756548151,Crab:Finfish ratio - North,Ratio,North
2010,0.273374574053516,0.771372569710173,364,1.04474714376369,1.04474714376369,0.0404309084145198,0.313805482468036,0.232943665638996,0.352619154545975,0.194129993561057,Crab:Finfish ratio - North,Ratio,North
2011,0.315044830687591,1.74820747097933,360,2.06325230166692,2.06325230166692,0.0921386238469566,0.407183454534548,0.222906206840634,0.495636533427626,0.134453127947556,Crab:Finfish ratio - North,Ratio,North
2012,0.17310641823255,0.348448356096765,368,0.521554774329315,0.521554774329315,0.018164126200167,0.191270544432717,0.154942292032383,0.208708105584877,0.137504730880223,Crab:Finfish ratio - North,Ratio,North
2013,0.12478762044964,0.278031453306647,271,0.402819073756287,0.402819073756287,0.0168892080029253,0.141676828452565,0.107898412446715,0.157890468135373,0.0916847727639065,Crab:Finfish ratio - North,Ratio,North
