"year","index","SEup","SElo","timeseries_original","timeseries"
"2003",0.65065945674201,0.659329325160228,0.641989588323792,"Simpson diversity - Coastwide","Coastwide"
"2004",0.6618143722437,0.67042414281012,0.65320460167728,"Simpson diversity - Coastwide","Coastwide"
"2005",0.672188266921717,0.679227938671738,0.665148595171696,"Simpson diversity - Coastwide","Coastwide"
"2006",0.652721316340331,0.660466447448216,0.644976185232446,"Simpson diversity - Coastwide","Coastwide"
"2007",0.657784548448011,0.665002227410039,0.650566869485983,"Simpson diversity - Coastwide","Coastwide"
"2008",0.633556171324193,0.641057195802087,0.626055146846299,"Simpson diversity - Coastwide","Coastwide"
"2009",0.630690177030448,0.638488571205079,0.622891782855817,"Simpson diversity - Coastwide","Coastwide"
"2010",0.664107430638424,0.671226888539671,0.656987972737177,"Simpson diversity - Coastwide","Coastwide"
"2011",0.675265021886407,0.682642652011404,0.66788739176141,"Simpson diversity - Coastwide","Coastwide"
"2012",0.650211561750497,0.658007984346417,0.642415139154577,"Simpson diversity - Coastwide","Coastwide"
"2013",0.662456859215609,0.671012595461657,0.653901122969561,"Simpson diversity - Coastwide","Coastwide"
"2014",0.672115619240456,0.679524830298741,0.664706408182171,"Simpson diversity - Coastwide","Coastwide"
"2015",0.696908372943016,0.703887021495447,0.689929724390585,"Simpson diversity - Coastwide","Coastwide"
"2016",0.699312301479464,0.705927304696441,0.692697298262487,"Simpson diversity - Coastwide","Coastwide"
"2017",0.669585531092219,0.676576154771475,0.662594907412963,"Simpson diversity - Coastwide","Coastwide"
"2018",0.655826404995063,0.662741070438327,0.648911739551799,"Simpson diversity - Coastwide","Coastwide"
"2019",0.66388896364057,0.673142726751649,0.654635200529491,"Simpson diversity - Coastwide","Coastwide"
"2021",0.661003735121601,0.668255329114198,0.653752141129004,"Simpson diversity - Coastwide","Coastwide"
"2022",0.668625246023431,0.676603339912243,0.660647152134619,"Simpson diversity - Coastwide","Coastwide"
"2023",0.662443627564216,0.669555737388713,0.655331517739719,"Simpson diversity - Coastwide","Coastwide"
"2024",0.640536635865174,0.647960559237247,0.633112712493101,"Simpson diversity - Coastwide","Coastwide"
"2003",0.662777753004796,0.673918717696384,0.651636788313208,"Simpson diversity - North","North"
"2004",0.696859782705619,0.707230873944513,0.686488691466725,"Simpson diversity - North","North"
"2005",0.703045593021141,0.711509594148788,0.694581591893494,"Simpson diversity - North","North"
"2006",0.667441790841288,0.678266500541647,0.656617081140929,"Simpson diversity - North","North"
"2007",0.665928545069216,0.675722631957509,0.656134458180923,"Simpson diversity - North","North"
"2008",0.650993206264928,0.661565551535209,0.640420860994647,"Simpson diversity - North","North"
"2009",0.649036909001817,0.659779463745408,0.638294354258226,"Simpson diversity - North","North"
"2010",0.691454132784904,0.701150314593134,0.681757950976674,"Simpson diversity - North","North"
"2011",0.701872390593235,0.711879251569242,0.691865529617228,"Simpson diversity - North","North"
"2012",0.674510232309225,0.684616878944714,0.664403585673736,"Simpson diversity - North","North"
"2013",0.676968409490099,0.687929259275733,0.666007559704465,"Simpson diversity - North","North"
"2014",0.690622842071709,0.700235644054785,0.681010040088633,"Simpson diversity - North","North"
"2015",0.726553841700865,0.735588777842678,0.717518905559052,"Simpson diversity - North","North"
"2016",0.725815986261451,0.734714878042438,0.716917094480465,"Simpson diversity - North","North"
"2017",0.694152408774793,0.70325321359227,0.685051603957316,"Simpson diversity - North","North"
"2018",0.667139003457805,0.677059320034436,0.657218686881174,"Simpson diversity - North","North"
"2019",0.670947401243238,0.683697768238692,0.658197034247784,"Simpson diversity - North","North"
"2021",0.680089767351092,0.689445178637934,0.67073435606425,"Simpson diversity - North","North"
"2022",0.679811786294128,0.691456856169927,0.668166716418329,"Simpson diversity - North","North"
"2023",0.688983442612918,0.697958926012817,0.680007959213019,"Simpson diversity - North","North"
"2024",0.651213785677697,0.661343452663459,0.641084118691936,"Simpson diversity - North","North"
"2003",0.626030856166523,0.639690117064347,0.612371595268699,"Simpson diversity - South","South"
"2004",0.603286119767508,0.617088273440797,0.589483966094219,"Simpson diversity - South","South"
"2005",0.614251677334426,0.625792577354168,0.602710777314684,"Simpson diversity - South","South"
"2006",0.62641466545828,0.637268781561025,0.615560549355535,"Simpson diversity - South","South"
"2007",0.641493148857004,0.652027929861381,0.630958367852627,"Simpson diversity - South","South"
"2008",0.604312385670393,0.614715299396879,0.593909471943907,"Simpson diversity - South","South"
"2009",0.600130940446242,0.61133390158646,0.588927979306024,"Simpson diversity - South","South"
