...1,year,index,SEup,SElo,timeseries_original,metric,timeseries
23,2003,36.1381713958609,38.5904706528019,33.6858721389199,Spp Density Coastwide,No spp per  6 trawls,Coastwide
24,2004,35.6320561977007,37.6334423254641,33.6306700699373,Spp Density Coastwide,No spp per  6 trawls,Coastwide
25,2005,35.670910532147,37.458393743567,33.883427320727,Spp Density Coastwide,No spp per  6 trawls,Coastwide
26,2006,35.8166548499199,37.5504445770405,34.0828651227993,Spp Density Coastwide,No spp per  6 trawls,Coastwide
27,2007,34.6217159206147,36.3181748663783,32.9252569748512,Spp Density Coastwide,No spp per  6 trawls,Coastwide
28,2008,34.2360924873759,36.2235263702593,32.2486586044924,Spp Density Coastwide,No spp per  6 trawls,Coastwide
29,2009,35.2568232697579,36.9860050324266,33.5276415070892,Spp Density Coastwide,No spp per  6 trawls,Coastwide
30,2010,35.9467380586647,37.9380689618822,33.9554071554473,Spp Density Coastwide,No spp per  6 trawls,Coastwide
31,2011,35.6174381438721,37.2663229087848,33.9685533789593,Spp Density Coastwide,No spp per  6 trawls,Coastwide
32,2012,34.6412805472652,36.7051415293782,32.5774195651522,Spp Density Coastwide,No spp per  6 trawls,Coastwide
33,2013,35.6150154993528,37.4939975516384,33.7360334470672,Spp Density Coastwide,No spp per  6 trawls,Coastwide
34,2014,36.5079928854311,38.5727936355302,34.4431921353321,Spp Density Coastwide,No spp per  6 trawls,Coastwide
35,2015,37.6038765383564,39.6669314972364,35.5408215794765,Spp Density Coastwide,No spp per  6 trawls,Coastwide
36,2016,35.7544400830948,37.7806703078489,33.7282098583406,Spp Density Coastwide,No spp per  6 trawls,Coastwide
37,2017,36.3130302761547,38.305235105805,34.3208254465045,Spp Density Coastwide,No spp per  6 trawls,Coastwide
38,2018,36.1294419039341,38.0624566752134,34.1964271326549,Spp Density Coastwide,No spp per  6 trawls,Coastwide
39,2019,34.9513502405224,36.8351583073526,33.0675421736921,Spp Density Coastwide,No spp per  6 trawls,Coastwide
40,2021,34.9872764441229,36.9879932909844,32.9865595972614,Spp Density Coastwide,No spp per  6 trawls,Coastwide
41,2022,34.3782727390692,36.4646882867768,32.2918571913615,Spp Density Coastwide,No spp per  6 trawls,Coastwide
42,2023,35.1118874881885,37.1105367248247,33.1132382515523,Spp Density Coastwide,No spp per  6 trawls,Coastwide
43,2024,34.6690887962106,36.5959521797888,32.7422254126323,Spp Density Coastwide,No spp per  6 trawls,Coastwide
44,2025,34.7982632729807,36.7000310035219,32.8964955424395,Spp Density Coastwide,No spp per  6 trawls,Coastwide
67,2003,37.1078768455864,40.1736179813066,34.0421357098663,Spp Density North,No spp per  6 trawls,North
68,2004,34.5380857206294,36.8034605386689,32.2727109025899,Spp Density North,No spp per  6 trawls,North
69,2005,35.2677843242611,37.4833828682047,33.0521857803176,Spp Density North,No spp per  6 trawls,North
70,2006,34.2256361832689,36.3588031306857,32.0924692358521,Spp Density North,No spp per  6 trawls,North
71,2007,34.0027905661438,36.1560927878279,31.8494883444596,Spp Density North,No spp per  6 trawls,North
72,2008,33.891637229045,35.8930475542012,31.8902269038888,Spp Density North,No spp per  6 trawls,North
73,2009,34.8224896847902,37.0737587743761,32.5712205952043,Spp Density North,No spp per  6 trawls,North
74,2010,35.990757166788,38.534628453177,33.4468858803991,Spp Density North,No spp per  6 trawls,North
75,2011,35.6178693652363,38.0685677101138,33.1671710203588,Spp Density North,No spp per  6 trawls,North
76,2012,34.8542144700744,37.3724318597458,32.3359970804029,Spp Density North,No spp per  6 trawls,North
77,2013,35.238594409759,37.6247228931251,32.8524659263929,Spp Density North,No spp per  6 trawls,North
78,2014,37.9084888199699,40.907490051775,34.9094875881648,Spp Density North,No spp per  6 trawls,North
79,2015,38.3066160312663,41.8564132931834,34.7568187693493,Spp Density North,No spp per  6 trawls,North
80,2016,36.0920350205737,38.8127323643404,33.3713376768069,Spp Density North,No spp per  6 trawls,North
81,2017,38.1536687053124,41.1647898266381,35.1425475839868,Spp Density North,No spp per  6 trawls,North
82,2018,36.3582953755216,38.9807740721571,33.7358166788861,Spp Density North,No spp per  6 trawls,North
83,2019,35.6228946049252,38.128570459706,33.1172187501445,Spp Density North,No spp per  6 trawls,North
84,2021,35.1705633220845,38.042968021279,32.29815862289,Spp Density North,No spp per  6 trawls,North
85,2022,35.9093191081188,38.961063339528,32.8575748767095,Spp Density North,No spp per  6 trawls,North
86,2023,35.1008277637361,37.9247966594725,32.2768588679998,Spp Density North,No spp per  6 trawls,North
87,2024,35.4610233174511,38.1968591181156,32.7251875167867,Spp Density North,No spp per  6 trawls,North
88,2025,33.9157139032568,36.5713382331531,31.2600895733605,Spp Density North,No spp per  6 trawls,North
111,2003,35.2884579334843,39.4371889745156,31.1397268924531,Spp Density South,No spp per  6 trawls,South
112,2004,36.5906580515659,40.0693786510828,33.111937452049,Spp Density South,No spp per  6 trawls,South
113,2005,36.0241536390867,39.0772365693251,32.9710707088484,Spp Density South,No spp per  6 trawls,South
114,2006,37.2107998249001,40.0415479006029,34.3800517491973,Spp Density South,No spp per  6 trawls,South
115,2007,35.1640550464277,38.020193623293,32.3079164695624,Spp Density South,No spp per  6 trawls,South
116,2008,34.5379246264785,38.1531904681862,30.9226587847708,Spp Density South,No spp per  6 trawls,South
117,2009,35.6374121325036,38.5290417200121,32.7457825449951,Spp Density South,No spp per  6 trawls,South
118,2010,35.908165903806,39.2782287981689,32.5381030094431,Spp Density South,No spp per  6 trawls,South
119,2011,35.6170602821219,38.1923670284788,33.0417535357649,Spp Density South,No spp per  6 trawls,South
120,2012,34.4546952075016,38.0091414143725,30.9002490006307,Spp Density South,No spp per  6 trawls,South
121,2013,35.9448579968255,39.1252013426998,32.7645146509511,Spp Density South,No spp per  6 trawls,South
122,2014,35.28079523493,38.4504843124224,32.1111061574376,Spp Density South,No spp per  6 trawls,South
123,2015,36.9880944904797,39.7915706939327,34.1846182870266,Spp Density South,No spp per  6 trawls,South
124,2016,35.4586193642495,38.8058529248999,32.1113858035991,Spp Density South,No spp per  6 trawls,South
125,2017,34.7001536515409,37.5832050868961,31.8171022161856,Spp Density South,No spp per  6 trawls,South
126,2018,35.9289069107828,39.1086415766937,32.7491722448719,Spp Density South,No spp per  6 trawls,South
127,2019,34.3629032155234,37.4698203797483,31.2559860512986,Spp Density South,No spp per  6 trawls,South
128,2021,34.8266696044635,38.0186501307477,31.6346890781793,Spp Density South,No spp per  6 trawls,South
129,2022,33.036679050313,36.2063750167175,29.8669830839085,Spp Density South,No spp per  6 trawls,South
130,2023,35.1215786750948,38.3417684039172,31.9013889462724,Spp Density South,No spp per  6 trawls,South
131,2024,33.9751487712171,37.0365215032406,30.9137760391936,Spp Density South,No spp per  6 trawls,South
132,2025,35.5716054057682,38.6127077822058,32.5305030293305,Spp Density South,No spp per  6 trawls,South
