year,index,SEup,SElo,timeseries_original,timeseries
2003,3.71575769037179,3.7252026674021,3.70631271334148,GF - MTL - Coastwide,Coastwide
2004,3.72263507595524,3.73250611277679,3.71276403913369,GF - MTL - Coastwide,Coastwide
2005,3.69607576224579,3.70420550224204,3.68794602224954,GF - MTL - Coastwide,Coastwide
2006,3.70669079921925,3.71536591309385,3.69801568534465,GF - MTL - Coastwide,Coastwide
2007,3.68711623291657,3.69480599491164,3.6794264709215,GF - MTL - Coastwide,Coastwide
2008,3.667978884719,3.67535821593736,3.66059955350064,GF - MTL - Coastwide,Coastwide
2009,3.65532084450851,3.6620655726259,3.64857611639112,GF - MTL - Coastwide,Coastwide
2010,3.64903862804225,3.65557237347127,3.64250488261323,GF - MTL - Coastwide,Coastwide
2011,3.66422105261,3.67097189697804,3.65747020824196,GF - MTL - Coastwide,Coastwide
2012,3.64880944096606,3.65581668902286,3.64180219290926,GF - MTL - Coastwide,Coastwide
2013,3.6515510871923,3.65954827740312,3.64355389698148,GF - MTL - Coastwide,Coastwide
2014,3.65820706412854,3.66512559748898,3.6512885307681,GF - MTL - Coastwide,Coastwide
2015,3.65588003019254,3.66274850595943,3.64901155442565,GF - MTL - Coastwide,Coastwide
2016,3.65485431890307,3.66146357501693,3.64824506278921,GF - MTL - Coastwide,Coastwide
2017,3.64462191099178,3.65081657415417,3.63842724782939,GF - MTL - Coastwide,Coastwide
2018,3.6247659445068,3.63138296463323,3.61814892438037,GF - MTL - Coastwide,Coastwide
2019,3.64370937568334,3.65232870639519,3.63509004497149,GF - MTL - Coastwide,Coastwide
2021,3.62251244773977,3.62862914307534,3.6163957524042,GF - MTL - Coastwide,Coastwide
2022,3.6313535116052,3.63743218304162,3.62527484016878,GF - MTL - Coastwide,Coastwide
2023,3.6335445398661,3.63974308306683,3.62734599666537,GF - MTL - Coastwide,Coastwide
2024,3.63087184036202,3.63739858645548,3.62434509426856,GF - MTL - Coastwide,Coastwide
2025,3.63567989782846,3.64262650450096,3.62873329115596,GF - MTL - Coastwide,Coastwide
2003,3.7607616024262,3.77309042924579,3.74843277560661,GF - MTL - North,North
2004,3.77224172213,3.78566689432942,3.75881654993058,GF - MTL - North,North
2005,3.72901975968533,3.73991071606694,3.71812880330372,GF - MTL - North,North
2006,3.73523727737537,3.7477232325851,3.72275132216564,GF - MTL - North,North
2007,3.71342679419665,3.72421832833273,3.70263526006057,GF - MTL - North,North
2008,3.6821848765903,3.69229933194825,3.67207042123235,GF - MTL - North,North
2009,3.67929134132444,3.68913967575051,3.66944300689837,GF - MTL - North,North
2010,3.66144710133779,3.67071328177066,3.65218092090492,GF - MTL - North,North
2011,3.68856192566866,3.69823998816608,3.67888386317124,GF - MTL - North,North
2012,3.66805526912454,3.67796503863039,3.65814549961869,GF - MTL - North,North
2013,3.64334889953145,3.65375145922273,3.63294633984017,GF - MTL - North,North
2014,3.66797589843486,3.67739661746803,3.6585551794017,GF - MTL - North,North
2015,3.67906361948646,3.68912695595329,3.66900028301963,GF - MTL - North,North
2016,3.67334344638697,3.68281060010919,3.66387629266475,GF - MTL - North,North
2017,3.65837433847202,3.66675137189988,3.64999730504416,GF - MTL - North,North
2018,3.63117067706563,3.64047010584701,3.62187124828425,GF - MTL - North,North
2019,3.64734370735027,3.66029146634999,3.63439594835055,GF - MTL - North,North
2021,3.62402291926368,3.63235369903103,3.61569213949633,GF - MTL - North,North
2022,3.63652746776326,3.64528429862516,3.62777063690136,GF - MTL - North,North
2023,3.63963715327111,3.64814328879386,3.63113101774836,GF - MTL - North,North
2024,3.64647344885823,3.6556573687624,3.63728952895406,GF - MTL - North,North
2025,3.64665107324473,3.65727096912887,3.63603117736059,GF - MTL - North,North
2003,3.61669639875147,3.62849751616475,3.60489528133819,GF - MTL - South,South
2004,3.63298076849458,3.64550025612157,3.62046128086759,GF - MTL - South,South
2005,3.63451275879728,3.64591999644253,3.62310552115203,GF - MTL - South,South
2006,3.6552885878106,3.66622913706908,3.64434803855212,GF - MTL - South,South
2007,3.63362516459366,3.64323479621637,3.62401553297095,GF - MTL - South,South
2008,3.6444425499108,3.65523349765905,3.63365160216255,GF - MTL - South,South
2009,3.61531896392845,3.62368195777238,3.60695597008452,GF - MTL - South,South
2010,3.62860741904728,3.63759387379174,3.61962096430282,GF - MTL - South,South
2011,3.62270557510062,3.63132356061248,3.61408758958876,GF - MTL - South,South
2012,3.61796248596992,3.62744461924257,3.60848035269727,GF - MTL - South,South
2013,3.66874096364896,3.68122911923129,3.65625280806663,GF - MTL - South,South
2014,3.6391224097313,3.64926873647842,3.62897608298418,GF - MTL - South,South
2015,3.61743071289147,3.6260618699814,3.60879955580154,GF - MTL - South,South
2016,3.62278769861869,3.63141813961126,3.61415725762613,GF - MTL - South,South
2017,3.62004627532764,3.62917356750058,3.6109189831547,GF - MTL - South,South
2018,3.61392128033325,3.62329727694517,3.60454528372133,GF - MTL - South,South
2019,3.63743933758509,3.64812690788691,3.62675176728327,GF - MTL - South,South
2021,3.62010580209689,3.6292172814176,3.61099432277617,GF - MTL - South,South
2022,3.623070837982,3.63142591961456,3.61471575634944,GF - MTL - South,South
2023,3.62205531139297,3.63103685574158,3.61307376704436,GF - MTL - South,South
2024,3.60256643550726,3.61128204873174,3.59385082228278,GF - MTL - South,South
2025,3.61663805600639,3.62432797339996,3.60894813861283,GF - MTL - South,South
