year,index,sd.w,n,SDup,SDlo,SE,SEup,SElo,CLup,CLlo,timeseries,metric
2003,0.224699542017618,0.306047788257168,541,0.530747330274786,0.530747330274786,0.0131580221376563,0.237857564155274,0.211541519879962,0.250489265407424,0.198909818627812,Scavenger ratio - Coastwide,Ratio
2004,0.198221042734215,0.266815972016254,468,0.465037014750469,0.465037014750469,0.0123335726694534,0.210554615403668,0.185887470064762,0.222394845166344,0.174047240302086,Scavenger ratio - Coastwide,Ratio
2005,0.219277372999277,0.274581314456587,635,0.493858687455864,0.493858687455864,0.0108964270853482,0.230173800084625,0.208380945913929,0.24063437008656,0.197920375911994,Scavenger ratio - Coastwide,Ratio
2006,0.216572063343303,0.283328874566269,635,0.499900937909572,0.499900937909572,0.0112435634194374,0.22781562676274,0.205328499923866,0.2386094476454,0.194534679041206,Scavenger ratio - Coastwide,Ratio
2007,0.213526726664293,0.280212553915294,682,0.493739280579587,0.493739280579587,0.0107298932450169,0.22425661990931,0.202796833419276,0.234557317424526,0.19249613590406,Scavenger ratio - Coastwide,Ratio
2008,0.214103300366148,0.28114864318120403,671,0.495251943547352,0.495251943547352,0.0108536229889396,0.224956923355088,0.203249677377208,0.23537640142447,0.192830199307826,Scavenger ratio - Coastwide,Ratio
2009,0.238854771516141,0.279270100176554,677,0.518124871692695,0.518124871692695,0.0107332218593011,0.249587993375442,0.22812154965684,0.259891886360371,0.217817656671911,Scavenger ratio - Coastwide,Ratio
2010,0.271677350239729,0.288699937617947,699,0.560377287857676,0.560377287857676,0.0109196345045008,0.28259698474423,0.260757715735228,0.29307983386855,0.250274866610908,Scavenger ratio - Coastwide,Ratio
2011,0.257746841335226,0.274653905877405,684,0.532400747212631,0.532400747212631,0.0105016545628802,0.268248495898106,0.247245186772346,0.278330084278471,0.237163598391981,Scavenger ratio - Coastwide,Ratio
2012,0.248058343195508,0.276213671762226,690,0.524272014957734,0.524272014957734,0.0105152747742201,0.258573617969728,0.237543068421288,0.268668281752979,0.227448404638037,Scavenger ratio - Coastwide,Ratio
2013,0.207813102423284,0.266890063457285,463,0.474703165880569,0.474703165880569,0.012403433125057,0.220216535548341,0.195409669298227,0.232123831348396,0.183502373498172,Scavenger ratio - Coastwide,Ratio
2014,0.213305352071575,0.277701368008035,670,0.49100672007961,0.49100672007961,0.0107285398287009,0.224033891900276,0.202576812242874,0.234333290135829,0.192277414007321,Scavenger ratio - Coastwide,Ratio
2015,0.222433946768034,0.279692955198083,662,0.502126901966117,0.502126901966117,0.0108705754055936,0.233304522173628,0.21156337136244,0.243740274562997,0.201127618973071,Scavenger ratio - Coastwide,Ratio
2016,0.257438990222838,0.285818894805919,668,0.543257885028757,0.543257885028757,0.0110586650549025,0.268497655277741,0.246380325167935,0.279113973730447,0.235764006715229,Scavenger ratio - Coastwide,Ratio
2017,0.274664229301206,0.273543543391344,691,0.54820777269255,0.54820777269255,0.0104060868118975,0.285070316113103,0.264258142489309,0.295060159452525,0.254268299149887,Scavenger ratio - Coastwide,Ratio
2018,0.246827004685123,0.279592627122703,692,0.526419631807826,0.526419631807826,0.0106285169046101,0.257455521589733,0.236198487780513,0.267658897818159,0.225995111552087,Scavenger ratio - Coastwide,Ratio
2019,0.208543811529994,0.265866981102849,346,0.474410792632843,0.474410792632843,0.0142930974529608,0.222836908982955,0.194250714077033,0.236558282537797,0.180529340522191,Scavenger ratio - Coastwide,Ratio
2021,0.273508695688626,0.288600828906173,680,0.562109524594799,0.562109524594799,0.0110673365761682,0.284576032264794,0.262441359112458,0.295200675377916,0.251816715999336,Scavenger ratio - Coastwide,Ratio
2022,0.257394129636966,0.270288523515128,629,0.527682653152094,0.527682653152094,0.010777109194114,0.26817123883108,0.246617020442852,0.278517263657429,0.236270995616503,Scavenger ratio - Coastwide,Ratio
2023,0.27434443609291,0.280600598490941,661,0.554945034583851,0.554945034583851,0.010914098356029,0.285258534448939,0.263430337736881,0.295736068870727,0.252952803315093,Scavenger ratio - Coastwide,Ratio
2024,0.298795045665486,0.29253075851175,658,0.591325804177236,0.591325804177236,0.0114040362845672,0.310199081950053,0.287391009380919,0.321146956783238,0.276443134547734,Scavenger ratio - Coastwide,Ratio
2025,0.272634581547331,0.277534263187586,697,0.550168844734917,0.550168844734917,0.0105123598254883,0.283146941372819,0.262122221721843,0.293238806805288,0.252030356289374,Scavenger ratio - Coastwide,Ratio
2003,0.210696060557244,0.303669778640521,332,0.514365839197765,0.514365839197765,0.0166660442668549,0.227362104824099,0.194030016290389,0.24336150732028,0.178030613794208,Scavenger ratio - North,Ratio
2004,0.154517957322129,0.238969197854274,251,0.393487155176403,0.393487155176403,0.0150836020198389,0.169601559341968,0.13943435530229,0.184081817281013,0.124954097363245,Scavenger ratio - North,Ratio
2005,0.191042644002849,0.260757979982244,350,0.451800623985093,0.451800623985093,0.0139381003137259,0.204980744316575,0.177104543689123,0.21836132061775201,0.163723967387946,Scavenger ratio - North,Ratio
2006,0.172143895948876,0.25335809583993,332,0.425501991788806,0.425501991788806,0.0139048319511335,0.186048727900009,0.158239063997743,0.199397366573098,0.144890425324654,Scavenger ratio - North,Ratio
2007,0.175098158108417,0.256445708767436,380,0.431543866875853,0.431543866875853,0.0131553872840262,0.188253545392443,0.161942770824391,0.200882717185108,0.149313599031726,Scavenger ratio - North,Ratio
2008,0.170246153026933,0.255614871448995,343,0.425861024475928,0.425861024475928,0.0138019057400772,0.18404805876701,0.156444247286856,0.197297888277484,0.143194417776382,Scavenger ratio - North,Ratio
2009,0.1945544468352,0.255980279259372,351,0.450534726094572,0.450534726094572,0.013663216509438,0.208217663344638,0.180891230325762,0.221334351193698,0.167774542476702,Scavenger ratio - North,Ratio
2010,0.219636544668867,0.271455108609351,362,0.491091653278218,0.491091653278218,0.0142673637537206,0.23390390842258801,0.205369180915146,0.247600577626159,0.191672511711575,Scavenger ratio - North,Ratio
2011,0.213548547842856,0.255128089998105,359,0.468676637840961,0.468676637840961,0.0134651455877532,0.227013693430609,0.200083402255103,0.239940233194852,0.18715686249086,Scavenger ratio - North,Ratio
