year,index,metric,timeseries,order
2008,0.00987554112554113,mean % bluefin diet,anchovy,1
2009,0.0101503759398496,mean % bluefin diet,anchovy,1
2010,0,mean % bluefin diet,anchovy,1
2011,0,mean % bluefin diet,anchovy,1
2012,0,mean % bluefin diet,anchovy,1
2013,0.0445992546146984,mean % bluefin diet,anchovy,1
2014,0.0497384401580722,mean % bluefin diet,anchovy,1
2015,0.0997207658410561,mean % bluefin diet,anchovy,1
2016,0.221764581581357,mean % bluefin diet,anchovy,1
2017,0.415038377538378,mean % bluefin diet,anchovy,1
2018,0.782142591381084,mean % bluefin diet,anchovy,1
2019,0.567227376430301,mean % bluefin diet,anchovy,1
2020,0.85562015503876,mean % bluefin diet,anchovy,1
2021,0.278914403872626,mean % bluefin diet,anchovy,1
2022,0.651764936452101,mean % bluefin diet,anchovy,1
2023,0.201918490460157,mean % bluefin diet,anchovy,1
2008,0,mean % bluefin diet,Euphausiidae,9
2009,0,mean % bluefin diet,Euphausiidae,9
2010,0,mean % bluefin diet,Euphausiidae,9
2011,0,mean % bluefin diet,Euphausiidae,9
2012,0,mean % bluefin diet,Euphausiidae,9
2013,0,mean % bluefin diet,Euphausiidae,9
2014,0.00556772692848642,mean % bluefin diet,Euphausiidae,9
2015,0.0070780521469811,mean % bluefin diet,Euphausiidae,9
2016,0.0589842082799829,mean % bluefin diet,Euphausiidae,9
2017,0.106182432432432,mean % bluefin diet,Euphausiidae,9
2018,0,mean % bluefin diet,Euphausiidae,9
2019,0,mean % bluefin diet,Euphausiidae,9
2020,0,mean % bluefin diet,Euphausiidae,9
2021,0,mean % bluefin diet,Euphausiidae,9
2022,0,mean % bluefin diet,Euphausiidae,9
2023,0,mean % bluefin diet,Euphausiidae,9
2008,0,mean % bluefin diet,hake,2
2009,0,mean % bluefin diet,hake,2
2010,0,mean % bluefin diet,hake,2
2011,0,mean % bluefin diet,hake,2
2012,0.00754573424352711,mean % bluefin diet,hake,2
2013,0,mean % bluefin diet,hake,2
2014,0.00413037388352867,mean % bluefin diet,hake,2
2015,0.000478240076518412,mean % bluefin diet,hake,2
2016,0.00176056338028169,mean % bluefin diet,hake,2
2017,0.00675675675675676,mean % bluefin diet,hake,2
2018,0,mean % bluefin diet,hake,2
2019,0,mean % bluefin diet,hake,2
2020,0,mean % bluefin diet,hake,2
2021,0.0775619729108101,mean % bluefin diet,hake,2
2022,0.0829004329004329,mean % bluefin diet,hake,2
2023,0.0232995606471216,mean % bluefin diet,hake,2
2008,0.00568181818181818,mean % bluefin diet,jack mackerel,3
2009,0.241853212576897,mean % bluefin diet,jack mackerel,3
2010,0.0222222222222222,mean % bluefin diet,jack mackerel,3
2011,0.0359209924676112,mean % bluefin diet,jack mackerel,3
2012,0.147773535099476,mean % bluefin diet,jack mackerel,3
