year,index,SD,SE,metric,species,data.type,data.type2,SElo,SEup,Notes,SE_type,timeseries
1994,76445,25796.5,NA,Spawning biomass (mt),Albacore,biomass,NA,50648.5,102241.5,NA,SD,Albacore:Spawning biomass (mt)
1995,87564,24198.6,NA,Spawning biomass (mt),Albacore,biomass,NA,63365.4,111762.6,NA,SD,Albacore:Spawning biomass (mt)
1996,91535,21661.2,NA,Spawning biomass (mt),Albacore,biomass,NA,69873.8,113196.2,NA,SD,Albacore:Spawning biomass (mt)
1997,83695,19011.6,NA,Spawning biomass (mt),Albacore,biomass,NA,64683.4,102706.6,NA,SD,Albacore:Spawning biomass (mt)
1998,88690,19294.5,NA,Spawning biomass (mt),Albacore,biomass,NA,69395.5,107984.5,NA,SD,Albacore:Spawning biomass (mt)
1999,96031,20568.5,NA,Spawning biomass (mt),Albacore,biomass,NA,75462.5,116599.5,NA,SD,Albacore:Spawning biomass (mt)
2000,80096,19168.3,NA,Spawning biomass (mt),Albacore,biomass,NA,60927.7,99264.3,NA,SD,Albacore:Spawning biomass (mt)
2001,76987,18610.9,NA,Spawning biomass (mt),Albacore,biomass,NA,58376.1,95597.9,NA,SD,Albacore:Spawning biomass (mt)
2002,75619,18224.7,NA,Spawning biomass (mt),Albacore,biomass,NA,57394.3,93843.7,NA,SD,Albacore:Spawning biomass (mt)
2003,65676,15977,NA,Spawning biomass (mt),Albacore,biomass,NA,49699,81653,NA,SD,Albacore:Spawning biomass (mt)
2004,75466,16878.1,NA,Spawning biomass (mt),Albacore,biomass,NA,58587.9,92344.1,NA,SD,Albacore:Spawning biomass (mt)
2005,69991,16987.6,NA,Spawning biomass (mt),Albacore,biomass,NA,53003.4,86978.6,NA,SD,Albacore:Spawning biomass (mt)
2006,67474,16223.3,NA,Spawning biomass (mt),Albacore,biomass,NA,51250.7,83697.3,NA,SD,Albacore:Spawning biomass (mt)
2007,61770,15121.5,NA,Spawning biomass (mt),Albacore,biomass,NA,46648.5,76891.5,NA,SD,Albacore:Spawning biomass (mt)
2008,61955,15241.7,NA,Spawning biomass (mt),Albacore,biomass,NA,46713.3,77196.7,NA,SD,Albacore:Spawning biomass (mt)
2009,75584,17540.9,NA,Spawning biomass (mt),Albacore,biomass,NA,58043.1,93124.9,NA,SD,Albacore:Spawning biomass (mt)
2010,76581,18314.6,NA,Spawning biomass (mt),Albacore,biomass,NA,58266.4,94895.6,NA,SD,Albacore:Spawning biomass (mt)
