year,index,metric,timeseries
2007,0.003857844,mean % swordfish diet,anchovy
2008,0.003472222,mean % swordfish diet,anchovy
2009,0,mean % swordfish diet,anchovy
2010,0,mean % swordfish diet,anchovy
2011,0,mean % swordfish diet,anchovy
2012,0,mean % swordfish diet,anchovy
2013,0,mean % swordfish diet,anchovy
2014,0,mean % swordfish diet,anchovy
2015,0.001748252,mean % swordfish diet,anchovy
2016,0.117472111,mean % swordfish diet,anchovy
2017,0.285746978,mean % swordfish diet,anchovy
2018,0.094580963,mean % swordfish diet,anchovy
2019,0.460388848,mean % swordfish diet,anchovy
2020,0.131683978,mean % swordfish diet,anchovy
2021,0.280191704,mean % swordfish diet,anchovy
2022,0.129370065,mean % swordfish diet,anchovy
2023,0.353785827,mean % swordfish diet,anchovy
2024,0.110245781,mean % swordfish diet,anchovy
2007,0,mean % swordfish diet,Euphausiidae
2008,0,mean % swordfish diet,Euphausiidae
2009,0,mean % swordfish diet,Euphausiidae
2010,0,mean % swordfish diet,Euphausiidae
2011,0,mean % swordfish diet,Euphausiidae
2012,0,mean % swordfish diet,Euphausiidae
2013,0.003876596,mean % swordfish diet,Euphausiidae
2014,0,mean % swordfish diet,Euphausiidae
2015,0,mean % swordfish diet,Euphausiidae
2016,0,mean % swordfish diet,Euphausiidae
2017,0,mean % swordfish diet,Euphausiidae
2018,0,mean % swordfish diet,Euphausiidae
2019,0,mean % swordfish diet,Euphausiidae
2020,0,mean % swordfish diet,Euphausiidae
2021,0,mean % swordfish diet,Euphausiidae
2022,0,mean % swordfish diet,Euphausiidae
2023,0,mean % swordfish diet,Euphausiidae
2024,0,mean % swordfish diet,Euphausiidae
2007,0.00177305,mean % swordfish diet,hake
2008,0,mean % swordfish diet,hake
2009,0,mean % swordfish diet,hake
2010,0,mean % swordfish diet,hake
2011,0.189303554,mean % swordfish diet,hake
2012,0.137617719,mean % swordfish diet,hake
2013,0.06698787,mean % swordfish diet,hake
2014,0.160318133,mean % swordfish diet,hake
2015,0.133805258,mean % swordfish diet,hake
2016,0.095299522,mean % swordfish diet,hake
2017,0.098381903,mean % swordfish diet,hake
2018,0.223300106,mean % swordfish diet,hake
2019,0.075973836,mean % swordfish diet,hake
2020,0.092516104,mean % swordfish diet,hake
2021,0.334724408,mean % swordfish diet,hake
2022,0.388383954,mean % swordfish diet,hake
2023,0.260559841,mean % swordfish diet,hake
2024,0.443857332,mean % swordfish diet,hake
2007,0.010035,mean % swordfish diet,jack mackerel
2008,0.0078125,mean % swordfish diet,jack mackerel
2009,0.013513514,mean % swordfish diet,jack mackerel
2010,0.018356643,mean % swordfish diet,jack mackerel
2011,0.039389977,mean % swordfish diet,jack mackerel
2012,0.025422352,mean % swordfish diet,jack mackerel
2013,0.001488095,mean % swordfish diet,jack mackerel
2014,0.001331454,mean % swordfish diet,jack mackerel
2015,0,mean % swordfish diet,jack mackerel
2016,0.002298851,mean % swordfish diet,jack mackerel
2017,0.01897019,mean % swordfish diet,jack mackerel
2018,0.004059829,mean % swordfish diet,jack mackerel
2019,0,mean % swordfish diet,jack mackerel
2020,0.002415459,mean % swordfish diet,jack mackerel
2021,5.82298e-4,mean % swordfish diet,jack mackerel
2022,0,mean % swordfish diet,jack mackerel
2023,0.00282169,mean % swordfish diet,jack mackerel
2024,0.005147137,mean % swordfish diet,jack mackerel
