,year,timeseries,index,metric
1,1981,AFSH,0.614821213,Management Group
2,1981,GRND,0.368713543,Management Group
3,1981,SAMN,0.919135977,Management Group
4,1981,OTHR,0.889675818,Management Group
5,1981,HMSP,1.716296287,Management Group
6,1981,CPEL,2.039370125,Management Group
7,1981,SRMP,0.715481921,Management Group
8,1981,CRAB,0.629367417,Management Group
9,1982,AFSH,0.530695336,Management Group
10,1982,GRND,0.341671603,Management Group
11,1982,SAMN,0.909678343,Management Group
12,1982,OTHR,0.900306,Management Group
13,1982,HMSP,2.06099804,Management Group
14,1982,CPEL,2.099848354,Management Group
15,1982,SRMP,0.578916426,Management Group
16,1982,CRAB,0.585690725,Management Group
17,1983,AFSH,0.563737973,Management Group
18,1983,GRND,0.342088872,Management Group
19,1983,SAMN,1.181264685,Management Group
20,1983,OTHR,0.943456817,Management Group
21,1983,HMSP,1.828335318,Management Group
22,1983,CPEL,2.155134349,Management Group
23,1983,SRMP,0.724172256,Management Group
24,1983,CRAB,0.668072788,Management Group
25,1984,AFSH,0.614657219,Management Group
26,1984,GRND,0.43806289,Management Group
27,1984,SAMN,1.313346936,Management Group
28,1984,OTHR,0.84688766,Management Group
29,1984,HMSP,2.036635491,Management Group
30,1984,CPEL,2.163327593,Management Group
31,1984,SRMP,0.669924153,Management Group
32,1984,CRAB,0.518759012,Management Group
33,1985,AFSH,0.399131908,Management Group
34,1985,GRND,0.350950338,Management Group
35,1985,SAMN,1.316403699,Management Group
36,1985,OTHR,0.800688737,Management Group
37,1985,HMSP,1.673369707,Management Group
38,1985,CPEL,1.912078005,Management Group
39,1985,SRMP,0.699033095,Management Group
40,1985,CRAB,0.555001612,Management Group
41,1986,AFSH,0.373092001,Management Group
42,1986,GRND,0.345337643,Management Group
43,1986,SAMN,1.02124592,Management Group
44,1986,OTHR,0.79171928,Management Group
45,1986,HMSP,1.608370208,Management Group
46,1986,CPEL,2.041601903,Management Group
47,1986,SRMP,0.836149532,Management Group
48,1986,CRAB,0.560969692,Management Group
49,1987,AFSH,0.37017465,Management Group
50,1987,GRND,0.396490527,Management Group
51,1987,SAMN,0.89606672,Management Group
52,1987,OTHR,0.732235592,Management Group
53,1987,HMSP,1.761518792,Management Group
54,1987,CPEL,2.003344995,Management Group
55,1987,SRMP,0.956860405,Management Group
56,1987,CRAB,0.523492086,Management Group
57,1988,AFSH,0.323234157,Management Group
58,1988,GRND,0.377029157,Management Group
59,1988,SAMN,0.686370263,Management Group
60,1988,OTHR,0.713205166,Management Group
61,1988,HMSP,1.576840325,Management Group
62,1988,CPEL,2.071730112,Management Group
63,1988,SRMP,0.823002692,Management Group
64,1988,CRAB,0.751614984,Management Group
65,1989,AFSH,0.341842904,Management Group
66,1989,GRND,0.322462727,Management Group
67,1989,SAMN,1.0517081,Management Group
68,1989,OTHR,0.695304257,Management Group
69,1989,HMSP,1.79357106,Management Group
70,1989,CPEL,1.958308238,Management Group
71,1989,SRMP,0.836263554,Management Group
72,1989,CRAB,0.826485387,Management Group
73,1990,AFSH,0.291312883,Management Group
74,1990,GRND,0.322655931,Management Group
75,1990,SAMN,1.158574681,Management Group
76,1990,OTHR,0.670182996,Management Group
77,1990,HMSP,1.222996892,Management Group
78,1990,CPEL,1.895005062,Management Group
79,1990,SRMP,0.744339336,Management Group
80,1990,CRAB,0.64199051,Management Group
81,1991,AFSH,0.277975745,Management Group
82,1991,GRND,0.430269817,Management Group
83,1991,SAMN,1.061531936,Management Group
84,1991,OTHR,0.754073552,Management Group
85,1991,HMSP,1.100841971,Management Group
86,1991,CPEL,1.840107661,Management Group
87,1991,SRMP,0.693498094,Management Group
88,1991,CRAB,0.478214099,Management Group
89,1992,AFSH,0.227693667,Management Group
90,1992,GRND,0.371661102,Management Group
91,1992,SAMN,1.195877494,Management Group
92,1992,OTHR,0.749167162,Management Group
93,1992,HMSP,0.682675877,Management Group
94,1992,CPEL,1.937397713,Management Group
95,1992,SRMP,0.729793004,Management Group
96,1992,CRAB,0.683444077,Management Group
97,1993,AFSH,0.284685575,Management Group
98,1993,GRND,0.363849026,Management Group
99,1993,SAMN,1.367469681,Management Group
100,1993,OTHR,0.863662369,Management Group
101,1993,HMSP,0.813225062,Management Group
102,1993,CPEL,1.590824396,Management Group
103,1993,SRMP,0.584076304,Management Group
104,1993,CRAB,0.756366958,Management Group
105,1994,AFSH,0.270938319,Management Group
106,1994,GRND,0.365619492,Management Group
107,1994,SAMN,1.582409343,Management Group
108,1994,OTHR,0.790347971,Management Group
109,1994,HMSP,0.941238885,Management Group
110,1994,CPEL,1.562853406,Management Group
111,1994,SRMP,0.489608466,Management Group
112,1994,CRAB,0.679115847,Management Group
113,1995,AFSH,0.244741192,Management Group
114,1995,GRND,0.328481012,Management Group
115,1995,SAMN,0.816017445,Management Group
116,1995,OTHR,0.747889735,Management Group
117,1995,HMSP,0.912921624,Management Group
118,1995,CPEL,2.013869771,Management Group
119,1995,SRMP,0.483811908,Management Group
120,1995,CRAB,0.701701421,Management Group
121,1996,AFSH,0.267101499,Management Group
122,1996,GRND,0.310904362,Management Group
123,1996,SAMN,0.767557243,Management Group
124,1996,OTHR,0.777012241,Management Group
125,1996,HMSP,1.171408962,Management Group
126,1996,CPEL,1.953613172,Management Group
127,1996,SRMP,0.343581463,Management Group
128,1996,CRAB,0.786037111,Management Group
129,1997,AFSH,0.250255501,Management Group
130,1997,GRND,0.332527775,Management Group
131,1997,SAMN,1.14088722,Management Group
132,1997,OTHR,0.836758274,Management Group
133,1997,HMSP,0.896810693,Management Group
134,1997,CPEL,1.845407352,Management Group
135,1997,SRMP,0.289591595,Management Group
136,1997,CRAB,0.60193912,Management Group
137,1998,AFSH,0.275008128,Management Group
138,1998,GRND,0.316642018,Management Group
139,1998,SAMN,1.087316859,Management Group
140,1998,OTHR,0.8777594,Management Group
141,1998,HMSP,1.045971644,Management Group
142,1998,CPEL,1.985136872,Management Group
143,1998,SRMP,0.311966374,Management Group
144,1998,CRAB,0.558694542,Management Group
145,1999,AFSH,0.314940447,Management Group
146,1999,GRND,0.390977301,Management Group
147,1999,SAMN,0.748373691,Management Group
148,1999,OTHR,0.890260928,Management Group
149,1999,HMSP,1.193627156,Management Group
150,1999,CPEL,2.108133806,Management Group
151,1999,SRMP,0.385039664,Management Group
152,1999,CRAB,0.721990172,Management Group
153,2000,AFSH,0.293862138,Management Group
154,2000,GRND,0.398272689,Management Group
155,2000,SAMN,0.655908907,Management Group
156,2000,OTHR,0.786606173,Management Group
157,2000,HMSP,0.985282493,Management Group
158,2000,CPEL,1.823313164,Management Group
159,2000,SRMP,0.503435205,Management Group
160,2000,CRAB,0.666733284,Management Group
161,2001,AFSH,0.340156985,Management Group
162,2001,GRND,0.36530062,Management Group
163,2001,SAMN,0.741258544,Management Group
164,2001,OTHR,0.708905196,Management Group
165,2001,HMSP,0.772943145,Management Group
166,2001,CPEL,1.659934457,Management Group
167,2001,SRMP,0.442860522,Management Group
168,2001,CRAB,0.811500547,Management Group
169,2002,AFSH,0.303364014,Management Group
170,2002,GRND,0.295234627,Management Group
171,2002,SAMN,0.626102075,Management Group
172,2002,OTHR,0.707439995,Management Group
173,2002,HMSP,0.844301013,Management Group
174,2002,CPEL,1.445530281,Management Group
175,2002,SRMP,0.497189132,Management Group
176,2002,CRAB,0.772801376,Management Group
177,2003,AFSH,0.3066512,Management Group
178,2003,GRND,0.34821859,Management Group
179,2003,SAMN,0.666373782,Management Group
180,2003,OTHR,0.806645208,Management Group
181,2003,HMSP,1.006900422,Management Group
182,2003,CPEL,1.351963184,Management Group
183,2003,SRMP,0.459613457,Management Group
184,2003,CRAB,0.684477243,Management Group
185,2004,AFSH,0.24434035,Management Group
186,2004,GRND,0.406056891,Management Group
187,2004,SAMN,0.57276396,Management Group
188,2004,OTHR,0.876710209,Management Group
189,2004,HMSP,0.974884096,Management Group
190,2004,CPEL,1.444399763,Management Group
191,2004,SRMP,0.494186502,Management Group
