year,index,timeseries_original,timeseries,,
1981,1.862488,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1982,1.85841,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1983,1.837489,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1984,1.940606,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1985,1.817056,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1986,1.789784,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1987,1.828832,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1988,1.932182,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1989,1.720463,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1990,1.84423,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1991,1.876035,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1992,1.870773,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1993,1.88587,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1994,1.902666,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1995,1.843958,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1996,1.749243,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1997,1.803966,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1998,1.821045,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1999,1.718883,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2000,1.786698,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2001,1.817345,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2002,1.763272,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2003,1.717006,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2004,1.741143,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2005,1.731722,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2006,1.75988,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2007,1.722319,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2008,1.764118,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2009,1.755354,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2010,1.792972,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2011,1.738226,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2012,1.74108,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2013,1.721817,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2014,1.70757,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2015,1.723264,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2016,1.722838,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2017,1.751872,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2018,1.76472,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2019,1.742201,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2020,1.729378,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2021,1.686307,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2022,1.681959,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
2023,1.646911,Annual ESI: vessels w/ avg. rev>$5K,vess_rev_5k,,
1981,2.169651,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1982,2.172506,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1983,2.045379,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1984,2.241724,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1985,2.12246,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1986,2.146406,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1987,2.195036,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1988,2.326501,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1989,1.938817,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
1990,2.152361,Annual ESI: vessels w/ avg. rev>$5K fishing in 2023,vess_rev_5k_fish_2023,,
