year,index,timeseries,label
2000,0,Blue Whale,preliminary
2001,0,Blue Whale,preliminary
2002,0,Blue Whale,preliminary
2003,0,Blue Whale,preliminary
2004,0,Blue Whale,preliminary
2005,0,Blue Whale,preliminary
2006,0,Blue Whale,preliminary
2007,0,Blue Whale,preliminary
2008,0,Blue Whale,preliminary
2009,0,Blue Whale,preliminary
2010,0,Blue Whale,preliminary
2011,0,Blue Whale,preliminary
2012,0,Blue Whale,preliminary
2013,0,Blue Whale,preliminary
2014,0,Blue Whale,preliminary
2015,1,Blue Whale,preliminary
2016,3,Blue Whale,preliminary
2017,3,Blue Whale,preliminary
2018,0,Blue Whale,preliminary
2019,0,Blue Whale,preliminary
2020,0,Blue Whale,preliminary
2021,0,Blue Whale,preliminary
2022,0,Blue Whale,preliminary
2023,0,Blue Whale,preliminary
2024,0,Blue Whale,preliminary
2025,0,Blue Whale,preliminary
2000,6,Gray Whale,preliminary
2001,0,Gray Whale,preliminary
2002,3,Gray Whale,preliminary
2003,5,Gray Whale,preliminary
2004,7,Gray Whale,preliminary
2005,6,Gray Whale,preliminary
2006,3,Gray Whale,preliminary
2007,5,Gray Whale,preliminary
2008,0,Gray Whale,preliminary
2009,4,Gray Whale,preliminary
2010,6,Gray Whale,preliminary
2011,2,Gray Whale,preliminary
2012,11,Gray Whale,preliminary
2013,10,Gray Whale,preliminary
2014,6,Gray Whale,preliminary
2015,10,Gray Whale,preliminary
2016,3,Gray Whale,preliminary
2017,12,Gray Whale,preliminary
2018,11,Gray Whale,preliminary
2019,8,Gray Whale,preliminary
2020,6,Gray Whale,preliminary
2021,4,Gray Whale,preliminary
2022,10,Gray Whale,preliminary
2023,9,Gray Whale,preliminary
2024,4,Gray Whale,preliminary
2025,3,Gray Whale,preliminary
2000,3,Humpback Whale,preliminary
2001,1,Humpback Whale,preliminary
2002,0,Humpback Whale,preliminary
2003,5,Humpback Whale,preliminary
2004,3,Humpback Whale,preliminary
2005,3,Humpback Whale,preliminary
2006,5,Humpback Whale,preliminary
2007,4,Humpback Whale,preliminary
2008,4,Humpback Whale,preliminary
2009,2,Humpback Whale,preliminary
2010,7,Humpback Whale,preliminary
2011,5,Humpback Whale,preliminary
2012,3,Humpback Whale,preliminary
2013,0,Humpback Whale,preliminary
2014,16,Humpback Whale,preliminary
2015,31,Humpback Whale,preliminary
2016,48,Humpback Whale,preliminary
2017,17,Humpback Whale,preliminary
2018,34,Humpback Whale,preliminary
2019,17,Humpback Whale,preliminary
2020,10,Humpback Whale,preliminary
2021,17,Humpback Whale,preliminary
2022,18,Humpback Whale,preliminary
2023,16,Humpback Whale,preliminary
2024,31,Humpback Whale,preliminary
2025,30,Humpback Whale,preliminary
2000,0,Fin Whale,preliminary
2001,0,Fin Whale,preliminary
2002,0,Fin Whale,preliminary
2003,0,Fin Whale,preliminary
2004,0,Fin Whale,preliminary
2005,0,Fin Whale,preliminary
2006,1,Fin Whale,preliminary
2007,0,Fin Whale,preliminary
2008,0,Fin Whale,preliminary
2009,2,Fin Whale,preliminary
2010,0,Fin Whale,preliminary
2011,1,Fin Whale,preliminary
2012,0,Fin Whale,preliminary
2013,0,Fin Whale,preliminary
2014,0,Fin Whale,preliminary
2015,2,Fin Whale,preliminary
2016,0,Fin Whale,preliminary
2017,0,Fin Whale,preliminary
2018,1,Fin Whale,preliminary
2019,0,Fin Whale,preliminary
2020,0,Fin Whale,preliminary
2021,1,Fin Whale,preliminary
2022,1,Fin Whale,preliminary
2023,0,Fin Whale,preliminary
2024,1,Fin Whale,preliminary
2025,0,Fin Whale,preliminary
2000,0,Killer Whale,preliminary
2001,0,Killer Whale,preliminary
2002,0,Killer Whale,preliminary
2003,0,Killer Whale,preliminary
2004,0,Killer Whale,preliminary
2005,0,Killer Whale,preliminary
2006,0,Killer Whale,preliminary
2007,0,Killer Whale,preliminary
2008,0,Killer Whale,preliminary
2009,0,Killer Whale,preliminary
2010,0,Killer Whale,preliminary
2011,0,Killer Whale,preliminary
2012,0,Killer Whale,preliminary
2013,0,Killer Whale,preliminary
2014,0,Killer Whale,preliminary
2015,1,Killer Whale,preliminary
2016,1,Killer Whale,preliminary
2017,0,Killer Whale,preliminary
2018,0,Killer Whale,preliminary
2019,0,Killer Whale,preliminary
2020,0,Killer Whale,preliminary
2021,2,Killer Whale,preliminary
2022,1,Killer Whale,preliminary
2023,2,Killer Whale,preliminary
2024,0,Killer Whale,preliminary
2025,0,Killer Whale,preliminary
2000,0,Minke Whale,preliminary
2001,0,Minke Whale,preliminary
2002,0,Minke Whale,preliminary
2003,0,Minke Whale,preliminary
2004,0,Minke Whale,preliminary
2005,0,Minke Whale,preliminary
2006,0,Minke Whale,preliminary
2007,0,Minke Whale,preliminary
2008,0,Minke Whale,preliminary
2009,0,Minke Whale,preliminary
2010,1,Minke Whale,preliminary
2011,1,Minke Whale,preliminary
2012,0,Minke Whale,preliminary
2013,0,Minke Whale,preliminary
2014,0,Minke Whale,preliminary
2015,0,Minke Whale,preliminary
2016,0,Minke Whale,preliminary
2017,0,Minke Whale,preliminary
2018,0,Minke Whale,preliminary
2019,1,Minke Whale,preliminary
2020,0,Minke Whale,preliminary
2021,1,Minke Whale,preliminary
2022,0,Minke Whale,preliminary
2023,0,Minke Whale,preliminary
2024,0,Minke Whale,preliminary
2025,0,Minke Whale,preliminary
2000,0,Sperm Whale,preliminary
2001,0,Sperm Whale,preliminary
2002,0,Sperm Whale,preliminary
2003,0,Sperm Whale,preliminary
2004,0,Sperm Whale,preliminary
2005,0,Sperm Whale,preliminary
2006,0,Sperm Whale,preliminary
2007,0,Sperm Whale,preliminary
2008,0,Sperm Whale,preliminary
2009,0,Sperm Whale,preliminary
2010,2,Sperm Whale,preliminary
2011,0,Sperm Whale,preliminary
2012,0,Sperm Whale,preliminary
2013,0,Sperm Whale,preliminary
2014,0,Sperm Whale,preliminary
2015,0,Sperm Whale,preliminary
2016,0,Sperm Whale,preliminary
2017,0,Sperm Whale,preliminary
2018,0,Sperm Whale,preliminary
2019,0,Sperm Whale,preliminary
2020,1,Sperm Whale,preliminary
2021,0,Sperm Whale,preliminary
2022,0,Sperm Whale,preliminary
2023,0,Sperm Whale,preliminary
2024,0,Sperm Whale,preliminary
2025,0,Sperm Whale,preliminary
2000,0,Unidentified Whale,preliminary
2001,0,Unidentified Whale,preliminary
2002,0,Unidentified Whale,preliminary
2003,0,Unidentified Whale,preliminary
2004,0,Unidentified Whale,preliminary
2005,1,Unidentified Whale,preliminary
2006,0,Unidentified Whale,preliminary
2007,2,Unidentified Whale,preliminary
2008,2,Unidentified Whale,preliminary
2009,0,Unidentified Whale,preliminary
2010,0,Unidentified Whale,preliminary
2011,0,Unidentified Whale,preliminary
2012,0,Unidentified Whale,preliminary
2013,1,Unidentified Whale,preliminary
2014,1,Unidentified Whale,preliminary
2015,8,Unidentified Whale,preliminary
2016,0,Unidentified Whale,preliminary
2017,0,Unidentified Whale,preliminary
2018,0,Unidentified Whale,preliminary
2019,0,Unidentified Whale,preliminary
2020,0,Unidentified Whale,preliminary
2021,2,Unidentified Whale,preliminary
2022,0,Unidentified Whale,preliminary
2023,0,Unidentified Whale,preliminary
2024,0,Unidentified Whale,preliminary
2025,0,Unidentified Whale,preliminary
2000,0,Unidentified Other,preliminary
2001,0,Unidentified Other,preliminary
2002,0,Unidentified Other,preliminary
2003,0,Unidentified Other,preliminary
2004,0,Unidentified Other,preliminary
2005,1,Unidentified Other,preliminary
2006,1,Unidentified Other,preliminary
2007,2,Unidentified Other,preliminary
2008,2,Unidentified Other,preliminary
2009,2,Unidentified Other,preliminary
2010,3,Unidentified Other,preliminary
2011,2,Unidentified Other,preliminary
2012,0,Unidentified Other,preliminary
2013,1,Unidentified Other,preliminary
2014,1,Unidentified Other,preliminary
2015,11,Unidentified Other,preliminary
2016,1,Unidentified Other,preliminary
2017,0,Unidentified Other,preliminary
2018,1,Unidentified Other,preliminary
2019,1,Unidentified Other,preliminary
2020,1,Unidentified Other,preliminary
2021,6,Unidentified Other,preliminary
2022,2,Unidentified Other,preliminary
2023,0,Unidentified Other,preliminary
2024,0,Unidentified Other,preliminary
2025,0,Unidentified Other,preliminary
2000,9,Grand Total,preliminary
2001,1,Grand Total,preliminary
2002,3,Grand Total,preliminary
2003,10,Grand Total,preliminary
2004,10,Grand Total,preliminary
2005,10,Grand Total,preliminary
2006,9,Grand Total,preliminary
2007,11,Grand Total,preliminary
2008,6,Grand Total,preliminary
2009,8,Grand Total,preliminary
2010,16,Grand Total,preliminary
