year,index,metric,timeseries_original,order,timeseries,outlier
2001,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2002,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2003,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2004,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2005,0.0167,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2006,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2007,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2008,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2009,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2010,0.0866,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,outlier
2011,0.0234,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2012,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2013,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2014,0.1909,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,outlier
2015,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2016,0.011,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2017,0.0477,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2018,0.02,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2019,0.0095,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2020,0.0176,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2021,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2022,0.0314,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2023,0.0335,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2024,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,NA
2001,0.0835,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2002,0.2474,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2003,0.0527,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2004,0.0132,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2005,0.2248,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2006,0.1204,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2007,0.1301,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2008,0.2564,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2009,0.2544,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2010,0.071,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2011,0.6102,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2012,0.3176,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2013,0.106,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2014,0.1413,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2015,4.4847,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,outlier
2016,0.2217,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2017,0.2931,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2018,0.2588,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2019,0.4195,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2020,0.178,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2021,0.0494,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2022,0.2129,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2023,0.3133,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2024,0.4174,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2025,0.1795,Encounter rate,Common murre (Jun- Dec) Central,2,Common murre encounter rate(Ce/So CC) Central,NA
2001,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2002,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2003,0.0239,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2004,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2005,0.0424,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2006,0.0271,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2007,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2008,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2009,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2010,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2011,0.3316,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,outlier
2012,0.117,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2013,0.0833,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2014,0.0427,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2015,0.1869,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,outlier
2016,0.0256,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2017,0.0469,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2018,0.0557,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2019,0.0239,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2020,0.057,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2021,0.0094,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2022,0.0361,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2023,0,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2024,0.0757,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2025,0.1002,Encounter rate,Sooty shearwater (May - Oct) Central,3,Sooty shearwater encounter rate (Ce/So CC) Central,NA
2001,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2002,0.0428,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2003,0.3206,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2004,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2005,0.0256,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2006,0,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2007,0.0702,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2008,0.014,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2009,0.1542,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2010,0.9305,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,outlier
2011,0.1421,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2012,0.1341,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2013,0.3243,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2014,0.0866,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2015,0.156,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2016,0.0077,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2017,0.1424,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2018,0.0555,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2019,0.1781,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2020,0.1778,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2021,0.0765,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2022,0.0998,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2023,0.008,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2024,0.014,Encounter rate,Northern fulmar (Oct - Feb) Central,4,Northern fulmar encounter rate (Ce/So CC) Central,NA
2001,0.081,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2002,0.018,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2003,0.0688,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2004,0.0692,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2005,0.2236,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2006,0.1389,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2007,0.1643,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2008,0.0125,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2009,0.2187,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2010,0.1255,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2011,0.2853,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2012,0.1317,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2013,0.0733,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2014,0.438,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2015,0.3821,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2016,0.0451,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2017,0.0828,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2018,0.1028,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2019,0.0644,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2020,0.1308,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2021,0.0213,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2022,0.0526,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2023,0.2202,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2024,0.1778,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
2025,0.0792,Encounter rate,Brandts Cormorant(Apr - Nov) Central,5,Brandts cormorant encounter rate (Ce/So CC) Central,NA
