year,index,metric,timeseries_original,order,timeseries,outlier
1997,0.0042,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
1998,0.0082,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
1999,0.0041,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2000,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2001,0.008,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2002,0.0042,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2003,0.0074,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2004,0.2577,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,outlier
2005,0.0277,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2006,0.007,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2007,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2008,0.018,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2009,0.0138,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2010,0.0311,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2011,0.0069,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2012,0.0207,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2013,0.01,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2014,0.8722,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,outlier
2015,0.0284,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2016,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2017,0.0112,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2018,0.163,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2019,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2020,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2021,0.0046,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2022,0.0783,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2023,0.0666,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
2024,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,NA
1997,3.2568,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,NA
