year,index,metric,order,timeseries
1996,0.084072566,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
1997,1.644438584,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
1998,NA,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
1999,NA,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2000,0.779564413,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2001,0.433207417,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2002,-0.208315398,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2003,0.475353039,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2004,0.275739985,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2005,-0.293612978,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2006,-0.364564714,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2007,0.608884431,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2008,-0.402022277,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2009,0.088756415,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2010,-0.448905863,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2011,NA,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2012,0.102677753,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2013,0.758261832,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2014,-0.106735605,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2015,-0.595088373,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2016,-0.177353172,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2017,-0.417407196,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2018,-0.183469399,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2019,-0.417407196,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2020,NA,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2021,-0.240266998,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2022,-0.101069868,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2023,-0.642490612,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
2024,-0.652246787,Density anomaly,1,"Cassins auklet (Ce CC, Summer)"
1996,0.404352586,Density anomaly,2,"Common murre (Ce CC, Summer)"
1997,0.323548554,Density anomaly,2,"Common murre (Ce CC, Summer)"
1998,NA,Density anomaly,2,"Common murre (Ce CC, Summer)"
1999,NA,Density anomaly,2,"Common murre (Ce CC, Summer)"
2000,1.035818651,Density anomaly,2,"Common murre (Ce CC, Summer)"
2001,-0.525731468,Density anomaly,2,"Common murre (Ce CC, Summer)"
2002,-1.178056654,Density anomaly,2,"Common murre (Ce CC, Summer)"
2003,-0.5804419,Density anomaly,2,"Common murre (Ce CC, Summer)"
2004,-0.07059475,Density anomaly,2,"Common murre (Ce CC, Summer)"
2005,0.327501128,Density anomaly,2,"Common murre (Ce CC, Summer)"
2006,-0.097382066,Density anomaly,2,"Common murre (Ce CC, Summer)"
2007,0.468891108,Density anomaly,2,"Common murre (Ce CC, Summer)"
2008,-0.269798093,Density anomaly,2,"Common murre (Ce CC, Summer)"
2009,-0.131127599,Density anomaly,2,"Common murre (Ce CC, Summer)"
2010,-1.068704117,Density anomaly,2,"Common murre (Ce CC, Summer)"
2011,NA,Density anomaly,2,"Common murre (Ce CC, Summer)"
2012,-0.298891054,Density anomaly,2,"Common murre (Ce CC, Summer)"
2013,-0.365646052,Density anomaly,2,"Common murre (Ce CC, Summer)"
2014,-0.456430002,Density anomaly,2,"Common murre (Ce CC, Summer)"
2015,-1.130325251,Density anomaly,2,"Common murre (Ce CC, Summer)"
2016,-0.220837266,Density anomaly,2,"Common murre (Ce CC, Summer)"
2017,0.481651808,Density anomaly,2,"Common murre (Ce CC, Summer)"
2018,-0.101917221,Density anomaly,2,"Common murre (Ce CC, Summer)"
2019,0.481651808,Density anomaly,2,"Common murre (Ce CC, Summer)"
2020,NA,Density anomaly,2,"Common murre (Ce CC, Summer)"
2021,0.942206883,Density anomaly,2,"Common murre (Ce CC, Summer)"
2022,1.458775981,Density anomaly,2,"Common murre (Ce CC, Summer)"
2023,-0.428739202,Density anomaly,2,"Common murre (Ce CC, Summer)"
2024,1.000224187,Density anomaly,2,"Common murre (Ce CC, Summer)"
1996,-2.366071152,Density anomaly,3,"Sooty shearwater (Ce CC, Summer)"
1997,0.883245699,Density anomaly,3,"Sooty shearwater (Ce CC, Summer)"
1998,NA,Density anomaly,3,"Sooty shearwater (Ce CC, Summer)"
