year,index,metric,order,timeseries,outlier,...7,...8
2001,0.008769081,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2002,0.056223001,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2003,0.08737905,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2004,0.059328316,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2005,0.316952501,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2006,0.133145228,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2007,0.006398771,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2008,0.017623076,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2009,0.00275777,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2010,0.034389367,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2011,0.040616263,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2012,0.055164234,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2013,0.026249328,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2014,6.255434928,Encounter rate,1,Cassins auklet (No CC Oct - Feb),outlier,NA,NA
2015,0.303146303,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2016,0.028177452,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2017,0.112231737,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2018,0.159268801,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2019,0.139841129,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2020,0.032131214,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2021,0.188690259,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2022,0.231445261,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2023,3.035308476,Encounter rate,1,Cassins auklet (No CC Oct - Feb),outlier,NA,NA
2024,0.03003657,Encounter rate,1,Cassins auklet (No CC Oct - Feb),NA,NA,NA
2001,0.331625861,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2002,0.663846384,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2003,1.029537608,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2004,1.746366222,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2005,1.122366586,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2006,0.578769078,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
2007,1.466327383,Encounter rate,2,Common murre (No CC Jun - Dec),NA,NA,NA
