year,index,metric,order,timeseries
1971,0.102,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1972,-0.046,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1973,-0.581,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1974,-0.412,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1975,-0.465,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1976,-0.914,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1977,-0.171,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1978,-1.106,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1979,0.232,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1980,0.101,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1981,-0.102,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1982,-0.231,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1983,-1.481,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1984,-0.106,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1985,1.448,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1986,-0.376,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1987,0.634,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1988,0.328,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1989,-0.276,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1990,-0.748,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1991,0.305,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1992,-0.981,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1993,-0.898,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1994,1.233,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1995,0.448,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1996,0.630,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1997,0.404,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1998,-1.143,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1999,0.749,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2000,0.847,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2001,0.425,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2002,0.801,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2003,-0.539,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2004,0.652,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2005,0.519,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2006,0.572,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2007,0.718,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2008,-1.043,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2009,-1.481,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2010,-0.427,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2011,-1.448,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2012,-1.445,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2013,0.942,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2014,0.722,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2015,0.241,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2016,0.100,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2017,0.366,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2018,0.411,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2019,0.316,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2020,0.323,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2021,0.317,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2022,0.840,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2023,0.695,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
2024,-0.981,Productivity anomaly,1,Brandts cormorant productivity anomaly (Ce CC - SEFI)
1972,-0.041,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1973,0.029,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1974,-0.062,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1975,-0.015,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1976,-0.073,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1977,-0.002,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1978,-0.026,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1979,0.132,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1980,-0.148,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1981,0.059,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1982,0.004,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1983,-0.540,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1984,0.014,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1985,0.011,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1986,0.082,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
1987,-0.040,Productivity anomaly,2,Cassins auklet productivity anomaly (Cen CC - SEFI)
