year,index,metric,order,timeseries
1987,0.380419699,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1988,0.130542225,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1989,0.217692401,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1990,1.530408155,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1991,NA,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1992,0.55651095799999994,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1993,0.477329712,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1994,0.079389703,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1995,-0.346579029,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1996,0.255480962,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1997,NA,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1998,0.255480962,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1999,-0.346579029,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2000,-0.346579029,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2001,-0.522670288,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2002,0.498519011,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2003,-0.221640293,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2004,-0.221640293,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2005,0.90869347600000006,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2006,0.130542225,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2007,NA,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2008,-0.221640293,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2009,0.255480962,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2010,-0.12473028,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2011,-0.075512257,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2012,-0.12473028,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2013,-0.221640293,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2014,-0.522670288,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2015,0.079389703,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2016,0.352390975,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2017,-0.346579029,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2018,-0.221640293,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2019,-0.346579029,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2020,NA,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2021,NA,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2022,-0.12473028,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2023,-0.12473028,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2024,-0.823700284,Density anomaly,1,"Cassins auklet (So CC, Spring)"
2025,-0.823700284,Density anomaly,1,"Cassins auklet (So CC, Spring)"
1987,-0.690253741,Density anomaly,2,"Common murre (So CC, Spring)"
1988,-0.690253741,Density anomaly,2,"Common murre (So CC, Spring)"
