year,index,metric,order,timeseries
1987,0.396107242,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1988,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1989,0.271168506,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1990,-0.02986149,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1991,0.095077247,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1992,0.534409941,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1993,-0.205952749,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1994,NA,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1995,0.19198726,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1996,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1997,-0.205952749,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1998,0.271168506,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1999,0.271168506,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2000,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2001,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2002,0.095077247,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2003,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2004,-0.02986149,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2005,0.639145291,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2006,0.854745092,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2007,0.92438102,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2008,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2009,0.97013851,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2010,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2011,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2012,-0.205952749,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2013,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2014,NA,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2015,-0.02986149,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2016,0.095077247,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2017,-0.506982745,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2018,NA,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2019,0.669108515,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2020,NA,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2021,-0.02986149,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2022,-0.02986149,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2023,-0.02986149,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2024,-0.205952749,Density anomaly,1,"Cassins auklet (So CC, Summer)"
2025,-0.205952749,Density anomaly,1,"Cassins auklet (So CC, Summer)"
1987,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1988,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1989,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1990,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1991,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1992,0.313676281,Density anomaly,2,"Common murre (So CC, Summer)"
1993,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1994,NA,Density anomaly,2,"Common murre (So CC, Summer)"
1995,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1996,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1997,-0.230391764,Density anomaly,2,"Common murre (So CC, Summer)"
1998,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
1999,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2000,-0.230391764,Density anomaly,2,"Common murre (So CC, Summer)"
2001,0.070638232,Density anomaly,2,"Common murre (So CC, Summer)"
2002,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2003,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2004,0.830306077,Density anomaly,2,"Common murre (So CC, Summer)"
2005,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2006,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2007,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2008,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2009,1.158774321,Density anomaly,2,"Common murre (So CC, Summer)"
2010,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2011,0.313676281,Density anomaly,2,"Common murre (So CC, Summer)"
2012,-0.054300505,Density anomaly,2,"Common murre (So CC, Summer)"
2013,-0.531421759,Density anomaly,2,"Common murre (So CC, Summer)"
2014,NA,Density anomaly,2,"Common murre (So CC, Summer)"
2015,0.246729491,Density anomaly,2,"Common murre (So CC, Summer)"
