year,index,metric,order,timeseries
1994,0.564,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
1995,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
1996,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
1997,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
1998,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
1999,0.86,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2000,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2001,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2002,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2003,0.011,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2004,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2005,0.683,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2006,ND,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2007,0.674,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2008,0.344,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2009,0.001,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2010,0,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2011,0.034,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2012,0.012,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2013,0.001,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2014,0,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2015,0.071,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2016,0.318,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2017,0.495,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2018,0.474,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2019,0.794,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2020,0.761,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2021,0.655,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2022,0.835,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2023,0.381,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
2024,0.059,% BRAC diet,1,Northern anchovy (Ce CC SEFI Brandts cormorant)
1994,0.123,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
1995,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
1996,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
1997,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
1998,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
1999,0.02,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2000,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2001,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2002,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2003,0.646,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2004,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2005,0.048,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2006,ND,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2007,0.07,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2008,0.018,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2009,0.84,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2010,0.736,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2011,0.265,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2012,0.083,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2013,0.969,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2014,0.956,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2015,0.756,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2016,0.547,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2017,0.253,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2018,0.181,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2019,0.009,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2020,0.170,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2021,0.091,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2022,0.046,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2023,0.603,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
2024,0.927,% BRAC diet,2,Rockfish juveniles (Ce CC SEFI Brandts cormorant)
