year,index,metric,order,timeseries
1971,0.2,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1972,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1973,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1974,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1975,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1976,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1977,0.99,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1978,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1979,0.66,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1980,0.46,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1981,0.82,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1982,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1983,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1984,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1985,0.788,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1986,0.96,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1987,0.962,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1988,0.971,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1989,0.977,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1990,0.891,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1991,0.611,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1992,ND,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1993,0.841,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1994,0.87,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1995,0.692,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1996,0.942,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1997,0.683,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1998,0.965,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1999,0.766,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2000,0.785,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2001,0.893,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2002,0.911,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2003,0.919,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2004,0.539,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2005,0,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2006,0,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2007,0.313,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2008,0.557,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2009,0.881,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2010,0.899,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2011,0.916,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2012,0.884,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2013,0.775,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2014,0.956,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2015,0.887,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2016,0.926,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2017,0.858,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2018,0.958,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2019,0.098,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2020,0.924,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2021,0.556,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2022,0.894,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2023,0.617,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2024,0.826,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
2025,0.827,% CAAU diet,1,Euphausiids (Ce CC SEFI Cassins auklet)
1971,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1972,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1973,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1974,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1975,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1976,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1977,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1978,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1979,0.01,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1980,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1981,0.09,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1982,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1983,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1984,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1985,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1986,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1987,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1988,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1989,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1990,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1991,0.367,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1992,ND,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1993,0.148,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1994,0.083,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1995,0.237,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1996,0.031,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1997,0.231,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1998,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
1999,0.162,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2000,0.058,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2001,0.014,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2002,0.004,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2003,0.067,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2004,0.403,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2005,0.999,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2006,1,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2007,0.319,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2008,0.323,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2009,0.017,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2010,0.03,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2011,0.061,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2012,0.05,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2013,0.042,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2014,0.008,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2015,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2016,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2017,0.13,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2018,0.02,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2019,0.77,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2020,0.048,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2021,0.422,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2022,0.047,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2023,0.15,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2024,0,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
2025,0.054,% CAAU diet,2,Mysids (Ce CC SEFI Cassins auklet)
