year,index,metric,order,timeseries
1973,0.71,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1974,0.11,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1975,0.06,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1976,0.26,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1977,0.04,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1978,0.43,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1979,0.01,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1980,0.2,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1981,0.15,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1982,0.26,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1983,0.63,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1984,0.25,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1985,0.19,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1986,0.56,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1987,0.08,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1988,0.14,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1989,0.43,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1990,0.47,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1991,0.36,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1992,0.66,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1993,0.63,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1994,0.81,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1995,0.76,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1996,0.76,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1997,0.73,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1998,0.884,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1999,0.743,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2000,0.66,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2001,0.29,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2002,0.16,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2003,0.3,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2004,0.6,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2005,0.766,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2006,0.833,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2007,0.863,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2008,0.567,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2009,0.047,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2010,0.034,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2011,0.205,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2012,0.081,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2013,0.019,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2014,0.031,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2015,0.327,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2016,0.531,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2017,0.345,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2018,0.715,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2019,0.83,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2020,0.595,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2021,0.713,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2022,0.693,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2023,0.621,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2024,0.323,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
2025,0.457,% COMU diet,1,Anchovy/sardine (Ce CC SEFI Common murre)
1973,0.18,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1974,0.82,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1975,0.91,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1976,0.35,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1977,0.94,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1978,0.25,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1979,0.97,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1980,0.72,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1981,0.8,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1982,0.67,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1983,0.18,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1984,0.69,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1985,0.74,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1986,0.38,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1987,0.89,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1988,0.82,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1989,0.47,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1990,0.24,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1991,0.41,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1992,0.09,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1993,0.31,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1994,0.13,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1995,0.15,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1996,0.09,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1997,0.17,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1998,0.012,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1999,0.065,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2000,0.03,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2001,0.49,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2002,0.74,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2003,0.499,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2004,0.27,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2005,0.019,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2006,0.012,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2007,0.054,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2008,0.251,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2009,0.721,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2010,0.845,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2011,0.424,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2012,0.46,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2013,0.854,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2014,0.891,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2015,0.506,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2016,0.388,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2017,0.612,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2018,0.214,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2019,0.037,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2020,0.318,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2021,0.161,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2022,0.266,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2023,0.262,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2024,0.556,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
2025,0.438,% COMU diet,2,Rockfish juveniles (Ce CC SEFI Common murre)
1973,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1974,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1975,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1976,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1977,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1978,0.02,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1979,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1980,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1981,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1982,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1983,0.04,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1984,0.02,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1985,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1986,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1987,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1988,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1989,0,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1990,0.05,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1991,0.04,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1992,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1993,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1994,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1995,0.03,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1996,0.06,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1997,0.02,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1998,0.037,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
1999,0.006,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2000,0.02,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2001,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2002,0.01,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2003,0.015,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2004,0.02,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2005,0.092,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2006,0.071,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2007,0.03,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2008,0.028,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2009,0.017,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2010,0.012,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2011,0.014,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2012,0.009,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2013,0.003,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2014,0.001,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2015,4e-4,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2016,0.001,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2017,0.004,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2018,0.005,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2019,0.003,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2020,0.003,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2021,0.003,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2022,0.001,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2023,0.044,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2024,0.02,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
2025,0.008,% COMU diet,3,Salmon juveniles (Ce CC Common murre)
