year,index,metric,order,timeseries
1972,0.065,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1973,0.542,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1974,0.838,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1975,0.753,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1976,0.228,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1977,0.861,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1978,0.077,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1979,0.883,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1980,0.683,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1981,0.661,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1982,0.628,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1983,ND,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1984,0.725,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1985,0.652,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1986,0.364,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1987,0.677,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1988,0.713,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1989,0.324,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1990,0.04,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1991,0.268,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1992,0.077,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1993,0.623,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1994,0.283,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1995,0.154,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1996,0.341,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1997,0.316,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1998,ND,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
1999,0.262,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2000,0.014,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2001,0.586,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2002,0.497,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2003,0.445,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2004,0.532,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2005,0.024,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2006,0.019,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2007,0.036,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2008,0.186,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2009,0.13,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2010,0.611,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2011,0.31,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2012,0.422,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2013,0.587,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2014,0.754,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2015,0.491,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2016,0.493,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2017,0.249,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2018,0.16,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2019,0.145,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2020,0.255,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2021,0.182,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2022,0.264,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2023,0.292,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2024,0.302,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
2025,0.291,% PIGU diet,1,Rockfish juveniles (Ce CC SEFI Pigeon guillemot)
