year,index,metric,order,timeseries
1987,0.006,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1988,0.086,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1989,0.203,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1990,0.142,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1991,0.005,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1992,0.799,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1993,0.379,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1994,0.156,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1995,0.243,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1996,0.303,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1997,0.009,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1998,0.023,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1999,0.297,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2000,0.423,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2001,0,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2002,0.043,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2003,0.007,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2004,0.345,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2005,0.67,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2006,0.957,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2007,0.96,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2008,0.282,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
