"time","index","stdev","SEup","SElo","location","timeseries"
2007-11-08,14.14,"1.37","14.33","13.95","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2007-12-11,15.1,"1.21","15.46","14.73","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2008-02-17,13.57,"1.55","13.78","13.36","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2008-03-05,13.84,"1.49","14.04","13.64","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2008-05-16,16.21,"2.11","16.59","15.84","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2008-06-20,17.28,"2.14","17.57","17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2008-09-16,13.96,"2.07","14.37","13.55","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2008-10-28,15.18,"1.61","15.42","14.95","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-01-14,14.44,"1.58","14.67","14.21","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-02-17,13.03,"1.43","13.23","12.83","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-03-19,13.01,"1.25","13.18","12.84","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-04-21,16.34,"1.35","16.52","16.17","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-06-01,16.78,"1.07","16.93","16.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-08-04,15.41,"2.24","15.72","15.1","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-09-14,12.51,"2.68","12.98","12.04","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2009-10-29,11.3,"1.47","11.52","11.08","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2010-01-31,12.79,"1.08","12.95","12.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2010-02-18,12.56,"1.66","12.88","12.25","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2010-04-13,9.7,"1.17","10.37","9.02","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2010-12-10,10.76,"1.85","11.08","10.44","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-02-20,10.92,"1.28","11.11","10.73","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-05-27,15.34,"2.19","15.71","14.97","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-06-28,15.41,"2.61","15.75","15.07","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-07-14,14.08,"2.59","14.43","13.73","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-08-02,16.16,"1.4","16.41","15.91","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-09-12,12.52,"1.96","12.98","12.07","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-10-10,10.92,"1.31","11.19","10.65","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-11-15,10.27,"1.09","10.46","10.08","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2011-12-06,10.29,"1.1","10.55","10.03","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-01-29,10.92,"1.15","11.09","10.76","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-02-21,12.52,"1.06","12.66","12.39","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-03-08,12.07,"1.31","12.25","11.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-04-05,12.71,"1.2","12.9","12.52","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-04-19,12.09,"1.57","12.37","11.81","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-05-22,14.75,"1.01","14.89","14.6","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-06-05,14.06,"2.57","14.66","13.46","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-06-24,11.6,"1.52","12.37","10.84","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-08-04,14.91,"1.99","15.28","14.54","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-09-06,11.28,"1.18","11.87","10.7","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-09-21,12.62,"1.6","13.13","12.12","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-10-22,12.97,"2.59","13.62","12.32","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-11-26,11.18,"1.75","11.47","10.88","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2012-12-14,9.57,"1.35","9.8","9.34","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-01-16,11.36,"2.29","11.78","10.94","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-02-15,11.02,"2.12","11.32","10.73","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-03-11,14.36,"0.76","14.57","14.15","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-05-06,14.46,"2.45","14.8","14.12","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-05-13,14.11,"2.64","14.47","13.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-05-29,10.51,"1.59","10.8","10.22","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-06-18,15.95,"2.09","16.23","15.66","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-06-26,15.9,"2.5","16.25","15.55","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-07-17,15.79,"1.98","16.05","15.53","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-07-23,10.67,"2.09","11.15","10.19","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-08-05,14.23,"2.26","14.84","13.61","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-08-26,13.9,"2.13","14.2","13.59","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-09-12,15.27,"1.44","15.48","15.07","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-10-15,14.86,"1.6","15.06","14.65","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-10-24,12.6,"2.23","12.95","12.26","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2013-11-12,14.27,"1.71","14.92","13.63","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-01-02,11.21,"2.09","11.76","10.66","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-01-16,11.48,"1.78","11.75","11.2","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-02-24,11.64,"1","11.8","11.47","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-04-02,14.19,"1.59","14.42","13.97","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-04-28,15.57,"1.43","15.76","15.37","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-06-12,16.05,"1.95","16.34","15.76","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-07-15,13.12,"3.48","14.33","11.91","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-08-28,10.21,"3.87","11.58","8.84","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-09-16,8.16,"2.09","8.6","7.72","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2014-10-27,9.18,"1.01","9.43","8.93","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-01-05,8.65,"0.83","8.77","8.54","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-01-13,9.04,"0.82","9.18","8.89","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-02-13,10.95,"0.51","11.15","10.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-03-10,12.87,"0.92","13","12.75","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-04-27,12.83,"2.44","13.18","12.48","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-05-13,12.71,"3.19","13.12","12.3","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-08-02,8.96,"1.12","9.24","8.68","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-08-11,10.29,"2.15","10.62","9.96","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
2015-09-15,8.92,"1.59","9.13","8.71","Trinidad Line Stations TH04, TH05","Euphausia pacifica (krill) mean length"
