response,region,long_estimate_low,long_estimate,long_estimate_high,short_estimate_low,short_estimate,short_estimate_high,abb,region_type,short_trend,long_trend
7 day min flow,Columbia Glaciated,-0.6818871075856792,-0.35081699266386474,-0.01568222908087996,-0.23202789107807276,-0.13485160020622433,-0.039535145879539754,CG,Ecoregion,negative,negative
1 day max flow,Columbia Glaciated,-0.4707061474249177,-0.2198752491177878,0.03250156938087301,-0.20213955961866803,-0.07966581586856786,0.043295218084006354,CG,Ecoregion,none,none
7 day min flow,Columbia Unglaciated,-0.44021521434977295,-0.13187748535396843,0.17719119393784435,-0.09650164132007388,-0.0010683725425796803,0.09547183456455864,CU,Ecoregion,none,none
1 day max flow,Columbia Unglaciated,-0.5447862417570171,-0.3226558271136488,-0.1018865674692469,-0.1670045591917473,-0.03807501685159792,0.09095656693752618,CU,Ecoregion,none,negative
7 day min flow,Salish Sea & WA Coast,-0.684136062423294,-0.341884878425798,0.007120773493533017,-0.2060143059538837,-0.07507731492613333,0.050544936127363826,SW,Ecoregion,none,none
1 day max flow,Salish Sea & WA Coast,-0.08856076490347342,0.16253785101144808,0.4163965422265268,-0.261179504287735,-0.09097699668844393,0.07901197778545731,SW,Ecoregion,none,none
7 day min flow,OR & N CA Coast,-0.4769131529876295,-0.11296944387994486,0.24792063468849893,0.0997886880453511,0.22461184449890348,0.3491392727780579,ON,Ecoregion,positive,none
1 day max flow,OR & N CA Coast,-0.6365541745754586,-0.3543953112889593,-0.07377539647405373,0.08867051716686722,0.20694995450962628,0.3242974403622889,ON,Ecoregion,positive,negative
7 day min flow,Sacramento San Joaquin,-0.4196306100360086,-0.12074253652238194,0.17687837859083194,0.08820333220777728,0.2079607990350404,0.3373238720777877,SS,Ecoregion,positive,none
1 day max flow,Sacramento San Joaquin,-0.5208028589514379,-0.2834333138204504,-0.047726335137620646,0.1801173635876683,0.3151216302971426,0.4519835700620247,SS,Ecoregion,positive,negative
7 day min flow,S CA Bight,-0.1727240979200167,0.19807517642540645,0.5710052772174141,0.0945218154119396,0.31014796543681966,0.5282964651061911,SC,Ecoregion,positive,none
1 day max flow,S CA Bight,-0.5181398356511538,-0.19591849522541746,0.12137239510376294,0.015224489605684538,0.22454063500752186,0.428614848333041,SC,Ecoregion,positive,none
7 day min flow,WAC,-0.8972755165968032,-0.5700117414538747,-0.22726553822797263,-0.12701383942093658,0.021453931374667504,0.17037790048929977,WAC,ESU,none,negative
1 day max flow,WAC,-0.23051797209867297,0.07811154607768031,0.3886273920386525,-0.21332485389972966,-0.056666705335805125,0.10215191168383642,WAC,ESU,none,none
7 day min flow,UWR,-0.11766900792772084,0.18682501234636223,0.4911846326352824,0.022969330311439856,0.139943466024794,0.25745234861183985,UWR,ESU,positive,none
1 day max flow,UWR,-0.7152702397129295,-0.4908247462827345,-0.2691581246707994,0.0025784461022177463,0.071931599297757,0.1424136461150945,UWR,ESU,positive,negative
7 day min flow,ORC,-0.5680998641343278,-0.13297915952549794,0.31054606496648424,-0.07222722477400562,0.07765404476497073,0.22789980905958696,ORC,ESU,none,none
1 day max flow,ORC,-0.805980948291597,-0.4865356351162082,-0.17039291300224424,0.034028842617480085,0.1268537681960198,0.21950695320591956,ORC,ESU,positive,negative
7 day min flow,PUG,-0.20202377872587474,0.04969792220510622,0.3053217140064961,-0.21260429845261802,-0.11625560834040916,-0.02077009051414183,PUG,ESU,negative,none
1 day max flow,PUG,-0.08899057682387565,0.09046917243048057,0.27166315836496346,-0.25743803323606296,-0.14201041944349124,-0.027408060726792846,PUG,ESU,negative,none
7 day min flow,SAC,-0.6574054372198472,-0.22113984458958236,0.23267885429400792,-0.11240625904100238,0.06944450732199807,0.25142682006639105,SAC,ESU,none,none
1 day max flow,SAC,-1.1811308464496804,-0.834153039222515,-0.4892683685419941,0.2657306895457924,0.4460962773932084,0.6190346816743144,SAC,ESU,positive,negative
7 day min flow,MCS,-0.49631067794422334,-0.18050708334788187,0.13413478857052066,-0.12223710428226829,0.0012644450161812294,0.12451413629185895,MCS,ESU,none,none
1 day max flow,MCS,-0.3691793299952595,-0.12612275015525737,0.11752459370604129,-0.3298916706132547,-0.21820496875432321,-0.1042855175785346,MCS,ESU,negative,none
7 day min flow,UKT,-0.4525051560407717,0.06528516904520558,0.577209690496025,0.10950577735562794,0.24099179211987343,0.3723390756301601,UKT,ESU,positive,none
