time,index,nobs,timeseries,stdev,SEup,SElo
1967-01-01T00:00:00Z, -2.911,124,33N, 53.929, 51.018, -56.840
1967-02-01T00:00:00Z,  3.207,112,33N, 54.364, 57.571, -51.157
1967-03-01T00:00:00Z, 87.712,124,33N, 95.233,182.945,  -7.521
1967-04-01T00:00:00Z,114.032,120,33N, 90.904,204.936,  23.128
1967-05-01T00:00:00Z,213.484,124,33N,173.976,387.460,  39.508
1967-06-01T00:00:00Z,257.433,120,33N,157.254,414.687, 100.179
1967-07-01T00:00:00Z,200.845,124,33N,120.981,321.826,  79.864
1967-08-01T00:00:00Z,165.620,124,33N,108.227,273.847,  57.393
1967-09-01T00:00:00Z,106.184,120,33N, 98.750,204.934,   7.434
1967-10-01T00:00:00Z, 41.497,124,33N,114.370,155.867, -72.873
1967-11-01T00:00:00Z,  7.451,120,33N, 53.637, 61.088, -46.186
1967-12-01T00:00:00Z,-20.797,124,33N,130.944,110.147,-151.741
1968-01-01T00:00:00Z,  1.555,124,33N, 53.588, 55.143, -52.033
1968-02-01T00:00:00Z, 23.264,116,33N, 63.305, 86.569, -40.041
1968-03-01T00:00:00Z, 76.874,124,33N, 90.112,166.986, -13.238
1968-04-01T00:00:00Z,148.154,120,33N,166.962,315.116, -18.808
1968-05-01T00:00:00Z,292.556,124,33N,217.880,510.436,  74.676
1968-06-01T00:00:00Z,277.580,120,33N,181.509,459.089,  96.071
1968-07-01T00:00:00Z,166.104,124,33N,100.319,266.423,  65.785
1968-08-01T00:00:00Z,175.620,123,33N,120.122,295.742,  55.498
1968-09-01T00:00:00Z,152.969,120,33N,141.331,294.300,  11.638
1968-10-01T00:00:00Z, 69.648,123,33N, 74.184,143.832,  -4.536
1968-11-01T00:00:00Z, 39.190,120,33N, 64.198,103.388, -25.008
1968-12-01T00:00:00Z, 19.266,124,33N, 92.426,111.692, -73.160
1969-01-01T00:00:00Z, 12.014,123,33N, 56.996, 69.010, -44.982
1969-02-01T00:00:00Z, 40.271,112,33N, 75.607,115.878, -35.336
1969-03-01T00:00:00Z, 99.442,124,33N,121.551,220.993, -22.109
1969-04-01T00:00:00Z,157.960,120,33N,137.782,295.742,  20.178
1969-05-01T00:00:00Z,227.859,123,33N,154.436,382.295,  73.423
1969-06-01T00:00:00Z,236.372,120,33N,124.570,360.942, 111.802
1969-07-01T00:00:00Z,207.522,124,33N,144.958,352.480,  62.564
1969-08-01T00:00:00Z,144.059,123,33N, 76.877,220.936,  67.182
1969-09-01T00:00:00Z,142.480,120,33N,124.912,267.392,  17.568
1969-10-01T00:00:00Z,102.383,123,33N,121.989,224.372, -19.606
1969-11-01T00:00:00Z,-16.000,120,33N, 64.450, 48.450, -80.450
1969-12-01T00:00:00Z, 47.587,124,33N, 96.563,144.150, -48.976
1970-01-01T00:00:00Z, 19.835,124,33N, 75.836, 95.671, -56.001
