time,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order,year
1950,01,1950-01,-1.53,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1950,02,1950-02,-1.34,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1950,03,1950-03,-1.16,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1950,04,1950-04,-1.18,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1950,05,1950-05,-1.07,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1950,06,1950-06,-0.85,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1950,07,1950-07,-0.54,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1950,08,1950-08,-0.42,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1950,09,1950-09,-0.39,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1950,10,1950-10,-0.44,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1950,11,1950-11,-0.6,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1950,12,1950-12,-0.8,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1951,01,1951-01,-0.82,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1951,02,1951-02,-0.54,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1951,03,1951-03,-0.17,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1951,04,1951-04,0.18,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1951,05,1951-05,0.36,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1951,06,1951-06,0.58,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1951,07,1951-07,0.7,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1951,08,1951-08,0.89,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1951,09,1951-09,0.99,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1951,10,1951-10,1.15,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1951,11,1951-11,1.04,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1951,12,1951-12,0.81,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1952,01,1952-01,0.53,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1952,02,1952-02,0.37,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1952,03,1952-03,0.34,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1952,04,1952-04,0.29,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1952,05,1952-05,0.2,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1952,06,1952-06,0,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1952,07,1952-07,-0.08,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1952,08,1952-08,0,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1952,09,1952-09,0.15,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1952,10,1952-10,0.1,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1952,11,1952-11,0.04,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1952,12,1952-12,0.15,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1953,01,1953-01,0.4,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1953,02,1953-02,0.6,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1953,03,1953-03,0.63,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1953,04,1953-04,0.66,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1953,05,1953-05,0.75,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1953,06,1953-06,0.77,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1953,07,1953-07,0.75,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1953,08,1953-08,0.73,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1953,09,1953-09,0.78,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1953,10,1953-10,0.84,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1953,11,1953-11,0.84,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1953,12,1953-12,0.81,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1954,01,1954-01,0.76,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1954,02,1954-02,0.47,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1954,03,1954-03,-0.05,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1954,04,1954-04,-0.41,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1954,05,1954-05,-0.54,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1954,06,1954-06,-0.5,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1954,07,1954-07,-0.64,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1954,08,1954-08,-0.84,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1954,09,1954-09,-0.9,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1954,10,1954-10,-0.77,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1954,11,1954-11,-0.73,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1954,12,1954-12,-0.66,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1955,01,1955-01,-0.68,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1955,02,1955-02,-0.62,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1955,03,1955-03,-0.69,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1955,04,1955-04,-0.8,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1955,05,1955-05,-0.79,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1955,06,1955-06,-0.72,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1955,07,1955-07,-0.68,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1955,08,1955-08,-0.75,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1955,09,1955-09,-1.09,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1955,10,1955-10,-1.42,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1955,11,1955-11,-1.67,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1955,12,1955-12,-1.47,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1956,01,1956-01,-1.11,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1956,02,1956-02,-0.76,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1956,03,1956-03,-0.63,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1956,04,1956-04,-0.54,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1956,05,1956-05,-0.52,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1956,06,1956-06,-0.51,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1956,07,1956-07,-0.57,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1956,08,1956-08,-0.55,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1956,09,1956-09,-0.46,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1956,10,1956-10,-0.42,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1956,11,1956-11,-0.43,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1956,12,1956-12,-0.43,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1957,01,1957-01,-0.25,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1957,02,1957-02,0.06,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1957,03,1957-03,0.41,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1957,04,1957-04,0.72,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1957,05,1957-05,0.92,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1957,06,1957-06,1.11,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1957,07,1957-07,1.25,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1957,08,1957-08,1.32,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1957,09,1957-09,1.33,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1957,10,1957-10,1.39,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1957,11,1957-11,1.53,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1957,12,1957-12,1.74,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1958,01,1958-01,1.81,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1958,02,1958-02,1.66,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1958,03,1958-03,1.27,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1958,04,1958-04,0.93,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1958,05,1958-05,0.74,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1958,06,1958-06,0.64,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1958,07,1958-07,0.57,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1958,08,1958-08,0.43,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1958,09,1958-09,0.39,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1958,10,1958-10,0.44,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1958,11,1958-11,0.5,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1958,12,1958-12,0.61,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1959,01,1959-01,0.61,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1959,02,1959-02,0.62,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1959,03,1959-03,0.52,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
1959,04,1959-04,0.33,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-04-15
1959,05,1959-05,0.2,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-05-15
1959,06,1959-06,-0.07,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-06-15
1959,07,1959-07,-0.18,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-07-15
1959,08,1959-08,-0.28,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-08-15
1959,09,1959-09,-0.09,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-09-15
1959,10,1959-10,-0.03,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-10-15
1959,11,1959-11,0.05,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-11-15
1959,12,1959-12,-0.04,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-12-15
1960,01,1960-01,-0.1,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-01-15
1960,02,1960-02,-0.1,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-02-15
1960,03,1960-03,-0.07,NA,NA,NA,ONI,Monthly Oceanic Nino Index,NA,NA,NA,1,-03-15
