time,index,timeseries,metric
1988-01-15T00:00:00Z,0.182,33N,"m^2 s^(-1)"
1988-01-15T00:00:00Z,0.201,39N,"m^2 s^(-1)"
1988-01-15T00:00:00Z,-0.062,45N,"m^2 s^(-1)"
1988-02-15T00:00:00Z,0.16,33N,"m^2 s^(-1)"
1988-02-15T00:00:00Z,0.751,39N,"m^2 s^(-1)"
1988-02-15T00:00:00Z,0.23,45N,"m^2 s^(-1)"
1988-03-15T00:00:00Z,0.328,33N,"m^2 s^(-1)"
1988-03-15T00:00:00Z,1.473,39N,"m^2 s^(-1)"
1988-03-15T00:00:00Z,0.068,45N,"m^2 s^(-1)"
1988-04-15T00:00:00Z,0.279,33N,"m^2 s^(-1)"
1988-04-15T00:00:00Z,0.629,39N,"m^2 s^(-1)"
1988-04-15T00:00:00Z,0.065,45N,"m^2 s^(-1)"
1988-05-15T00:00:00Z,0.627,33N,"m^2 s^(-1)"
1988-05-15T00:00:00Z,1.371,39N,"m^2 s^(-1)"
1988-05-15T00:00:00Z,-0.004,45N,"m^2 s^(-1)"
1988-06-15T00:00:00Z,0.414,33N,"m^2 s^(-1)"
1988-06-15T00:00:00Z,1.663,39N,"m^2 s^(-1)"
1988-06-15T00:00:00Z,0.379,45N,"m^2 s^(-1)"
1988-07-15T00:00:00Z,0.192,33N,"m^2 s^(-1)"
1988-07-15T00:00:00Z,1.351,39N,"m^2 s^(-1)"
1988-07-15T00:00:00Z,0.726,45N,"m^2 s^(-1)"
1988-08-15T00:00:00Z,0.275,33N,"m^2 s^(-1)"
1988-08-15T00:00:00Z,0.976,39N,"m^2 s^(-1)"
1988-08-15T00:00:00Z,0.633,45N,"m^2 s^(-1)"
1988-09-15T00:00:00Z,0.161,33N,"m^2 s^(-1)"
1988-09-15T00:00:00Z,1.058,39N,"m^2 s^(-1)"
1988-09-15T00:00:00Z,0.451,45N,"m^2 s^(-1)"
1988-10-15T00:00:00Z,0.247,33N,"m^2 s^(-1)"
1988-10-15T00:00:00Z,0.525,39N,"m^2 s^(-1)"
1988-10-15T00:00:00Z,0.271,45N,"m^2 s^(-1)"
