year,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,2,1950-02,2.19444444444444,0,2.19444444444444,2.19444444444444,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,3,1950-03,2.698,0,2.698,2.698,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,4,1950-04,2.38,0,2.38,2.38,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,5,1950-05,2.3625,0,2.3625,2.3625,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,6,1950-06,2.21,0,2.21,2.21,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,7,1950-07,2.9444,0,2.9444,2.9444,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,8,1950-08,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,9,1950-09,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,10,1950-10,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,11,1950-11,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1950,12,1950-12,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,1,1951-01,2.5652,0,2.5652,2.5652,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,2,1951-02,2.395,0,2.395,2.395,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,3,1951-03,2.4036,0,2.4036,2.4036,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,4,1951-04,2.6652,0,2.6652,2.6652,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,5,1951-05,2.09,0,2.09,2.09,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,6,1951-06,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,7,1951-07,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,8,1951-08,2.02181818181818,0,2.02181818181818,2.02181818181818,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,9,1951-09,2.6996,0,2.6996,2.6996,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,10,1951-10,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,11,1951-11,2.2136,0,2.2136,2.2136,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1951,12,1951-12,2.40666666666667,0,2.40666666666667,2.40666666666667,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,1,1952-01,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,2,1952-02,2.81,0,2.81,2.81,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,3,1952-03,2.265,0,2.265,2.265,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,4,1952-04,2.566,0,2.566,2.566,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,5,1952-05,2.2892,0,2.2892,2.2892,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,6,1952-06,1.93,0,1.93,1.93,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,7,1952-07,2.399,0,2.399,2.399,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,8,1952-08,2.99,0,2.99,2.99,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,9,1952-09,1.99,0,1.99,1.99,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,10,1952-10,2.2164,0,2.2164,2.2164,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,11,1952-11,2.39,0,2.39,2.39,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1952,12,1952-12,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,1,1953-01,2.1696,0,2.1696,2.1696,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,2,1953-02,2.454,0,2.454,2.454,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,3,1953-03,2.1312,0,2.1312,2.1312,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,4,1953-04,1.8975,0,1.8975,1.8975,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,5,1953-05,2.2416,0,2.2416,2.2416,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,6,1953-06,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,7,1953-07,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,8,1953-08,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,9,1953-09,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,10,1953-10,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,11,1953-11,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1953,12,1953-12,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,1,1954-01,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,2,1954-02,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,3,1954-03,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,4,1954-04,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,5,1954-05,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,6,1954-06,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,7,1954-07,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,8,1954-08,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,9,1954-09,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,10,1954-10,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,11,1954-11,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1954,12,1954-12,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,1,1955-01,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,2,1955-02,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,3,1955-03,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,4,1955-04,2.01181818181818,0,2.01181818181818,2.01181818181818,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,5,1955-05,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,6,1955-06,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,7,1955-07,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,8,1955-08,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,9,1955-09,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,10,1955-10,2.16,0,2.16,2.16,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,11,1955-11,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1955,12,1955-12,2.2716,0,2.2716,2.2716,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,1,1956-01,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,2,1956-02,2.09444444444444,0,2.09444444444444,2.09444444444444,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,3,1956-03,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,4,1956-04,2.10461538461538,0,2.10461538461538,2.10461538461538,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,5,1956-05,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,6,1956-06,2.40636363636364,0,2.40636363636364,2.40636363636364,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,7,1956-07,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,8,1956-08,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,9,1956-09,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,10,1956-10,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,11,1956-11,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1956,12,1956-12,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,1,1957-01,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,2,1957-02,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,3,1957-03,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,4,1957-04,2.0424,0,2.0424,2.0424,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,5,1957-05,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,6,1957-06,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,7,1957-07,3.63,0,3.63,3.63,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
1957,8,1957-08,NA,NA,NA,NA,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.8409933613445,-117.526695795518,150,1
