year,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order
1982,1,1982-01,0.557630156280209,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,2,1982-02,0.613716506593273,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,3,1982-03,0.544947949952722,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,4,1982-04,1,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,5,1982-05,1,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,6,1982-06,1,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,7,1982-07,0.393336513947508,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,8,1982-08,0.271265828778824,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,9,1982-09,0.126015155103505,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,10,1982-10,0.0287264484612129,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,11,1982-11,0.282870994614256,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1982,12,1982-12,0.0071816121153032,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
1983,1,1983-01,0,NA,NA,NA,Habitat Area (fraction below monthly threshold),Monthly Habitat Compression Index over 43.5-48N,NA,NA,0,1
