year,year,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,336,0,336,336,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1968,1968,341,0,341,341,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1969,1969,357,0,357,357,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1970,1970,355,0,355,355,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1971,1971,349,0,349,349,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1972,1972,350,0,350,350,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1973,1973,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1974,1974,342,0,342,342,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1975,1975,363,0,363,363,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1976,1976,310,0,310,310,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1977,1977,352,0,352,352,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1978,1978,326,0,326,326,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1979,1979,324,0,324,324,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1980,1980,282,0,282,282,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1981,1981,343,0,343,343,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1982,1982,351,0,351,351,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1983,1983,322,0,322,322,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1984,1984,347,0,347,347,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1985,1985,341,0,341,341,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1986,1986,351,0,351,351,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1987,1987,348,0,348,348,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1988,1988,361,0,361,361,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1989,1989,363,0,363,363,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1990,1990,356,0,356,356,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1991,1991,349,0,349,349,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1992,1992,361,0,361,361,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1993,1993,334,0,334,334,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1994,1994,364,0,364,364,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1995,1995,341,0,341,341,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1996,1996,348,0,348,348,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1997,1997,336,0,336,336,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1998,1998,319,0,319,319,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1999,1999,338,0,338,338,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2000,2000,350,0,350,350,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2001,2001,353,0,353,353,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2002,2002,359,0,359,359,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2003,2003,287,0,287,287,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2004,2004,348,0,348,348,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2005,2005,356,0,356,356,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2006,2006,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2007,2007,363,0,363,363,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2008,2008,339,0,339,339,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2009,2009,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2010,2010,345,0,345,345,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2011,2011,360,0,360,360,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2012,2012,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2013,2013,339,0,339,339,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2014,2014,322,0,322,322,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2015,2015,336,0,336,336,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2016,2016,356,0,356,356,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2017,2017,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2018,2018,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2019,2019,335,0,335,335,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2020,2020,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2021,2021,342,0,342,342,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2022,2022,364,0,364,364,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2023,2023,338,0,338,338,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2024,2024,365,0,365,365,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
2025,2025,355,0,355,355,LUSI (days),Length of Upwelling Season Index @ 33N,33,0,0,1
1967,1967,278,0,278,278,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1968,1968,217,0,217,217,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1969,1969,273,0,273,273,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1970,1970,219,0,219,219,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1971,1971,333,0,333,333,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1972,1972,234,0,234,234,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1973,1973,244,0,244,244,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1974,1974,305,0,305,305,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1975,1975,299,0,299,299,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1976,1976,355,0,355,355,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1977,1977,322,0,322,322,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1978,1978,299,0,299,299,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1979,1979,238,0,238,238,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1980,1980,268,0,268,268,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1981,1981,249,0,249,249,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1982,1982,189,0,189,189,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1983,1983,213,0,213,213,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1984,1984,296,0,296,296,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1985,1985,298,0,298,298,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1986,1986,271,0,271,271,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1987,1987,238,0,238,238,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1988,1988,348,0,348,348,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1989,1989,272,0,272,272,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1990,1990,353,0,353,353,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1991,1991,285,0,285,285,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1992,1992,277,0,277,277,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1993,1993,177,0,177,177,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1994,1994,282,0,282,282,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1995,1995,238,0,238,238,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1996,1996,250,0,250,250,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1997,1997,272,0,272,272,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1998,1998,257,0,257,257,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1999,1999,227,0,227,227,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2000,2000,260,0,260,260,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2001,2001,249,0,249,249,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2002,2002,298,0,298,298,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2003,2003,234,0,234,234,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2004,2004,303,0,303,303,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2005,2005,270,0,270,270,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2006,2006,239,0,239,239,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2007,2007,333,0,333,333,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2008,2008,347,0,347,347,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2009,2009,279,0,279,279,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2010,2010,268,0,268,268,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2011,2011,360,0,360,360,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2012,2012,275,0,275,275,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2013,2013,360,0,360,360,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2014,2014,220,0,220,220,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2015,2015,292,0,292,292,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2016,2016,214,0,214,214,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2017,2017,281,0,281,281,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2018,2018,294,0,294,294,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2019,2019,288,0,288,288,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2020,2020,331,0,331,331,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2021,2021,278,0,278,278,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2022,2022,322,0,322,322,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2023,2023,302,0,302,302,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2024,2024,248,0,248,248,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
2025,2025,303,0,303,303,LUSI (days),Length of Upwelling Season Index @ 39N,39,0,0,2
1967,1967,188,0,188,188,LUSI (days),Length of Upwelling Season Index @ 45N,45,0,0,3
1968,1968,195,0,195,195,LUSI (days),Length of Upwelling Season Index @ 45N,45,0,0,3
