time,index,timeseries,metric
1979-01-01,0.46,MEI,stdev/1000
1979-02-01,0.29,MEI,stdev/1000
1979-03-01,-0.05,MEI,stdev/1000
1979-04-01,0.22,MEI,stdev/1000
1979-05-01,0.27,MEI,stdev/1000
1979-06-01,-0.11,MEI,stdev/1000
1979-07-01,-0.10,MEI,stdev/1000
1979-08-01,0.47,MEI,stdev/1000
1979-09-01,0.38,MEI,stdev/1000
1979-10-01,0.23,MEI,stdev/1000
1979-11-01,0.53,MEI,stdev/1000
1979-12-01,0.63,MEI,stdev/1000
1980-01-01,0.33,MEI,stdev/1000
1980-02-01,0.21,MEI,stdev/1000
1980-03-01,0.39,MEI,stdev/1000
1980-04-01,0.50,MEI,stdev/1000
1980-05-01,0.45,MEI,stdev/1000
1980-06-01,0.55,MEI,stdev/1000
1980-07-01,0.47,MEI,stdev/1000
1980-08-01,0.03,MEI,stdev/1000
1980-09-01,0.12,MEI,stdev/1000
1980-10-01,0.03,MEI,stdev/1000
1980-11-01,-0.08,MEI,stdev/1000
1980-12-01,-0.12,MEI,stdev/1000
1981-01-01,-0.35,MEI,stdev/1000
1981-02-01,-0.23,MEI,stdev/1000
1981-03-01,0.33,MEI,stdev/1000
1981-04-01,0.42,MEI,stdev/1000
1981-05-01,-0.24,MEI,stdev/1000
1981-06-01,-0.69,MEI,stdev/1000
1981-07-01,-0.60,MEI,stdev/1000
1981-08-01,-0.33,MEI,stdev/1000
1981-09-01,-0.06,MEI,stdev/1000
1981-10-01,-0.16,MEI,stdev/1000
1981-11-01,-0.27,MEI,stdev/1000
1981-12-01,-0.20,MEI,stdev/1000
1982-01-01,-0.43,MEI,stdev/1000
1982-02-01,-0.50,MEI,stdev/1000
1982-03-01,-0.28,MEI,stdev/1000
1982-04-01,-0.37,MEI,stdev/1000
1982-05-01,-0.11,MEI,stdev/1000
1982-06-01,0.63,MEI,stdev/1000
1982-07-01,1.65,MEI,stdev/1000
1982-08-01,1.91,MEI,stdev/1000
1982-09-01,1.68,MEI,stdev/1000
1982-10-01,1.77,MEI,stdev/1000
1982-11-01,2.13,MEI,stdev/1000
1982-12-01,2.36,MEI,stdev/1000
1983-01-01,2.47,MEI,stdev/1000
1983-02-01,2.66,MEI,stdev/1000
1983-03-01,2.60,MEI,stdev/1000
1983-04-01,2.75,MEI,stdev/1000
1983-05-01,2.85,MEI,stdev/1000
1983-06-01,1.96,MEI,stdev/1000
1983-07-01,0.63,MEI,stdev/1000
1983-08-01,-0.17,MEI,stdev/1000
1983-09-01,-0.50,MEI,stdev/1000
1983-10-01,-0.53,MEI,stdev/1000
1983-11-01,-0.47,MEI,stdev/1000
1983-12-01,-0.50,MEI,stdev/1000
1984-01-01,-0.55,MEI,stdev/1000
1984-02-01,-0.56,MEI,stdev/1000
1984-03-01,-0.17,MEI,stdev/1000
1984-04-01,0.06,MEI,stdev/1000
1984-05-01,-0.46,MEI,stdev/1000
1984-06-01,-0.69,MEI,stdev/1000
1984-07-01,-0.35,MEI,stdev/1000
1984-08-01,-0.19,MEI,stdev/1000
1984-09-01,-0.14,MEI,stdev/1000
1984-10-01,-0.19,MEI,stdev/1000
1984-11-01,-0.58,MEI,stdev/1000
1984-12-01,-0.29,MEI,stdev/1000
1985-01-01,-0.26,MEI,stdev/1000
1985-02-01,-0.58,MEI,stdev/1000
1985-03-01,-0.60,MEI,stdev/1000
1985-04-01,-0.77,MEI,stdev/1000
1985-05-01,-1.23,MEI,stdev/1000
1985-06-01,-0.67,MEI,stdev/1000
1985-07-01,-0.10,MEI,stdev/1000
1985-08-01,-0.49,MEI,stdev/1000
1985-09-01,-0.56,MEI,stdev/1000
1985-10-01,-0.08,MEI,stdev/1000
1985-11-01,-0.06,MEI,stdev/1000
1985-12-01,-0.42,MEI,stdev/1000
1986-01-01,-0.40,MEI,stdev/1000
1986-02-01,-0.34,MEI,stdev/1000
1986-03-01,-0.39,MEI,stdev/1000
1986-04-01,-0.53,MEI,stdev/1000
