year,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1,1967-01,3.24963291610885,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,2,1967-02,5.71543233820722,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,3,1967-03,4.07305667272775,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,4,1967-04,5.52639423525702,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,5,1967-05,6.10472204614018,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,6,1967-06,3.52046030672121,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,7,1967-07,5.3314146860652,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,8,1967-08,3.79203638295285,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,9,1967-09,0.292682305297741,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,10,1967-10,1.60784085278276,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,11,1967-11,3.97803283848765,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1967,12,1967-12,3.20323780136997,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,1,1968-01,0.916508560799679,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,2,1968-02,0,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,3,1968-03,3.7610151931583,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,4,1968-04,6.30458814731859,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,5,1968-05,1.92141232299599,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,6,1968-06,5.78887450450402,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,7,1968-07,5.1398795849927,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,8,1968-08,4.62884162888985,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,9,1968-09,2.17320127615266,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,10,1968-10,0.439146887299409,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,11,1968-11,2.33457876691549,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1968,12,1968-12,0.57210090405883,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,1,1969-01,0.0107489179026616,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,2,1969-02,2.48694622575898,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,3,1969-03,5.29359353941555,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,4,1969-04,5.52742815299005,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,5,1969-05,2.70037503125339,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,6,1969-06,2.62188736969095,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,7,1969-07,5.8669396339742,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,8,1969-08,4.7294069585679,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,9,1969-09,2.53885714032999,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,10,1969-10,0.0632003792888114,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,11,1969-11,1.39582652581522,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1969,12,1969-12,0.773020015050112,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,1,1970-01,0.162999824887049,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,2,1970-02,0,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,3,1970-03,5.48820554092833,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,4,1970-04,7.1139142059649,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,5,1970-05,6.503508757818,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,6,1970-06,5.83535867094066,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,7,1970-07,5.59703395480429,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,8,1970-08,4.80460357931977,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,9,1970-09,2.52745880745772,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,10,1970-10,0.780372572887993,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,11,1970-11,3.42302328020805,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1970,12,1970-12,5.53738260380794,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,1,1971-01,3.6375103943636,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,2,1971-02,4.93861689854447,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,3,1971-03,5.02316186950263,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,4,1971-04,6.41704482820673,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,5,1971-05,6.81552757013618,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,6,1971-06,5.75226731190654,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,7,1971-07,5.25186927623909,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,8,1971-08,2.89307123353735,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,9,1971-09,3.69006029595516,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,10,1971-10,4.97563314531133,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,11,1971-11,5.60893216465079,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1971,12,1971-12,6.13101830489681,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,1,1972-01,3.90338940412003,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,2,1972-02,0.628862605643402,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,3,1972-03,1.65475865898798,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,4,1972-04,6.76628992092137,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,5,1972-05,5.08516236047508,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,6,1972-06,4.63123676609728,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,7,1972-07,4.52187076354712,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,8,1972-08,3.33906139775349,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,9,1972-09,2.54667846685999,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,10,1972-10,2.67710094220711,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,11,1972-11,4.11745449265109,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1972,12,1972-12,0.938777217938503,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,1,1973-01,1.56602184903711,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,2,1973-02,1.27132101312688,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,3,1973-03,7.4970848591956,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,4,1973-04,7.13548755396765,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,5,1973-05,6.22711912622629,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,6,1973-06,5.80951622572518,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,7,1973-07,5.1444775022293,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,8,1973-08,5.33221261845827,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,9,1973-09,3.02452607635722,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,10,1973-10,4.11808905785504,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,11,1973-11,4.59453316667767,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1973,12,1973-12,2.33567189773406,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,1,1974-01,0.285211129971576,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,2,1974-02,5.86780661825706,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,3,1974-03,0.882712821396627,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,4,1974-04,6.81104233562717,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,5,1974-05,6.51132469948237,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,6,1974-06,5.52539583297028,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,7,1974-07,5.56920535607578,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,8,1974-08,3.12065375454951,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,9,1974-09,0.503478767986686,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,10,1974-10,3.96245160212272,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,11,1974-11,3.02582895617753,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1974,12,1974-12,5.60567374871555,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,1,1975-01,5.32567339096458,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,2,1975-02,1.61307106917131,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,3,1975-03,6.48267490272087,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,4,1975-04,7.81052640446311,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,5,1975-05,5.85195279419439,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,6,1975-06,6.08039961997771,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,7,1975-07,5.57830841495136,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,8,1975-08,5.6378003713314,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,9,1975-09,3.86605840010058,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,10,1975-10,4.8626092069269,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,11,1975-11,4.04529571843595,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1975,12,1975-12,3.56554887792487,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,1,1976-01,3.29380571863062,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,2,1976-02,5.0996928855434,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,3,1976-03,4.96812453317314,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,4,1976-04,6.02304500530321,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,5,1976-05,6.64241356126392,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,6,1976-06,5.05032206299895,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,7,1976-07,4.65890826775029,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,8,1976-08,4.7935160752064,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,9,1976-09,0.112185165512251,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,10,1976-10,0.667356297982288,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,11,1976-11,0.506767076219304,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1976,12,1976-12,2.0046560357312,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,1,1977-01,1.01536991852872,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,2,1977-02,3.71870054638087,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,3,1977-03,7.40138074339932,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,4,1977-04,6.74146516963531,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,5,1977-05,6.38206368772719,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,6,1977-06,4.91446714945432,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,7,1977-07,5.59337026898885,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,8,1977-08,2.37528701225311,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,9,1977-09,2.46811207110312,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,10,1977-10,2.68054082282776,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,11,1977-11,2.60740123894768,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1977,12,1977-12,0.0324514127479273,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,1,1978-01,0,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,2,1978-02,0.0659821271603336,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,3,1978-03,1.03052249614637,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,4,1978-04,5.32581262589869,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,5,1978-05,6.1401471234873,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,6,1978-06,6.04122809264554,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,7,1978-07,4.92137776460789,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,8,1978-08,4.70978407716277,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,9,1978-09,2.78809033186049,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,10,1978-10,2.25393124354627,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,11,1978-11,3.7416460188521,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1978,12,1978-12,5.68800331956736,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1979,1,1979-01,0.612234167353102,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1979,2,1979-02,4.56320067664276,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1979,3,1979-03,3.08459317730921,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1979,4,1979-04,5.18076347129296,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
1979,5,1979-05,4.90234666439454,NA,NA,NA,Area (10^6 km^2),Monthly North Pacific High Area,NA,NA,NA,1
