year,year,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order
1967,1967,19,0,19,19,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1968,1968,24,0,24,24,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1969,1969,7,0,7,7,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1970,1970,10,0,10,10,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1971,1971,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1972,1972,16,0,16,16,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1973,1973,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1974,1974,16,0,16,16,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1975,1975,3,0,3,3,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1976,1976,22,0,22,22,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1977,1977,2,0,2,2,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1978,1978,16,0,16,16,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1979,1979,8,0,8,8,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1980,1980,48,0,48,48,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1981,1981,23,0,23,23,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1982,1982,11,0,11,11,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1983,1983,35,0,35,35,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1984,1984,5,0,5,5,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1985,1985,7,0,7,7,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1986,1986,13,0,13,13,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1987,1987,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1988,1988,5,0,5,5,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1989,1989,3,0,3,3,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1990,1990,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1991,1991,6,0,6,6,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1992,1992,5,0,5,5,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1993,1993,18,0,18,18,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1994,1994,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1995,1995,25,0,25,25,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1996,1996,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1997,1997,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1998,1998,39,0,39,39,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1999,1999,11,0,11,11,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2000,2000,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2001,2001,6,0,6,6,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2002,2002,7,0,7,7,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2003,2003,44,0,44,44,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2004,2004,14,0,14,14,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2005,2005,10,0,10,10,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2006,2006,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2007,2007,2,0,2,2,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2008,2008,27,0,27,27,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2009,2009,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2010,2010,21,0,21,21,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2011,2011,6,0,6,6,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2012,2012,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2013,2013,4,0,4,4,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2014,2014,6,0,6,6,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2015,2015,29,0,29,29,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2016,2016,5,0,5,5,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2017,2017,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2018,2018,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2019,2019,16,0,16,16,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2020,2020,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2021,2021,21,0,21,21,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2022,2022,2,0,2,2,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2023,2023,5,0,5,5,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2024,2024,1,0,1,1,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
2025,2025,2,0,2,2,STI (yearday),Spring Transition Index @ 33N,33,0,0,1
1967,1967,30,0,30,30,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1968,1968,84,0,84,84,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1969,1969,61,0,61,61,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1970,1970,73,0,73,73,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1971,1971,18,0,18,18,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1972,1972,72,0,72,72,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1973,1973,65,0,65,65,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1974,1974,18,0,18,18,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1975,1975,67,0,67,67,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1976,1976,5,0,5,5,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1977,1977,2,0,2,2,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1978,1978,67,0,67,67,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1979,1979,56,0,56,56,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1980,1980,68,0,68,68,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1981,1981,50,0,50,50,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1982,1982,104,0,104,104,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1983,1983,89,0,89,89,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1984,1984,10,0,10,10,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1985,1985,19,0,19,19,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1986,1986,74,0,74,74,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1987,1987,72,0,72,72,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1988,1988,17,0,17,17,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1989,1989,94,0,94,94,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1990,1990,13,0,13,13,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1991,1991,63,0,63,63,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1992,1992,85,0,85,85,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1993,1993,152,0,152,152,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1994,1994,62,0,62,62,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1995,1995,81,0,81,81,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1996,1996,71,0,71,71,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1997,1997,41,0,41,41,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1998,1998,54,0,54,54,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1999,1999,83,0,83,83,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2000,2000,60,0,60,60,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2001,2001,64,0,64,64,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2002,2002,8,0,8,8,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2003,2003,75,0,75,75,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2004,2004,57,0,57,57,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2005,2005,62,0,62,62,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2006,2006,102,0,102,102,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2007,2007,3,0,3,3,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2008,2008,12,0,12,12,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2009,2009,64,0,64,64,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2010,2010,62,0,62,62,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2011,2011,2,0,2,2,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2012,2012,41,0,41,41,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2013,2013,5,0,5,5,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2014,2014,68,0,68,68,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2015,2015,40,0,40,40,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2016,2016,73,0,73,73,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2017,2017,85,0,85,85,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2018,2018,28,0,28,28,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2019,2019,46,0,46,46,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2020,2020,28,0,28,28,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2021,2021,14,0,14,14,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2022,2022,12,0,12,12,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2023,2023,15,0,15,15,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2024,2024,65,0,65,65,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
2025,2025,5,0,5,5,STI (yearday),Spring Transition Index @ 39N,39,0,0,2
1967,1967,84,0,84,84,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1968,1968,88,0,88,88,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1969,1969,116,0,116,116,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1970,1970,75,0,75,75,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1971,1971,103,0,103,103,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1972,1972,103,0,103,103,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1973,1973,80,0,80,80,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1974,1974,101,0,101,101,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1975,1975,82,0,82,82,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1976,1976,101,0,101,101,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1977,1977,74,0,74,74,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1978,1978,96,0,96,96,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1979,1979,128,0,128,128,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1980,1980,110,0,110,110,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
1981,1981,174,0,174,174,STI (yearday),Spring Transition Index @ 45N,45,0,0,3
