time,month,time,index,SE,SElo,SEup,metric,timeseries,lat,lon,depth,order,year
1967,01,1967-01,-2.9108402729034424,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1967,02,1967-02,3.207225799560547,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1967,03,1967-03,87.71196746826172,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1967,04,1967-04,114.03243255615234,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1967,05,1967-05,213.48422241210935,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1967,06,1967-06,257.4331359863281,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1967,07,1967-07,200.8450927734375,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
1967,08,1967-08,165.62046813964844,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1967,09,1967-09,106.18424224853516,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1967,10,1967-10,41.496829986572266,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1967,11,1967-11,7.450882434844971,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1967,12,1967-12,-20.797452926635746,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1968,01,1968-01,1.5549198389053345,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1968,02,1968-02,23.263526916503903,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1968,03,1968-03,76.873931884765625,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1968,04,1968-04,148.154296875,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1968,05,1968-05,292.55584716796875,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1968,06,1968-06,277.58013916015625,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1968,07,1968-07,166.10382080078125,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
1968,08,1968-08,175.62001037597656,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1968,09,1968-09,152.96913146972656,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1968,10,1968-10,69.64752960205078,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1968,11,1968-11,39.19040298461914,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1968,12,1968-12,19.266193389892575,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1969,01,1969-01,12.013604164123535,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1969,02,1969-02,40.27069854736328,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1969,03,1969-03,99.442474365234375,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1969,04,1969-04,157.95968627929688,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1969,05,1969-05,227.8591156005859,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1969,06,1969-06,236.37203979492188,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1969,07,1969-07,207.52210998535156,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
1969,08,1969-08,144.0594482421875,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1969,09,1969-09,142.48031616210938,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1969,10,1969-10,102.3826904296875,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1969,11,1969-11,-15.99977207183838,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1969,12,1969-12,47.5866813659668,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1970,01,1970-01,19.835189819335938,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1970,02,1970-02,29.25165367126465,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1970,03,1970-03,95.0167007446289,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1970,04,1970-04,181.98910522460935,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1970,05,1970-05,237.89013671875,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1970,06,1970-06,231.5052947998047,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
1970,07,1970-07,149.44085693359375,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-07-15
1970,08,1970-08,170.57681274414062,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-08-15
1970,09,1970-09,134.1686248779297,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-09-15
1970,10,1970-10,81.78540802001953,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-10-15
1970,11,1970-11,22.63661003112793,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-11-15
1970,12,1970-12,20.771503448486328,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-12-15
1971,01,1971-01,19.957813262939453,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-01-15
1971,02,1971-02,95.4006805419922,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-02-15
1971,03,1971-03,110.85576629638672,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-03-15
1971,04,1971-04,203.9041290283203,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-04-15
1971,05,1971-05,225.47653198242188,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-05-15
1971,06,1971-06,277.40277099609375,NA,NA,NA,UI (m^3/s/100 m coastline),Monthly Upwelling Index (33 °N),33,-119,NA,1,-06-15
