order,year,index,metric,timeseries
1,1981,470.1006276,mt x 1000,Total fisheries coastwide
1,1982,416.8980819,mt x 1000,Total fisheries coastwide
1,1983,350.5660297,mt x 1000,Total fisheries coastwide
1,1984,346.9702528,mt x 1000,Total fisheries coastwide
1,1985,337.434574,mt x 1000,Total fisheries coastwide
1,1986,427.413401,mt x 1000,Total fisheries coastwide
1,1987,461.0869177,mt x 1000,Total fisheries coastwide
1,1988,494.844811,mt x 1000,Total fisheries coastwide
1,1989,556.2291091,mt x 1000,Total fisheries coastwide
1,1990,465.7631922,mt x 1000,Total fisheries coastwide
1,1991,511.3369337,mt x 1000,Total fisheries coastwide
1,1992,458.110682,mt x 1000,Total fisheries coastwide
1,1993,395.2486647,mt x 1000,Total fisheries coastwide
1,1994,489.3973448,mt x 1000,Total fisheries coastwide
1,1995,452.6695136,mt x 1000,Total fisheries coastwide
1,1996,508.2623668,mt x 1000,Total fisheries coastwide
1,1997,527.3194856,mt x 1000,Total fisheries coastwide
1,1998,411.5011125,mt x 1000,Total fisheries coastwide
1,1999,502.2293014,mt x 1000,Total fisheries coastwide
1,2000,545.4342401,mt x 1000,Total fisheries coastwide
1,2001,477.7313558,mt x 1000,Total fisheries coastwide
1,2002,434.3686239,mt x 1000,Total fisheries coastwide
1,2003,390.7827385,mt x 1000,Total fisheries coastwide
1,2004,480.9040781,mt x 1000,Total fisheries coastwide
1,2005,541.4557504,mt x 1000,Total fisheries coastwide
1,2006,541.196571,mt x 1000,Total fisheries coastwide
1,2007,516.3891182,mt x 1000,Total fisheries coastwide
1,2008,503.1313655,mt x 1000,Total fisheries coastwide
1,2009,410.6528193,mt x 1000,Total fisheries coastwide
1,2010,497.9521974,mt x 1000,Total fisheries coastwide
1,2011,548.3877614,mt x 1000,Total fisheries coastwide
1,2012,499.9121796,mt x 1000,Total fisheries coastwide
1,2013,569.694888,mt x 1000,Total fisheries coastwide
1,2014,555.0644216,mt x 1000,Total fisheries coastwide
1,2015,357.9997148,mt x 1000,Total fisheries coastwide
1,2016,429.4197246,mt x 1000,Total fisheries coastwide
1,2017,546.5447308,mt x 1000,Total fisheries coastwide
1,2018,502.5536842,mt x 1000,Total fisheries coastwide
1,2019,458.24428,mt x 1000,Total fisheries coastwide
1,2020,428.9073354,mt x 1000,Total fisheries coastwide
1,2021,430.3305841,mt x 1000,Total fisheries coastwide
1,2022,488.1372721,mt x 1000,Total fisheries coastwide
1,2023,395.2353752,mt x 1000,Total fisheries coastwide
1,2024,352.3753918,mt x 1000,Total fisheries coastwide
1,2025,443.1931235,mt x 1000,Total fisheries coastwide
2,1981,27.81394049,mt x 1000,Salmon commercial coastwide
2,1982,30.69915485,mt x 1000,Salmon commercial coastwide
2,1983,14.50652644,mt x 1000,Salmon commercial coastwide
2,1984,15.81415478,mt x 1000,Salmon commercial coastwide
2,1985,35.34462151,mt x 1000,Salmon commercial coastwide
2,1986,33.11778641,mt x 1000,Salmon commercial coastwide
2,1987,37.98296745,mt x 1000,Salmon commercial coastwide
2,1988,35.08255542,mt x 1000,Salmon commercial coastwide
2,1989,33.25938548,mt x 1000,Salmon commercial coastwide
2,1990,23.12172834,mt x 1000,Salmon commercial coastwide
2,1991,25.1154576,mt x 1000,Salmon commercial coastwide
2,1992,13.50554867,mt x 1000,Salmon commercial coastwide
2,1993,18.9085059,mt x 1000,Salmon commercial coastwide
2,1994,15.72920204,mt x 1000,Salmon commercial coastwide
2,1995,16.22293329,mt x 1000,Salmon commercial coastwide
2,1996,10.38493873,mt x 1000,Salmon commercial coastwide
2,1997,14.1288545,mt x 1000,Salmon commercial coastwide
2,1998,8.801876876,mt x 1000,Salmon commercial coastwide
2,1999,6.160116272,mt x 1000,Salmon commercial coastwide
2,2000,10.11672905,mt x 1000,Salmon commercial coastwide
2,2001,17.21959087,mt x 1000,Salmon commercial coastwide
2,2002,20.74322278,mt x 1000,Salmon commercial coastwide
2,2003,20.94934944,mt x 1000,Salmon commercial coastwide
2,2004,20.42341024,mt x 1000,Salmon commercial coastwide
2,2005,13.18514176,mt x 1000,Salmon commercial coastwide
2,2006,14.12401883,mt x 1000,Salmon commercial coastwide
2,2007,11.49051209,mt x 1000,Salmon commercial coastwide
2,2008,9.004002941,mt x 1000,Salmon commercial coastwide
2,2009,15.80073625,mt x 1000,Salmon commercial coastwide
2,2010,14.84530815,mt x 1000,Salmon commercial coastwide
2,2011,19.36537533,mt x 1000,Salmon commercial coastwide
2,2012,11.37349286,mt x 1000,Salmon commercial coastwide
2,2013,26.14593783,mt x 1000,Salmon commercial coastwide
2,2014,17.01500554,mt x 1000,Salmon commercial coastwide
2,2015,12.01415733,mt x 1000,Salmon commercial coastwide
2,2016,8.780970354,mt x 1000,Salmon commercial coastwide
2,2017,10.38632945,mt x 1000,Salmon commercial coastwide
2,2018,9.087952182,mt x 1000,Salmon commercial coastwide
2,2019,5.378018482,mt x 1000,Salmon commercial coastwide
2,2020,4.699926336,mt x 1000,Salmon commercial coastwide
2,2021,5.98511176,mt x 1000,Salmon commercial coastwide
2,2022,9.963393679,mt x 1000,Salmon commercial coastwide
2,2023,5.066630842,mt x 1000,Salmon commercial coastwide
2,2024,9.736899839,mt x 1000,Salmon commercial coastwide
2,2025,6.616944758,mt x 1000,Salmon commercial coastwide
3,1981,108.9088704,mt x 1000,Non-whiting groundfish coastwide
3,1982,124.7480013,mt x 1000,Non-whiting groundfish coastwide
3,1983,102.9884182,mt x 1000,Non-whiting groundfish coastwide
3,1984,92.18416768,mt x 1000,Non-whiting groundfish coastwide
3,1985,90.55097766,mt x 1000,Non-whiting groundfish coastwide
3,1986,82.91829919,mt x 1000,Non-whiting groundfish coastwide
3,1987,91.43223507,mt x 1000,Non-whiting groundfish coastwide
3,1988,89.44893872,mt x 1000,Non-whiting groundfish coastwide
3,1989,95.23347935,mt x 1000,Non-whiting groundfish coastwide
3,1990,87.70657982,mt x 1000,Non-whiting groundfish coastwide
3,1991,85.6949685,mt x 1000,Non-whiting groundfish coastwide
3,1992,80.5566017,mt x 1000,Non-whiting groundfish coastwide
3,1993,76.57628802,mt x 1000,Non-whiting groundfish coastwide
3,1994,64.69041374,mt x 1000,Non-whiting groundfish coastwide
3,1995,62.65748607,mt x 1000,Non-whiting groundfish coastwide
3,1996,64.20761637,mt x 1000,Non-whiting groundfish coastwide
3,1997,57.84328549,mt x 1000,Non-whiting groundfish coastwide
3,1998,45.23451534,mt x 1000,Non-whiting groundfish coastwide
3,1999,44.86780785,mt x 1000,Non-whiting groundfish coastwide
3,2000,39.12486483,mt x 1000,Non-whiting groundfish coastwide
3,2001,32.04655283,mt x 1000,Non-whiting groundfish coastwide
3,2002,31.6746071,mt x 1000,Non-whiting groundfish coastwide
3,2003,29.63149032,mt x 1000,Non-whiting groundfish coastwide
3,2004,27.27069346,mt x 1000,Non-whiting groundfish coastwide
3,2005,27.92618445,mt x 1000,Non-whiting groundfish coastwide
3,2006,24.8399366,mt x 1000,Non-whiting groundfish coastwide
3,2007,26.69387008,mt x 1000,Non-whiting groundfish coastwide
3,2008,31.13747941,mt x 1000,Non-whiting groundfish coastwide
3,2009,33.44272367,mt x 1000,Non-whiting groundfish coastwide
3,2010,30.06342993,mt x 1000,Non-whiting groundfish coastwide
3,2011,26.64192545,mt x 1000,Non-whiting groundfish coastwide
3,2012,24.96563994,mt x 1000,Non-whiting groundfish coastwide
3,2013,25.2655873,mt x 1000,Non-whiting groundfish coastwide
3,2014,23.25295201,mt x 1000,Non-whiting groundfish coastwide
3,2015,25.70059559,mt x 1000,Non-whiting groundfish coastwide
3,2016,26.35440115,mt x 1000,Non-whiting groundfish coastwide
3,2017,34.27045944,mt x 1000,Non-whiting groundfish coastwide
3,2018,37.88264545,mt x 1000,Non-whiting groundfish coastwide
3,2019,36.5025577,mt x 1000,Non-whiting groundfish coastwide
