year,timeseries,index,SElo,SEup,metric
2011,YOY Rockfish,4.441176471,3.11761686,5.764736081,abundance index and 95% CI
2013,YOY Rockfish,15.86046512,12.51548302,19.20544721,abundance index and 95% CI
2014,YOY Rockfish,8.722222222,6.366677898,11.07776655,abundance index and 95% CI
2015,YOY Rockfish,1.769230769,1.176356371,2.362105167,abundance index and 95% CI
2016,YOY Rockfish,14.93478261,5.784908547,24.08465667,abundance index and 95% CI
2017,YOY Rockfish,11.61538462,6.320807732,16.9099615,abundance index and 95% CI
2018,YOY Rockfish,6.28125,4.203024575,8.359475425,abundance index and 95% CI
2019,YOY Rockfish,229.4117647,9.856700463,448.9668289,abundance index and 95% CI
2021,YOY Rockfish,87.25,42.91026866,131.5897313,abundance index and 95% CI
2022,YOY Rockfish,9.321428571,6.031612004,12.61124514,abundance index and 95% CI
2023,YOY Rockfish,12.75,8.231018295,17.26898171,abundance index and 95% CI
2024,YOY Rockfish,13.95652174,11.22587423,16.68716925,abundance index and 95% CI
2011,Market Squid,0.117647059,0,0.235294118,abundance index and 95% CI
2013,Market Squid,0.069767442,0,0.139534884,abundance index and 95% CI
2014,Market Squid,0.361111111,0.200988253,0.52123397,abundance index and 95% CI
2015,Market Squid,6.666666667,3.641952154,9.69138118,abundance index and 95% CI
2016,Market Squid,2.434782609,0.571936577,4.29762864,abundance index and 95% CI
2017,Market Squid,1.230769231,0.540601598,1.920936863,abundance index and 95% CI
2018,Market Squid,19.40625,5.93646157,32.87603843,abundance index and 95% CI
2019,Market Squid,6.058823529,1.275843235,10.84180382,abundance index and 95% CI
2021,Market Squid,19.41666667,4.073500711,34.75983262,abundance index and 95% CI
2022,Market Squid,1.178571429,0.721257059,1.635885798,abundance index and 95% CI
2023,Market Squid,1.791666667,0.485356498,3.097976835,abundance index and 95% CI
2024,Market Squid,1.260869565,0.580200889,1.941538242,abundance index and 95% CI
2011,YOY Pacific Hake,0.568627451,0.368399565,0.768855337,abundance index and 95% CI
2013,YOY Pacific Hake,0,0,0,abundance index and 95% CI
2014,YOY Pacific Hake,0.111111111,0.024026243,0.198195979,abundance index and 95% CI
2015,YOY Pacific Hake,33.33333333,3.786592455,62.88007421,abundance index and 95% CI
2016,YOY Pacific Hake,1216.282609,727.5198103,1705.045407,abundance index and 95% CI
2017,YOY Pacific Hake,217.8461538,14.67025285,421.0220548,abundance index and 95% CI
2018,YOY Pacific Hake,0,0,0,abundance index and 95% CI
2019,YOY Pacific Hake,0.823529412,0.300493934,1.346564889,abundance index and 95% CI
2021,YOY Pacific Hake,0,0,0,abundance index and 95% CI
2022,YOY Pacific Hake,0,0,0,abundance index and 95% CI
2023,YOY Pacific Hake,0,0,0,abundance index and 95% CI
2024,YOY Pacific Hake,0,0,0,abundance index and 95% CI
2011,Adult Anchovy,1.166666667,0.35469029,1.978643043,abundance index and 95% CI
2013,Adult Anchovy,24.88372093,0.095130663,49.6723112,abundance index and 95% CI
2014,Adult Anchovy,8.388888889,3.989885073,12.7878927,abundance index and 95% CI
2015,Adult Anchovy,26.38461538,3.86173407,48.9074967,abundance index and 95% CI
2016,Adult Anchovy,33.58695652,11.91011218,55.26380087,abundance index and 95% CI
2017,Adult Anchovy,34,1.32581196,66.67418804,abundance index and 95% CI
2018,Adult Anchovy,12.875,0.570418667,25.17958133,abundance index and 95% CI
2019,Adult Anchovy,1.676470588,0.49754045,2.855400727,abundance index and 95% CI
2021,Adult Anchovy,0,0,0,abundance index and 95% CI
2022,Adult Anchovy,1.071428571,0.4828949,1.659962243,abundance index and 95% CI
2023,Adult Anchovy,0.083333333,0.025702994,0.140963673,abundance index and 95% CI
2024,Adult Anchovy,0.869565217,0.171447059,1.567683376,abundance index and 95% CI
2011,YOY Anchovy,0,0,0,abundance index and 95% CI
2013,YOY Anchovy,0,0,0,abundance index and 95% CI
2014,YOY Anchovy,0.083333333,0,0.166666667,abundance index and 95% CI
2015,YOY Anchovy,0.487179487,0.258141144,0.71621783,abundance index and 95% CI
2016,YOY Anchovy,0.565217391,0.266020118,0.864414665,abundance index and 95% CI
2017,YOY Anchovy,0,0,0,abundance index and 95% CI
2018,YOY Anchovy,0,0,0,abundance index and 95% CI
2019,YOY Anchovy,0,0,0,abundance index and 95% CI
2021,YOY Anchovy,0,0,0,abundance index and 95% CI
2022,YOY Anchovy,0,0,0,abundance index and 95% CI
2023,YOY Anchovy,0,0,0,abundance index and 95% CI
2024,YOY Anchovy,0,0,0,abundance index and 95% CI
2011,Adult Sardine,0.088235294,0.01704858,0.159422008,abundance index and 95% CI
2013,Adult Sardine,0.627906977,0.298433327,0.957380626,abundance index and 95% CI
2014,Adult Sardine,0,0,0,abundance index and 95% CI
2015,Adult Sardine,0.461538462,0.121168428,0.801908495,abundance index and 95% CI
2016,Adult Sardine,0,0,0,abundance index and 95% CI
2017,Adult Sardine,2.615384615,0,5.230769231,abundance index and 95% CI
2018,Adult Sardine,0.34375,0,0.6875,abundance index and 95% CI
2019,Adult Sardine,0,0,0,abundance index and 95% CI
2021,Adult Sardine,0,0,0,abundance index and 95% CI
2022,Adult Sardine,0.071428571,0.021865095,0.120992048,abundance index and 95% CI
2023,Adult Sardine,0,0,0,abundance index and 95% CI
2024,Adult Sardine,0.52173913,0.24149668,0.801981581,abundance index and 95% CI
2011,YOY Sardine,0,0,0,abundance index and 95% CI
2013,YOY Sardine,0,0,0,abundance index and 95% CI
2014,YOY Sardine,0,0,0,abundance index and 95% CI
2015,YOY Sardine,0,0,0,abundance index and 95% CI
2016,YOY Sardine,0,0,0,abundance index and 95% CI
2017,YOY Sardine,0,0,0,abundance index and 95% CI
2018,YOY Sardine,0,0,0,abundance index and 95% CI
2019,YOY Sardine,0,0,0,abundance index and 95% CI
2021,YOY Sardine,7.958333333,6.333845344,9.582821322,abundance index and 95% CI
2022,YOY Sardine,0.107142857,0.08689476,0.127390954,abundance index and 95% CI
2023,YOY Sardine,0.875,0.696391373,1.053608627,abundance index and 95% CI
2024,YOY Sardine,0.782608696,0.619423502,0.945793889,abundance index and 95% CI
2011,Pyrosomes,0,0,0,abundance index and 95% CI
2013,Pyrosomes,0,0,0,abundance index and 95% CI
2014,Pyrosomes,1.166666667,0.747862625,1.585470709,abundance index and 95% CI
2015,Pyrosomes,9.205128205,6.605642248,11.80461416,abundance index and 95% CI
2016,Pyrosomes,380.3695652,261.4585305,499.2805999,abundance index and 95% CI
2017,Pyrosomes,11752.92308,6507.920119,16997.92604,abundance index and 95% CI
2018,Pyrosomes,8585.9375,6431.511908,10740.36309,abundance index and 95% CI
2019,Pyrosomes,0.029411765,2.94118E-10,0.05882353,abundance index and 95% CI
2021,Pyrosomes,22.66666667,11.92907412,33.40425922,abundance index and 95% CI
2022,Pyrosomes,35.42857143,19.53562363,51.32151923,abundance index and 95% CI
2023,Pyrosomes,13.70833333,4.52926152,22.88740514,abundance index and 95% CI
2024,Pyrosomes,5.913043478,4.115028495,7.711058461,abundance index and 95% CI
2011,Thetys,NA,NA,NA,abundance index and 95% CI
2013,Thetys,120.6744186,77.16912405,164.1797132,abundance index and 95% CI
2014,Thetys,3.361111111,0.195534161,6.526688061,abundance index and 95% CI
2015,Thetys,6.769230769,5.362930343,8.175531195,abundance index and 95% CI
2016,Thetys,27.2826087,19.80176921,34.76344818,abundance index and 95% CI
2017,Thetys,19.07692308,12.98735493,25.16649123,abundance index and 95% CI
2018,Thetys,17.4375,9.802830364,25.07216964,abundance index and 95% CI
2019,Thetys,0.794117647,0.240762282,1.347473012,abundance index and 95% CI
2021,Thetys,11.33333333,5.323176873,17.34348979,abundance index and 95% CI
2022,Thetys,14.25,4.183077765,24.31692223,abundance index and 95% CI
2023,Thetys,4.916666667,2.681476545,7.151856788,abundance index and 95% CI
2024,Thetys,9.739130435,6.146638598,13.33162227,abundance index and 95% CI
2011,Salps,730.872549,444.3623924,1017.382706,abundance index and 95% CI
2013,Salps,977.6744186,348.0037549,1607.345082,abundance index and 95% CI
2014,Salps,0.111111111,0.05798984,0.164232383,abundance index and 95% CI
