Year,est,lwr,upr,log_est,se,spp
2003,399901712.99214,306182650.531183,522307125.42532,19.8067293573591,0.136245859852697,arrowtooth flounder-cpue
2004,420892171.288676,319493394.777772,554472244.959293,19.857887233636,0.140635275884658,arrowtooth flounder-cpue
2005,445414715.308306,349634593.390155,567433178.420627,19.9145163506529,0.123531454846899,arrowtooth flounder-cpue
2006,380698289.893134,295609805.532334,490278689.052835,19.7575177293362,0.129067071241323,arrowtooth flounder-cpue
2007,373673681.610346,287711123.380874,485320201.344404,19.738893465458,0.133383050209774,arrowtooth flounder-cpue
2008,474352489.045294,360041606.236654,624956338.283769,19.9774612510652,0.140681715390778,arrowtooth flounder-cpue
2009,436949562.366039,345434246.001566,552709878.252798,19.895328328472,0.119908050732743,arrowtooth flounder-cpue
2010,511325997.520504,406198622.915098,643661157.352043,20.0525179046808,0.117433325079524,arrowtooth flounder-cpue
2011,451851053.886707,366744597.249298,556707246.486695,19.9288631566913,0.106474871418623,arrowtooth flounder-cpue
2012,423804156.804709,341468038.757051,525993483.837416,19.8647820121617,0.110214969267649,arrowtooth flounder-cpue
2013,491223972.110669,382021882.149112,631641803.916348,20.0124107367633,0.128279035075831,arrowtooth flounder-cpue
2014,444662250.880164,357711034.889033,552749281.047901,19.9128255651681,0.111017097031889,arrowtooth flounder-cpue
2015,381478498.70571,304410966.547719,478057169.310127,19.7595650472203,0.115142849017168,arrowtooth flounder-cpue
2016,375214021.54712,296620470.206126,474631982.977201,19.7430071452593,0.119922174908618,arrowtooth flounder-cpue
2017,329285168.319997,269329055.556841,402588283.136965,19.612434706308,0.102547936102769,arrowtooth flounder-cpue
2018,256457683.83256,206345456.985248,318739964.318495,19.3624742336535,0.110926495339539,arrowtooth flounder-cpue
2019,291678937.141726,221233352.1407,384555952.115302,19.4911642249691,0.141041178659431,arrowtooth flounder-cpue
2021,236646443.369864,189548833.43152,295446498.645104,19.2820777851306,0.113226845688846,arrowtooth flounder-cpue
2022,477183305.336895,360989877.385127,630776432.130572,19.9834112629509,0.142375466963912,arrowtooth flounder-cpue
2023,519333576.708792,423000161.298076,637605818.091144,20.0680569643573,0.104682457252204,arrowtooth flounder-cpue
2003,3987888.64979202,2509174.1245125,6338043.9515053,15.1987724883581,0.236386111738285,big skate-cpue
2004,5509064.35569841,3535285.43531311,8584820.27280459,15.5219053583068,0.226331076622397,big skate-cpue
2005,4204481.53256284,2738039.27030172,6456322.65008164,15.2516615459426,0.21883510202336,big skate-cpue
2006,3716141.1513335,2343019.27887635,5893978.41543029,15.1281963629451,0.235333618801334,big skate-cpue
2007,3562597.02778521,2285869.80598051,5552414.90533616,15.0860003390577,0.226403736807047,big skate-cpue
2008,3030572.30585695,1847626.25254801,4970901.71151289,14.9242620394708,0.252479013357724,big skate-cpue
2009,3896239.55978164,2466717.82380924,6154203.19287457,15.1755224305045,0.233230521293712,big skate-cpue
2010,4742780.84611202,3081514.3470077,7299648.03704053,15.3721341980389,0.220005314492834,big skate-cpue
2011,3404329.02117476,2200398.33716417,5266980.93189299,15.0405584212238,0.222661977658788,big skate-cpue
2012,4439292.75182595,2863126.2178316,6883147.52373713,15.3060056315911,0.223769909078449,big skate-cpue
2013,4640070.75573386,2894802.0907179,7437557.36782583,15.3502401731667,0.240725274893952,big skate-cpue
2014,6863915.71299396,4528156.1073283,10404530.6297718,15.7417886404991,0.212230056015925,big skate-cpue
2015,6556946.64592749,4301050.41180042,9996057.98611011,15.6960356022487,0.21513954997585,big skate-cpue
2016,5767840.11723035,3751477.7515225,8867966.65778715,15.567808238636,0.219467222170253,big skate-cpue
2017,4819993.8681044,3121983.42062508,7441532.43578485,15.3882832138485,0.22158781882159,big skate-cpue
2018,5654166.43275951,3636817.08065679,8790543.30760314,15.5479032530882,0.225148945532949,big skate-cpue
2019,5061953.5224421,3115508.66441187,8224459.06058843,15.437263038386,0.247637227105047,big skate-cpue
2021,4000823.38762464,2529579.51988264,6327766.19716897,15.2020107448068,0.233905877458176,big skate-cpue
2022,6276607.29643255,4025202.16586707,9787284.59596368,15.6523401530409,0.226664602731014,big skate-cpue
2023,4092642.10583781,2683084.73209227,6242709.82057845,15.2247013111036,0.215424163109412,big skate-cpue
2003,419504.247672893,198015.368302843,888738.158678934,12.9468289303993,0.383032041387094,canary rockfish-cpue
2004,451818.645174501,212273.294235393,961685.212747241,13.021036150811,0.385418461548373,canary rockfish-cpue
2005,354123.440563913,181660.466386233,690317.566895376,12.7774008334914,0.34057063514728,canary rockfish-cpue
2006,2472354.48527296,981989.245994869,6224647.29199414,14.7206814874702,0.47110347873849,canary rockfish-cpue
2007,420128.431415041,198499.193454831,889212.171652616,12.948315732599,0.38254550727048,canary rockfish-cpue
2008,987120.136914194,308059.938640219,3163040.83225668,13.8025470302731,0.594142234480486,canary rockfish-cpue
2009,303345.867323525,114264.341954769,805314.358338378,12.622628909818,0.498151540185739,canary rockfish-cpue
2010,438804.564772375,196216.330886691,981312.030425565,12.9918094101832,0.410638337217571,canary rockfish-cpue
2011,803735.625425458,257280.50227643,2510843.02876546,13.5970256699889,0.581185910428539,canary rockfish-cpue
2012,736435.334700639,323201.948157796,1678012.7882486,13.5095767102163,0.42018327039958703,canary rockfish-cpue
2013,478834.843282118,210907.287090591,1087126.05573712,13.0791110221195,0.418342944241453,canary rockfish-cpue
