"year","species","bio_total_kg","port","timeseries","maxbio","index","metric"
2003,"sablefish",11476919.3338749,"BLL","Sablefish BLL",106437455.646855,0.107827824933675,"Scaled biomass index"
2004,"sablefish",10834707.5817804,"BLL","Sablefish BLL",106437455.646855,0.101794124220035,"Scaled biomass index"
2005,"sablefish",6053478.76300912,"BLL","Sablefish BLL",106437455.646855,0.0568735763760995,"Scaled biomass index"
2006,"sablefish",5320298.55259123,"BLL","Sablefish BLL",106437455.646855,0.0499852098141396,"Scaled biomass index"
2007,"sablefish",4791294.37454667,"BLL","Sablefish BLL",106437455.646855,0.0450151156416546,"Scaled biomass index"
2008,"sablefish",3902226.98365393,"BLL","Sablefish BLL",106437455.646855,0.0366621595747363,"Scaled biomass index"
2009,"sablefish",2794728.48727805,"BLL","Sablefish BLL",106437455.646855,0.0262570020139392,"Scaled biomass index"
2010,"sablefish",4240792.44757904,"BLL","Sablefish BLL",106437455.646855,0.0398430460574838,"Scaled biomass index"
2011,"sablefish",5080599.18679205,"BLL","Sablefish BLL",106437455.646855,0.0477331889973843,"Scaled biomass index"
2012,"sablefish",4215788.38837274,"BLL","Sablefish BLL",106437455.646855,0.0396081281984055,"Scaled biomass index"
2013,"sablefish",3966168.30450741,"BLL","Sablefish BLL",106437455.646855,0.0372629003615664,"Scaled biomass index"
2014,"sablefish",3713353.06001217,"BLL","Sablefish BLL",106437455.646855,0.0348876533870986,"Scaled biomass index"
2015,"sablefish",3050967.35278399,"BLL","Sablefish BLL",106437455.646855,0.0286644145544655,"Scaled biomass index"
2016,"sablefish",3798501.52987276,"BLL","Sablefish BLL",106437455.646855,0.0356876393445148,"Scaled biomass index"
2017,"sablefish",4907592.49758542,"BLL","Sablefish BLL",106437455.646855,0.0461077584743113,"Scaled biomass index"
2018,"sablefish",11671712.1915929,"BLL","Sablefish BLL",106437455.646855,0.109657940624943,"Scaled biomass index"
2019,"sablefish",7180682.58289792,"BLL","Sablefish BLL",106437455.646855,0.0674638691732958,"Scaled biomass index"
2021,"sablefish",10440323.3149424,"BLL","Sablefish BLL",106437455.646855,0.0980888095407119,"Scaled biomass index"
2022,"sablefish",17936732.590952,"BLL","Sablefish BLL",106437455.646855,0.168518990631114,"Scaled biomass index"
2023,"sablefish",15829219.3657418,"BLL","Sablefish BLL",106437455.646855,0.148718505807401,"Scaled biomass index"
2024,"sablefish",15481714.2378775,"BLL","Sablefish BLL",106437455.646855,0.145453629493396,"Scaled biomass index"
2003,"sablefish",45146255.7865751,"AST","Sablefish AST",106437455.646855,0.424157600463169,"Scaled biomass index"
