"year","region","mtons","mean_bio","stdev","n","sterr","q50_bio","q25_bio","q75_bio","species"
2003,"CA",129733.806839569,2779.93071997019,3173.71277401501,46668,14.6912255122889,1631.63676728839,128.453859492185,4679.08925932134,"sablefish"
2003,"OR",64671.9819030238,3561.23248364669,3552.62415412248,18160,26.3627882981528,2901.70605573137,511.879190394387,5332.95901632498,"sablefish"
2003,"WA",34374.4015319263,3055.50235839345,3911.08348436718,11250,36.8740487144366,1903.57982379066,487.482261850312,4448.87443357169,"sablefish"
2004,"CA",145134.673873491,3109.93987043565,3553.86688512714,46668,16.4509719586274,1816.87939538863,128.143318986323,5174.80680196814,"sablefish"
2004,"OR",68451.4187329831,3769.35125181625,4064.24345186997,18160,30.1593371731907,2886.4817475267,509.141690265359,5457.87771841286,"sablefish"
2004,"WA",41243.2024015119,3666.06243568995,4402.96940587818,11250,41.5115936567115,1875.60077295928,343.774752689555,6036.46716628513,"sablefish"
2005,"CA",165106.994956548,3537.90595175598,4108.52388747214,46668,19.0184982861948,2041.24729427027,140.51720528456,5865.93858141804,"sablefish"
2005,"OR",60298.5971055997,3320.40732960351,3795.93349686728,18160,28.1683023113086,2365.78380305491,317.240192874425,4815.03216868948,"sablefish"
2005,"WA",25139.0468785731,2234.58194476205,2594.1043611451,11250,24.4574504649506,1172.94301508963,188.103317831577,3635.26632912688,"sablefish"
2006,"CA",164547.058920835,3525.90766522746,4316.52321450342,46668,19.9813343200162,1842.78690217815,93.5627393362765,5608.14698200724,"sablefish"
2006,"OR",65542.1302250567,3609.14814014629,4026.88214218042,18160,29.8820918876898,2390.28320249659,207.816156964073,5902.55677508981,"sablefish"
2006,"WA",26915.1653578517,2392.45914292015,2965.94930655285,11250,27.9632382309208,809.40686840057,82.7556601350743,4337.57090706667,"sablefish"
2007,"CA",161375.269689261,3457.9426949786,4035.63525046151,46668,18.6810942802703,1839.13120434069,69.8253916990414,5873.04499280884,"sablefish"
2007,"OR",59704.4124198924,3287.68790858438,3401.98715270659,18160,25.2449634999434,2363.03352192871,253.466716618853,5413.21010599668,"sablefish"
2007,"WA",23796.2118649201,2115.21883243735,2663.77408340084,11250,25.1143029056228,880.543213026986,115.281732562652,3501.1353485991,"sablefish"
2008,"CA",116434.759590469,2494.95927810211,2922.00365232576,46668,13.5260553366782,1275.53473924657,68.0571771060251,4184.44557735684,"sablefish"
2008,"OR",49057.4388941536,2701.40082016264,3041.75472996807,18160,22.5718039742541,1686.25111910339,159.655429835777,4351.86872274122,"sablefish"
2008,"WA",19053.4566803901,1693.64059381245,2184.69516578987,11250,20.5975035540732,611.357874544911,70.6359959758798,2879.9851193875,"sablefish"
2009,"CA",108907.242646542,2333.65995214155,2748.7566773478,46668,12.7240891349595,1198.98676263058,55.4296907695971,3919.26716449516,"sablefish"
2009,"OR",38249.2549548559,2106.23650632467,2107.76004682554,18160,15.6409542600465,1511.18212821962,270.799202874978,3404.04568644659,"sablefish"
2009,"WA",14613.8458504629,1299.00852004114,1690.42142199556,11250,15.9374460074142,486.632806372958,87.6877829743427,2106.85237724361,"sablefish"
2010,"CA",108666.459725286,2328.50046552854,2807.67256197143,46668,12.9968127898373,1272.31724817407,69.880272678972,3790.70025141606,"sablefish"
2010,"OR",39458.8812126798,2172.8458817555,2242.09621495937,18160,16.637816243656,1651.57733487869,214.986823744598,3463.22280133853,"sablefish"
2010,"WA",19235.1528846292,1709.7913675226,2184.83428283287,11250,20.598815162133,807.95403052219,148.134175253242,2687.46353570466,"sablefish"
2011,"CA",133082.351357402,2851.6831952816,3608.43418165071,46668,16.7035658497279,1292.14944846525,103.439677548963,4622.49558847258,"sablefish"
2011,"OR",42680.4860624249,2350.24702986921,2498.21479079756,18160,18.5383831207379,1620.22150765355,117.772527483066,3869.43982954917,"sablefish"
2011,"WA",24050.9844746003,2137.86528663114,2623.55461281344,11250,24.7351101004484,878.886760620901,95.6913639706624,3737.52665315826,"sablefish"
2012,"CA",118527.714810754,2539.80703717224,3187.93709470519,46668,14.7570703816575,1237.15175232941,84.0309742274472,3996.57106975037,"sablefish"
