"","year","port","hake_sable_kg","salm_sable_kg"
"1",2003,"Alameda",69971.5416331903,16604.0605868172
"2",2003,"Albion",54962.4243009356,6571.06452798894
"3",2003,"Anacortes",51957.4529303526,0
"4",2003,"Astoria",109929.623641665,31630.8938754784
"5",2003,"Avila",79941.170161466,50795.1104180928
"6",2003,"Bandon",53108.1045612851,8592.88995448116
"7",2003,"Bellingham",43319.9964137118,0
"8",2003,"Berkeley",69840.718613919,17400.4360152829
"9",2003,"Blaine",41062.4282467717,0
"10",2003,"Bodega Bay",69813.9822572333,28043.6396920258
"11",2003,"Bolinas",70300.905420348,34851.4216503763
"12",2003,"Brookings",35881.717048268,8233.84989755049
"13",2003,"Cannon Beach",107892.844315778,32905.7881026716
"14",2003,"Coos Bay",55746.149771217,11584.3772696871
"15",2003,"Copalis Beach",101665.365432359,25986.3452311208
"16",2003,"Crescent City",28194.1250766083,9673.10765225679
"17",2003,"Dana Point",6176.28497823618,291.808671053778
"18",2003,"Depoe Bay",87774.8482680088,19370.2657958285
"19",2003,"Eureka",23845.1103190081,6064.0072738427
"20",2003,"Everett",60630.9035094341,0
"21",2003,"Fields Landing",24188.4685231255,5489.38181086664
"22",2003,"Florence",70049.5128122603,25394.0236995326
"23",2003,"Fort Bragg",51257.3885417275,5743.46792047967
"24",2003,"Friday Harbor",56885.1330216963,0
"25",2003,"Gearhart - Seaside",109387.335780185,32813.2158952726
"26",2003,"Gold Beach",45797.119206674,7102.3438516199
"27",2003,"Grays Harbor",103655.011604666,19932.7037120577
"28",2003,"Chinook",110465.594797973,33762.6846435941
"29",2003,"La Conner",54286.0339469218,0
"30",2003,"La Push",82251.0557878499,37963.1141321016
"31",2003,"Long Beach",13019.0276476768,548.879574597711
"32",2003,"Monterey",107160.916984535,12289.5051423186
"33",2003,"Morro Bay",82661.4112491843,41767.6285712645
"34",2003,"Moss Landing",98445.1471399908,12758.7694942798
"35",2003,"Neah Bay",66723.2339717869,24295.458984188
"36",2003,"Nehalem Bay",102595.097390071,31603.0028271188
"37",2003,"Netarts Bay",97403.4975258325,26247.7993509906
"38",2003,"Newport",84036.9384749481,22174.0588161138
"39",2003,"Newport Beach",8546.27207731057,372.230409170877
"40",2003,"OTHER OR UNKNOWN CALIFORNIA PORTS",106665.646094563,8124.96994772167
"41",2003,"Oakland",69837.2436091423,19249.5768716298
"42",2003,"Oceanside",2638.20699282894,176.21775574139
"43",2003,"Olympia",99587.4815272128,0
"44",2003,"Other Columbia River Ports",111133.191856558,34250.761344269
"45",2003,"Other Del Norte County Ports",27851.4536012046,9684.67997422055
"46",2003,"Other Humboldt County Ports",23974.5060006455,5789.12004778932
"47",2003,"Other La and Orange Cnty Ports",11582.5943903569,549.398336945261
"48",2003,"Other Mendocino County Ports",53454.6318318007,6280.0610560213
"49",2003,"Other North Puget Sound Ports",48854.914527526,0
"50",2003,"Other Or Unknown Washington Ports",72577.726442166,989.882875619681
"51",2003,"Other S. F. Bay and San Mateo County Ports",70163.8902448648,30425.7978675972
"52",2003,"Other San Diego County Ports",1342.86820291599,152.77448876181
"53",2003,"Other San Luis Obispo County Ports",84112.492870837,37447.0268581844
"54",2003,"Other Santa Barbara and Ventura County Ports",68605.2723652837,6301.10299175577
"55",2003,"Other Santa Cruz and Monterey County Ports",95205.622301908,13097.9996691947
"56",2003,"Other Sonoma and Marin County Outer Coast Ports",69991.2240450427,28979.5039934247
"57",2003,"Other South Puget Sound Ports",94667.0112887712,0
"58",2003,"Other Washingtion Coastal Ports",96993.7606469225,29065.0179860982
"59",2003,"Oxnard",66036.3966170211,4607.80012677266
"60",2003,"PSEUDO PORT CODE FOR COLUMBIA RIVER",110337.360496559,32921.9089427199
"61",2003,"Pacific City",94336.7177735098,21629.4437675602
"62",2003,"Point Arena",60791.4428942938,8669.82713762351
"63",2003,"Point Reyes",70878.3035375098,35331.091845286
"64",2003,"Port Angeles",71797.8309206743,0
"65",2003,"Port Hueneme",65821.4605280521,4538.53312047172
"66",2003,"Port Orford",49531.4262223571,6894.68596632798
"67",2003,"Port Townsend",66408.7682769971,0
"68",2003,"Princeton/Half Moon Bay",70879.4573406435,30878.935131719
"69",2003,"Richmond",70079.8665462883,19067.7828533669
"70",2003,"Salmon River",91799.9299764361,19296.350005101
"71",2003,"San Diego",816.693810579007,77.175237046375
"72",2003,"San Francisco",69893.163426198,25676.6735663193
"73",2003,"San Pedro",13804.0217449783,564.263252862196
"74",2003,"Santa Barbara",69989.8600695764,7734.91715912608
"75",2003,"Santa Cruz",80562.4381795818,18355.9647283314
"76",2003,"Sausalito",70190.8510318061,28466.0183437104
"77",2003,"Seattle",77496.0368868664,0
"78",2003,"Sequim",68468.9491964757,0
