year,index,metric,timeseries_original,order,timeseries,outlier
1997,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
1998,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
1999,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2000,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2001,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2002,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2003,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2004,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2005,0.081433225,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2006,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2007,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2008,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2009,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2010,0.204798128,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2011,0.058513751,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2012,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
2013,0,Encounter rate,Cassins auklet (Oct - Feb) Central,1,Cassins auklet encounter rate (Ce/So CC) Central,
