year,index,metric,timeseries_original,order,timeseries,outlier
1997,0.020973154,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
1998,0.041946309,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
1999,0.019888624,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2000,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2001,0.039777247,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2002,0.019888624,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2003,0.034831069,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2004,0.429487179,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,outlier
2005,0.071831709,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2006,0.017265193,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2007,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2008,0.046520283,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2009,0.034530387,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2010,0.07769337,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2011,0.017265193,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2012,0.05179558,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2013,0.016550811,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2014,1.109958038,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,outlier
2015,0.028402031,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2016,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2017,0.026872089,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2018,0.19514636,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2019,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2020,0,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2021,0.028113579,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2022,0.129769011,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
2023,0.119250426,Encounter rate,Cassins auklet (Oct - Feb) North,1,Cassins auklet encounter rate (Ce/So CC) North,
1997,3.256831256,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
1998,3.186216663,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
1999,0.494374361,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
2000,0.937606546,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
2001,0.525627912,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
2002,0.715393625,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
2003,0.954573675,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
2004,0.823786143,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
2005,1.506559458,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
2006,2.38856686,Encounter rate,Common murre (Jun- Dec) North,2,Common murre encounter rate(Ce/So CC) North,
