year,index,metric,order,timeseries,,,,,,,,,,,,,,,,,
2008,0.496,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2009,0.837,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2010,0.816,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2011,NA,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2012,NA,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2013,0.82,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2014,NA,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2015,1,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2016,0.573,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2017,0.357,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2018,0.071,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2019,0.053,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2020,NA,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2021,0.028,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2022,0.033,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2023,0.014,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2024,0.171,% auklet chick diet,1,Northern anchovy (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2008,0.117,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2009,0.066,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2010,0.03,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2011,NA,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2012,NA,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2013,0.023,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2014,NA,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2015,0,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2016,0,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2017,0.261,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2018,0.625,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2019,0.153,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2020,NA,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2021,0.228,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2022,0.049,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2023,0.135,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2024,0.212,% auklet chick diet,2,Pacific herring (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2008,0.13,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2009,0,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2010,0.024,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2011,NA,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2012,NA,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2013,0,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2014,NA,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2015,0,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2016,0.176,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2017,0.017,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2018,0,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2019,0.005,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2020,NA,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2021,0.0045,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2022,0.0357,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2023,0.09,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2024,0.0377,% auklet chick diet,3,Rockfish juveniles (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
2008,0.145,% auklet chick diet,4,Smelts (No CC Rhinoceros auklet),,,,,,,,,,,,,,,,,
