year,index,metric,order,timeseries
2003,-0.476089532,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2004,-0.569364933,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2005,-0.465558802,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2006,-0.544928309,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2007,0.029454891,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2008,-0.502199519,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2009,-0.157120223,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2010,-0.561136393,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2011,0.442241346,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2012,0.257373514,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2013,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2014,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2015,0.756585833,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2016,-0.372949792,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2017,0.160695766,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2018,-0.19812678,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2019,0.274081895,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2020,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2021,NA,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2022,0.488455568,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2023,1.353013627,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2024,0.085571845,Density anomaly,1,"Cassins auklet (No CC, Summer)"
2003,-0.156984112,Density anomaly,2,"Common murre (No CC, Summer)"
2004,-0.296341157,Density anomaly,2,"Common murre (No CC, Summer)"
2005,0.33741785,Density anomaly,2,"Common murre (No CC, Summer)"
2006,-0.282985728,Density anomaly,2,"Common murre (No CC, Summer)"
2007,0.655512013,Density anomaly,2,"Common murre (No CC, Summer)"
2008,1.213503106,Density anomaly,2,"Common murre (No CC, Summer)"
2009,-0.621624458,Density anomaly,2,"Common murre (No CC, Summer)"
2010,0.78164262,Density anomaly,2,"Common murre (No CC, Summer)"
2011,0.163948375,Density anomaly,2,"Common murre (No CC, Summer)"
2012,-0.32421757,Density anomaly,2,"Common murre (No CC, Summer)"
2013,NA,Density anomaly,2,"Common murre (No CC, Summer)"
2014,NA,Density anomaly,2,"Common murre (No CC, Summer)"
2015,0.111328707,Density anomaly,2,"Common murre (No CC, Summer)"
2016,-0.158345134,Density anomaly,2,"Common murre (No CC, Summer)"
2017,-0.424803141,Density anomaly,2,"Common murre (No CC, Summer)"
2018,0.140784923,Density anomaly,2,"Common murre (No CC, Summer)"
2019,-0.110353594,Density anomaly,2,"Common murre (No CC, Summer)"
2020,NA,Density anomaly,2,"Common murre (No CC, Summer)"
2021,NA,Density anomaly,2,"Common murre (No CC, Summer)"
2022,-0.336680494,Density anomaly,2,"Common murre (No CC, Summer)"
2023,-0.248958257,Density anomaly,2,"Common murre (No CC, Summer)"
2024,-0.442843948,Density anomaly,2,"Common murre (No CC, Summer)"
2003,0.745705021,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2004,0.248365719,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2005,-0.139495164,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2006,0.191049755,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2007,0.568030015,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2008,-0.690207401,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2009,0.442963811,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2010,0.277188772,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2011,-0.566780496,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2012,-0.369993574,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2013,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2014,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2015,0.957047186,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2016,0.493092789,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2017,-0.60796054,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2018,0.55850606,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2019,0.223961928,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2020,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2021,NA,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2022,-1.092708261,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2023,-1.123804637,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
2024,-0.114960984,Density anomaly,3,"Sooty shearwater (No CC, Summer)"
