year,index,metric,order,timeseries
1987,0.006451613,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1988,0.086206897,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1989,0.202531646,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1990,0.141666667,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1991,0.00462963,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1992,0.799145299,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1993,0.378590078,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1994,0.155737705,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1995,0.243421053,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1996,0.303278689,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1997,0.009174312,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1998,0.022857143,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1999,0.296875,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2000,0.4225,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2001,0,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2002,0.0431,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2003,0.007,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2004,0.3446,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2005,0.67,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2006,0.956896552,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2007,0.959731544,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2008,0.281842818,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2009,0.002364066,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2010,0.004291845,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2011,0.026246719,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2012,0,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2013,0.005249344,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2014,0.020661,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2015,0.61976,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2016,0.218266254,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2017,0.049723757,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2018,0.651315789,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2019,0.956896552,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2020,0.691666667,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2021,0.581,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2022,0.900763,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2023,0.734,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
2024,0.206,% RHAU diet,1,Northern anchovy (Ce CC SEFI Rhinoceros auklet)
1987,0.832258065,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1988,0.672413793,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1989,0,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1990,0.133333333,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1991,0.532407407,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1992,0.094017094,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1993,0.255874674,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1994,0.229508197,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1995,0.138157895,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1996,0.278688525,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1997,0.091743119,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1998,0.034285714,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
1999,0.322916667,% RHAU diet,2,Rockfish juveniles (Ce CC SEFI Rhinoceros auklet)
