order,year,index,metric,timeseries
1,1981,891.7227987,Million $,Commercial fisheries coastwide
1,1982,862.1511904,Million $,Commercial fisheries coastwide
1,1983,691.7633773,Million $,Commercial fisheries coastwide
1,1984,686.4399551,Million $,Commercial fisheries coastwide
1,1985,700.7565227,Million $,Commercial fisheries coastwide
1,1986,771.7641047,Million $,Commercial fisheries coastwide
1,1987,1009.085248,Million $,Commercial fisheries coastwide
1,1988,1058.020594,Million $,Commercial fisheries coastwide
1,1989,829.3599538,Million $,Commercial fisheries coastwide
1,1990,718.0025164,Million $,Commercial fisheries coastwide
1,1991,683.1319747,Million $,Commercial fisheries coastwide
1,1992,608.347051,Million $,Commercial fisheries coastwide
1,1993,572.6108259,Million $,Commercial fisheries coastwide
1,1994,598.807813,Million $,Commercial fisheries coastwide
1,1995,685.4286198,Million $,Commercial fisheries coastwide
1,1996,664.6613585,Million $,Commercial fisheries coastwide
1,1997,630.8529423,Million $,Commercial fisheries coastwide
1,1998,439.5290782,Million $,Commercial fisheries coastwide
1,1999,524.1435973,Million $,Commercial fisheries coastwide
1,2000,605.8938618,Million $,Commercial fisheries coastwide
1,2001,462.6880729,Million $,Commercial fisheries coastwide
1,2002,463.2576719,Million $,Commercial fisheries coastwide
1,2003,517.3887745,Million $,Commercial fisheries coastwide
1,2004,585.2763875,Million $,Commercial fisheries coastwide
1,2005,624.8059837,Million $,Commercial fisheries coastwide
1,2006,580.0648936,Million $,Commercial fisheries coastwide
1,2007,563.4366069,Million $,Commercial fisheries coastwide
1,2008,616.5860613,Million $,Commercial fisheries coastwide
1,2009,546.6328925,Million $,Commercial fisheries coastwide
1,2010,703.6299738,Million $,Commercial fisheries coastwide
1,2011,901.0782134,Million $,Commercial fisheries coastwide
1,2012,855.498858,Million $,Commercial fisheries coastwide
1,2013,898.1404614,Million $,Commercial fisheries coastwide
1,2014,875.854526,Million $,Commercial fisheries coastwide
1,2015,726.7099238,Million $,Commercial fisheries coastwide
1,2016,746.0507862,Million $,Commercial fisheries coastwide
1,2017,833.722171,Million $,Commercial fisheries coastwide
1,2018,775.8603932,Million $,Commercial fisheries coastwide
1,2019,655.9760214,Million $,Commercial fisheries coastwide
1,2020,570.5367932,Million $,Commercial fisheries coastwide
1,2021,669.0400137,Million $,Commercial fisheries coastwide
1,2022,802.8123788,Million $,Commercial fisheries coastwide
1,2023,561.0164262,Million $,Commercial fisheries coastwide
1,2024,575.4536652,Million $,Commercial fisheries coastwide
2,1981,254.4555156,Million $,Salmon coastwide
2,1982,278.0297534,Million $,Salmon coastwide
2,1983,85.484786,Million $,Salmon coastwide
2,1984,136.246746,Million $,Salmon coastwide
2,1985,209.0053943,Million $,Salmon coastwide
2,1986,239.6173642,Million $,Salmon coastwide
2,1987,371.0318437,Million $,Salmon coastwide
2,1988,413.4134962,Million $,Salmon coastwide
2,1989,215.1089396,Million $,Salmon coastwide
2,1990,180.7022445,Million $,Salmon coastwide
2,1991,108.9413595,Million $,Salmon coastwide
2,1992,68.55471346,Million $,Salmon coastwide
2,1993,73.15074983,Million $,Salmon coastwide
2,1994,71.3039705,Million $,Salmon coastwide
2,1995,54.65320271,Million $,Salmon coastwide
2,1996,36.48235187,Million $,Salmon coastwide
2,1997,46.31564309,Million $,Salmon coastwide
2,1998,29.78490922,Million $,Salmon coastwide
2,1999,27.38113545,Million $,Salmon coastwide
2,2000,44.54740751,Million $,Salmon coastwide
2,2001,36.86211267,Million $,Salmon coastwide
2,2002,46.11050516,Million $,Salmon coastwide
2,2003,53.96782795,Million $,Salmon coastwide
2,2004,81.46584788,Million $,Salmon coastwide
2,2005,61.36379072,Million $,Salmon coastwide
2,2006,54.83178946,Million $,Salmon coastwide
2,2007,52.61201521,Million $,Salmon coastwide
2,2008,40.32928895,Million $,Salmon coastwide
2,2009,38.04009949,Million $,Salmon coastwide
2,2010,72.72938024,Million $,Salmon coastwide
2,2011,76.18529118,Million $,Salmon coastwide
2,2012,66.08507043,Million $,Salmon coastwide
2,2013,104.1442167,Million $,Salmon coastwide
2,2014,94.1686748,Million $,Salmon coastwide
2,2015,63.74914251,Million $,Salmon coastwide
2,2016,53.45378566,Million $,Salmon coastwide
2,2017,54.49402651,Million $,Salmon coastwide
2,2018,57.28019393,Million $,Salmon coastwide
2,2019,41.43282585,Million $,Salmon coastwide
2,2020,35.91322394,Million $,Salmon coastwide
2,2021,46.99073997,Million $,Salmon coastwide
2,2022,55.3046638,Million $,Salmon coastwide
2,2023,19.30535305,Million $,Salmon coastwide
2,2024,21.298664,Million $,Salmon coastwide
3,1981,165.6762494,Million $,Non-whiting groundfish coastwide
3,1982,199.9479888,Million $,Non-whiting groundfish coastwide
3,1983,169.28281,Million $,Non-whiting groundfish coastwide
3,1984,150.4262728,Million $,Non-whiting groundfish coastwide
3,1985,165.3711357,Million $,Non-whiting groundfish coastwide
3,1986,160.9756478,Million $,Non-whiting groundfish coastwide
3,1987,201.6412301,Million $,Non-whiting groundfish coastwide
3,1988,183.4037673,Million $,Non-whiting groundfish coastwide
3,1989,175.7318296,Million $,Non-whiting groundfish coastwide
3,1990,154.3075661,Million $,Non-whiting groundfish coastwide
3,1991,159.9941794,Million $,Non-whiting groundfish coastwide
3,1992,148.2661888,Million $,Non-whiting groundfish coastwide
3,1993,133.6559324,Million $,Non-whiting groundfish coastwide
3,1994,133.9246541,Million $,Non-whiting groundfish coastwide
3,1995,163.4837568,Million $,Non-whiting groundfish coastwide
3,1996,155.345645,Million $,Non-whiting groundfish coastwide
3,1997,141.58784,Million $,Non-whiting groundfish coastwide
3,1998,93.55981006,Million $,Non-whiting groundfish coastwide
3,1999,95.12458781,Million $,Non-whiting groundfish coastwide
3,2000,98.72831328,Million $,Non-whiting groundfish coastwide
3,2001,79.98663358,Million $,Non-whiting groundfish coastwide
3,2002,66.93107718,Million $,Non-whiting groundfish coastwide
3,2003,72.84772482,Million $,Non-whiting groundfish coastwide
3,2004,65.93797684,Million $,Non-whiting groundfish coastwide
3,2005,69.76727082,Million $,Non-whiting groundfish coastwide
3,2006,69.93459534,Million $,Non-whiting groundfish coastwide
3,2007,68.65835068,Million $,Non-whiting groundfish coastwide
3,2008,79.94272667,Million $,Non-whiting groundfish coastwide
3,2009,87.14722524,Million $,Non-whiting groundfish coastwide
3,2010,82.17066754,Million $,Non-whiting groundfish coastwide
3,2011,96.54630483,Million $,Non-whiting groundfish coastwide
3,2012,73.06421655,Million $,Non-whiting groundfish coastwide
3,2013,64.58247591,Million $,Non-whiting groundfish coastwide
3,2014,68.08898094,Million $,Non-whiting groundfish coastwide
3,2015,77.53937656,Million $,Non-whiting groundfish coastwide
3,2016,80.08484842,Million $,Non-whiting groundfish coastwide
3,2017,87.53800408,Million $,Non-whiting groundfish coastwide
3,2018,74.07917321,Million $,Non-whiting groundfish coastwide
3,2019,65.7266477,Million $,Non-whiting groundfish coastwide
3,2020,42.59412375,Million $,Non-whiting groundfish coastwide
3,2021,50.49581095,Million $,Non-whiting groundfish coastwide
3,2022,60.82293581,Million $,Non-whiting groundfish coastwide
3,2023,50.1557927,Million $,Non-whiting groundfish coastwide
3,2024,42.50841882,Million $,Non-whiting groundfish coastwide
4,1981,1.214586604,Million $,Pacific whiting coastwide
4,1982,1.691959602,Million $,Pacific whiting coastwide
4,1983,2.256982997,Million $,Pacific whiting coastwide
4,1984,2.080779644,Million $,Pacific whiting coastwide
4,1985,2.431459137,Million $,Pacific whiting coastwide
4,1986,1.594225386,Million $,Pacific whiting coastwide
4,1987,1.933999137,Million $,Pacific whiting coastwide
4,1988,3.091224349,Million $,Pacific whiting coastwide
4,1989,2.71764455,Million $,Pacific whiting coastwide
4,1990,3.544110192,Million $,Pacific whiting coastwide
4,1991,8.908162522,Million $,Pacific whiting coastwide
4,1992,13.24395037,Million $,Pacific whiting coastwide
4,1993,6.308353196,Million $,Pacific whiting coastwide
4,1994,10.64541147,Million $,Pacific whiting coastwide
4,1995,16.13811127,Million $,Pacific whiting coastwide
4,1996,10.30097628,Million $,Pacific whiting coastwide
4,1997,42.86932442,Million $,Pacific whiting coastwide
4,1998,26.25357074,Million $,Pacific whiting coastwide
4,1999,36.0133279,Million $,Pacific whiting coastwide
4,2000,38.46961794,Million $,Pacific whiting coastwide
4,2001,22.63181456,Million $,Pacific whiting coastwide
4,2002,22.26847868,Million $,Pacific whiting coastwide
4,2003,23.44378932,Million $,Pacific whiting coastwide
4,2004,33.70877198,Million $,Pacific whiting coastwide
4,2005,47.21211178,Million $,Pacific whiting coastwide
4,2006,53.26416434,Million $,Pacific whiting coastwide
